native_index,energy_eV,doppler_x,support,Aup_s_inv,Adn_s_inv,Gamma_s_inv,Tvr_2s_s_inv,Tvr_2p_s_inv,Trv_2s_s_inv,Trv_2p_s_inv
189,1.04453329999999998e+01,1.02978780183778940e+03,NATIVE_RIGHT_EXTERIOR,0.00000000000000000e+00,0.00000000000000000e+00,1.09683994783506995e-02,-2.58928027600070993e-03,-5.46870030243481846e-04,-6.71418357600070924e-03,-4.25421590234999029e-03
190,1.04529209999999999e+01,1.06147249519961383e+03,NATIVE_RIGHT_EXTERIOR,0.00000000000000000e+00,0.00000000000000000e+00,1.08990083423892506e-02,-2.54947446218349930e-03,-5.10740117684293712e-04,-6.80764846218349928e-03,-4.09135988020575131e-03
191,1.04604820000000007e+01,1.09304444650546179e+03,NATIVE_RIGHT_EXTERIOR,0.00000000000000000e+00,0.00000000000000000e+00,1.08439268205860213e-02,-2.51029310086962497e-03,-4.77951383712684190e-04,-6.90172880086962516e-03,-3.94219801971639611e-03
192,1.04679880000000001e+01,1.12438673806764268e+03,NATIVE_RIGHT_EXTERIOR,0.00000000000000000e+00,0.00000000000000000e+00,1.08016380656714775e-02,-2.47214022953182394e-03,-4.48108739970318160e-04,-6.99682922953182365e-03,-3.80480883613965298e-03
193,1.04754939999999994e+01,1.15572902962982357e+03,NATIVE_RIGHT_EXTERIOR,0.00000000000000000e+00,0.00000000000000000e+00,1.07708269451754161e-02,-2.43418117038817676e-03,-4.20873526381367470e-04,-7.09211527038817666e-03,-3.67871167478723941e-03
194,1.04829729999999994e+01,1.18695857913602822e+03,NATIVE_RIGHT_EXTERIOR,0.00000000000000000e+00,0.00000000000000000e+00,1.07503780012882331e-02,-2.39682666056424557e-03,-3.95953988466036882e-04,-7.18801416056424544e-03,-3.56236384072398720e-03
195,1.04903980000000008e+01,1.21796264453028016e+03,NATIVE_RIGHT_EXTERIOR,0.00000000000000000e+00,0.00000000000000000e+00,1.07392998184124098e-02,-2.36043100585847697e-03,-3.73097853740638971e-04,-7.28488010585847702e-03,-3.45441971255393233e-03
196,1.04978219999999993e+01,1.24896253429281751e+03,NATIVE_RIGHT_EXTERIOR,0.00000000000000000e+00,0.00000000000000000e+00,1.07367159396141477e-02,-2.32425903719780860e-03,-3.52086294839977455e-04,-7.38197803719780818e-03,-3.35473790241633957e-03
197,1.05052199999999996e+01,1.27985385763108570e+03,NATIVE_RIGHT_EXTERIOR,0.00000000000000000e+00,0.00000000000000000e+00,1.07418891812054110e-02,-2.28865734781380460e-03,-3.32728528751036244e-04,-7.47967094781380477e-03,-3.26221823339160584e-03
198,1.05125630000000001e+01,1.31051552122569433e+03,NATIVE_RIGHT_EXTERIOR,0.00000000000000000e+00,0.00000000000000000e+00,1.07541418422623589e-02,-2.25397502341203454e-03,-3.14857567954589647e-04,-7.57830402341203371e-03,-3.17583781885032428e-03
199,1.05199060000000006e+01,1.34117718482030273e+03,NATIVE_RIGHT_EXTERIOR,0.00000000000000000e+00,0.00000000000000000e+00,1.07728886238943437e-02,-2.21951648741338129e-03,-2.98327123528954459e-04,-7.67719388741338118e-03,-3.09569473648096168e-03
200,1.05272220000000001e+01,1.37172610635892738e+03,NATIVE_RIGHT_EXTERIOR,0.00000000000000000e+00,0.00000000000000000e+00,1.07976014603360041e-02,-2.18561627898157095e-03,-2.83008089774265887e-04,-7.77667507898157067e-03,-3.02092638135443301e-03
201,1.05345110000000002e+01,1.40216228584157602e+03,NATIVE_RIGHT_EXTERIOR,0.00000000000000000e+00,0.00000000000000000e+00,1.08278150752889463e-02,-2.15226679449967559e-03,-2.68786684282274044e-04,-7.87674419449967654e-03,-2.95107088078927059e-03
202,1.05417719999999999e+01,1.43248154763654088e+03,NATIVE_RIGHT_EXTERIOR,0.00000000000000000e+00,0.00000000000000000e+00,1.08631293968783956e-02,-2.11947611781846800e-03,-2.55561951519224484e-04,-7.97742591781846686e-03,-2.88570347905992876e-03
203,1.05490060000000003e+01,1.46268806737552950e+03,NATIVE_RIGHT_EXTERIOR,0.00000000000000000e+00,0.00000000000000000e+00,1.09031547241846723e-02,-2.08722014740942352e-03,-2.43244305838668644e-04,-8.07868774740942187e-03,-2.82446697677525083e-03
204,1.05562129999999996e+01,1.49278184505853460e+03,NATIVE_RIGHT_EXTERIOR,0.00000000000000000e+00,0.00000000000000000e+00,1.09475720411823102e-02,-2.05549565895883071e-03,-2.31753809829894836e-04,-8.18054305895883106e-03,-2.76702898222347914e-03
205,1.05633929999999996e+01,1.52276288068556323e+03,NATIVE_RIGHT_EXTERIOR,0.00000000000000000e+00,0.00000000000000000e+00,1.09960746529227868e-02,-2.02429347090740805e-03,-2.21019201741990117e-04,-8.28298257090740765e-03,-2.71309208201537871e-03
206,1.05705460000000002e+01,1.55263117425661562e+03,NATIVE_RIGHT_EXTERIOR,0.00000000000000000e+00,0.00000000000000000e+00,1.10483966713754225e-02,-1.99360734369208488e-03,-2.10976682494730280e-04,-8.38600844369208516e-03,-2.66238822768333780e-03
207,1.05776719999999997e+01,1.58238672577168427e+03,NATIVE_RIGHT_EXTERIOR,0.00000000000000000e+00,0.00000000000000000e+00,1.11042922141110639e-02,-1.96342963408208723e-03,-2.01568985367438610e-04,-8.48961713408208710e-03,-2.61467508002897597e-03
208,1.05847700000000007e+01,1.61202535959907686e+03,NATIVE_RIGHT_EXTERIOR,0.00000000000000000e+00,0.00000000000000000e+00,1.11635429358372534e-02,-1.93376362122172252e-03,-1.92744570145853607e-04,-8.59382012122172217e-03,-2.56972281461553039e-03
