left_index,right_index,left_x,right_x,midpoint_x,forward_abs_s_inv,reverse_abs_s_inv,classification,current_owner,required_owner
111,112,-4.06696314076965336e+02,-3.81909764288379279e+02,-3.94303039182672308e+02,3.17646196309302742e-02,3.10443968088280307e-02,OUTSIDE_EXTERIOR,ORIGINAL_HYREC_NATIVE,ORIGINAL_HYREC_EXTERIOR
112,113,-3.81909764288379279e+02,-3.57895706364835462e+02,-3.69902735326607399e+02,1.18259754164975930e-01,1.15661005404359890e-01,OUTSIDE_EXTERIOR,ORIGINAL_HYREC_NATIVE,ORIGINAL_HYREC_EXTERIOR
113,114,-3.57895706364835462e+02,-3.34645789042926879e+02,-3.46270747703881170e+02,5.08126998299673893e-02,4.97312448919347422e-02,OUTSIDE_EXTERIOR,ORIGINAL_HYREC_NATIVE,ORIGINAL_HYREC_EXTERIOR
114,115,-3.34645789042926879e+02,-3.12168363586060593e+02,-3.23407076314493736e+02,1.57110649631461041e-01,1.53876786763223722e-01,OUTSIDE_EXTERIOR,ORIGINAL_HYREC_NATIVE,ORIGINAL_HYREC_EXTERIOR
115,116,-3.12168363586060593e+02,-2.90463429994236492e+02,-3.01315896790148543e+02,8.11385956604911696e-02,7.95253145792583077e-02,OUTSIDE_EXTERIOR,ORIGINAL_HYREC_NATIVE,ORIGINAL_HYREC_EXTERIOR
116,117,-2.90463429994236492e+02,-2.69522637004047681e+02,-2.79993033499142086e+02,2.13994312420986849e-01,2.09887806280297545e-01,OUTSIDE_EXTERIOR,ORIGINAL_HYREC_NATIVE,ORIGINAL_HYREC_EXTERIOR
117,118,-2.69522637004047681e+02,-2.49354335878901082e+02,-2.59438486441474367e+02,1.30238172068732033e-01,1.27830266496982120e-01,OUTSIDE_EXTERIOR,ORIGINAL_HYREC_NATIVE,ORIGINAL_HYREC_EXTERIOR
118,119,-2.49354335878901082e+02,-2.29958526618796725e+02,-2.39656431248848889e+02,3.00496816924781474e-01,2.95151981196154933e-01,OUTSIDE_EXTERIOR,ORIGINAL_HYREC_NATIVE,ORIGINAL_HYREC_EXTERIOR
119,120,-2.29958526618796725e+02,-2.11326857960335047e+02,-2.20642692289565900e+02,2.11935273557629061e-01,2.08312888094165871e-01,OUTSIDE_EXTERIOR,ORIGINAL_HYREC_NATIVE,ORIGINAL_HYREC_EXTERIOR
120,121,-2.11326857960335047e+02,-1.93467681166908193e+02,-2.02397269563621620e+02,4.36821677926511553e-01,4.29662551033303086e-01,OUTSIDE_EXTERIOR,ORIGINAL_HYREC_NATIVE,ORIGINAL_HYREC_EXTERIOR
121,122,-1.93467681166908193e+02,-1.76376820606816381e+02,-1.84922250886862287e+02,3.52631012258416698e-01,3.47098366899367794e-01,OUTSIDE_EXTERIOR,ORIGINAL_HYREC_NATIVE,ORIGINAL_HYREC_EXTERIOR
122,123,-1.76376820606816381e+02,-1.60058451911774227e+02,-1.68217636259295318e+02,6.62933417468113073e-01,6.52998829408846571e-01,OUTSIDE_EXTERIOR,ORIGINAL_HYREC_NATIVE,ORIGINAL_HYREC_EXTERIOR
123,124,-1.60058451911774227e+02,-1.44508399450067117e+02,-1.52283425680920686e+02,6.05192054269487190e-01,5.96546710229989618e-01,OUTSIDE_EXTERIOR,ORIGINAL_HYREC_NATIVE,ORIGINAL_HYREC_EXTERIOR
124,125,-1.44508399450067117e+02,-1.29726663221695020e+02,-1.37117531335881068e+02,1.05895728890130103e+00,1.04457211524103322e+00,OUTSIDE_EXTERIOR,ORIGINAL_HYREC_NATIVE,ORIGINAL_HYREC_EXTERIOR
