i,j,x_i,x_j,K_i_from_j_sInv,K_j_from_i_sInv,conductance_mean,conductance_difference,relative_difference,combined_standard_error,significance
0,15,-4.0,3.5,1.3221251801468647e-08,1.3137235146706053e-08,1.591972636830539e-08,-3.4518842477979794e-12,-0.00021683062685489004,3.6504384203186714e-11,0.09456081298576298
0,16,-4.0,4.0,6.3779710618144205e-09,6.3373764436366096e-09,7.677997076791054e-09,-4.960521252546033e-12,-0.0006460696979868135,5.39121212317848e-12,0.9201124235529939
1,2,-3.5,-3.0,7.774731874336316e-06,7.7712810135925e-06,9.414157241661188e-06,4.2405850278335504e-11,4.504476522940754e-06,1.3222294368168118e-09,0.03207147647569022
1,3,-3.5,-2.5,5.123026404391063e-06,5.118407728236432e-06,6.200514705744851e-06,1.4297563538730494e-10,2.3058672089727698e-05,1.7046803639097762e-09,0.08387240119278586
1,4,-3.5,-2.0,3.357660971507455e-06,3.3515140053239675e-06,4.061070556333575e-06,2.0876165542055265e-09,0.0005140557213293711,1.4643175279219285e-09,1.4256583796877351
1,5,-3.5,-1.5,2.1574195010133854e-06,2.1539921860974552e-06,2.609128794639714e-06,-4.381266079100943e-10,-0.00016792065183221194,9.672386452442136e-10,0.4529664008611584
1,6,-3.5,-1.0,1.3643558438354437e-06,1.3629385174996334e-06,1.650109489722294e-06,-1.9106421024086074e-09,-0.001157888076099823,8.955456950769793e-10,2.1334948209922135
1,7,-3.5,-0.5,8.735418456683763e-07,8.739138611111968e-07,1.0570413660307864e-06,-3.2371693158328264e-09,-0.003062481204485373,9.759016781656686e-10,3.3171060038727447
1,8,-3.5,0.0,6.009061082660584e-07,5.99051798646233e-07,7.256970791160158e-07,1.0501704572039871e-11,1.4471195867058167e-05,1.7808674482831545e-09,0.0058969602606662504
1,9,-3.5,0.5,4.6384144021755855e-07,4.6367323905933357e-07,5.608100402623489e-07,-1.7681851656356276e-09,-0.003152912820192136,6.346864409799005e-10,2.7859192373886295
1,10,-3.5,1.0,4.1277974542048907e-07,4.1223374381680653e-07,4.987241059932718e-07,-1.3123623025742987e-09,-0.002631439480874028,5.476170910511309e-10,2.3964962453148924
1,11,-3.5,1.5,4.100921631253258e-07,4.102181902886664e-07,4.957731381941117e-07,-2.3310115870738867e-09,-0.004701770643655199,1.2267109413400765e-10,19.00212599821973
1,12,-3.5,2.0,4.371006168884439e-07,4.3716285640503206e-07,5.282650218686288e-07,-2.6288244290320743e-09,-0.004976336346732079,1.0120616818757939e-10,25.974942793602366
1,13,-3.5,2.5,4.947467266087331e-07,4.837162666378002e-07,5.910793097542419e-07,1.021007452267919e-08,0.017273611771192465,1.3771718869102737e-08,0.7413798248224336
1,14,-3.5,3.0,5.468913012870343e-07,5.434420363656281e-07,6.585283324707846e-07,4.044294695877629e-10,0.0006141413355297135,8.44297107401566e-10,0.47901321234233185
1,15,-3.5,3.5,2.922649483390327e-07,2.90402575919936e-07,3.5183618072143566e-07,8.453572201731418e-11,0.00024027012186175607,3.158701681200563e-10,0.26762806541826945
1,16,-3.5,4.0,1.313993447172796e-08,1.3010805790977187e-08,1.5787223306137244e-08,5.184551842688557e-11,0.003284017551505131,7.137924490616952e-11,0.7263388467479349
2,3,-3.0,-2.5,2.4589827397440886e-05,2.4588197655487706e-05,2.9767521475807212e-05,-1.1108375766325299e-08,-0.00037317100032508067,2.3882820658865403e-09,4.6511992553115045
2,4,-3.0,-2.0,1.9198204000079373e-05,1.9177462755166854e-05,2.3223733112104624e-05,4.6925286956462785e-09,0.0002020574673759254,1.7648142113807267e-08,0.26589363715373837
2,5,-3.0,-1.5,1.535047246743855e-05,1.5342018677522087e-05,1.8570042092771793e-05,-1.4252160672500232e-08,-0.0007674813337147871,2.6318625982620204e-09,5.415237361521762
2,6,-3.0,-1.0,1.2658909367477929e-05,1.2654043362221809e-05,1.531186919243497e-05,-2.102832424785299e-08,-0.0013733348935766974,3.671923310518834e-09,5.726787427072309
2,7,-3.0,-0.5,1.0902635137731667e-05,1.0899893509857598e-05,1.3185510535624301e-05,-2.5655801302020286e-08,-0.0019457571424863714,3.900834989183834e-09,6.577002455412298
2,8,-3.0,0.0,9.946733050628095e-06,9.948592134495865e-06,1.2029454377249633e-05,-3.396625144351628e-08,-0.002823590362315518,2.8493728589283846e-09,11.920606086032064
2,9,-3.0,0.5,9.702185741677453e-06,9.694718286771254e-06,1.1725508997415348e-05,-2.7041286654130473e-08,-0.002306192990009319,1.2610240601485164e-08,2.1443910158974844
2,10,-3.0,1.0,1.0031041709858802e-05,1.0033748678872433e-05,1.2126598702010273e-05,-4.5904367666175445e-08,-0.0037854281150217087,4.724224716813733e-09,9.716804432016048
2,11,-3.0,1.5,1.0887837289995852e-05,1.0884695845283354e-05,1.3155818232702874e-05,-4.8235658491051456e-08,-0.003666488669716243,3.902768729568709e-09,12.359343285089281
2,12,-3.0,2.0,1.2239590718282072e-05,1.2212628916192858e-05,1.4771718990606559e-05,-3.2338972347474104e-08,-0.002189249089292769,4.191444384221355e-08,0.7715472133953107
2,13,-3.0,2.5,1.403314227570189e-05,1.3942942446863442e-05,1.6896709821315267e-05,2.727815789294044e-08,0.001614406483949256,3.8939024814798774e-08,0.7005352091553505
2,14,-3.0,3.0,8.310639774670929e-06,8.266254018220058e-06,1.0009756192199307e-05,8.180670603905434e-10,8.172697163474075e-05,6.299459681976706e-09,0.12986305202192233
2,15,-3.0,3.5,5.43382125371729e-07,5.399459124835091e-07,6.540098587665167e-07,4.126507674891083e-10,0.0006309549649104383,4.3477242549794255e-10,0.9491189948776111
2,16,-3.0,4.0,1.1844878316645063e-08,1.1856474268535948e-08,1.4305626698057543e-08,-1.0201062166734922e-10,-0.007130804110888795,4.780444337606363e-12,21.33915060256248
3,4,-2.5,-2.0,0.00023982056497192777,0.00023979550269328333,0.00029018466829914424,-9.71946707793974e-08,-0.00033494075117435843,4.948928906945621e-08,1.9639536676913791
3,5,-2.5,-1.5,0.00020337238240921283,0.0002031485076208613,0.0002459054264952905,5.471817266091772e-08,0.0002225171418165742,2.0077150517659856e-07,0.27253953499420963
3,6,-2.5,-1.0,0.00017708526282859355,0.00017708871558060453,0.00021419366868913588,-2.8655894350156693e-07,-0.0013378497378344848,3.202383502454504e-08,8.948301890823835
3,7,-2.5,-0.5,0.00016123907290828312,0.00016107846100417913,0.00019488497866168656,-1.483458603614271e-07,-0.0007611969961982051,2.508812414927393e-07,0.5912991321263066
3,8,-2.5,0.0,0.00015466141780775248,0.00015462333087038345,0.00018696389159447512,-3.6475989682491997e-07,-0.001950964401276395,4.7652545255569164e-08,7.654573220982155
3,9,-2.5,0.5,0.0001577608193407635,0.00015788444196326713,0.00019076710132425172,-6.524244501421544e-07,-0.003420005051254681,7.517914998190424e-08,8.678263192643096
3,10,-2.5,1.0,0.00017022966171271307,0.00017019077568405195,0.0002056952402207736,-5.857580856350874e-07,-0.0028476987848935673,7.237908495985186e-08,8.092919190122437
3,11,-2.5,1.5,0.00019287972708319933,0.0001919087823206648,0.0002324521635964752,3.5589345425898755e-07,0.0015310395427284556,6.237731693270794e-07,0.5705494749684762
3,12,-2.5,2.0,0.00022324722370638286,0.00022231365571723322,0.00026910603027806534,6.336661257776849e-08,0.00023547080127595885,1.628138307055031e-07,0.3891967427041608
3,13,-2.5,2.5,0.0001473941460397163,0.00014676264828830947,0.00017762323905598986,-1.7921824422428715e-08,-0.00010089797099567276,8.252498633731365e-08,0.21716846276320276
3,14,-2.5,3.0,1.3937301004071927e-05,1.3889443154003753e-05,1.6799189684497567e-05,-2.342253433676279e-08,-0.0013942657221364255,2.0683118579223392e-08,1.1324469396163108
3,15,-2.5,3.5,4.830311125825899e-07,4.833192629048514e-07,5.83267153896226e-07,-3.42364756064471e-09,-0.00586977603277458,2.3563867556029277e-10,14.529225953694104
3,16,-2.5,4.0,1.0945957369191887e-08,1.0944740500912395e-08,1.3209821008363593e-08,-7.399728363425176e-11,-0.005601687077167929,4.964690458978192e-12,14.904712437899203
4,5,-2.0,-1.5,0.0022479809883670424,0.0022474614628981197,0.002718706492893688,-5.663515062421035e-07,-0.00020831653130724693,3.794333612677321e-07,1.4926244343666977
4,6,-2.0,-1.0,0.0019142519230675066,0.0019130944810281094,0.0023141537633134318,-6.342505131503792e-07,-0.0002740744902975903,1.3314389900237786e-06,0.4763646835511794
4,7,-2.0,-0.5,0.0017148642196359626,0.0017114167599515252,0.0020711989295324014,1.4374324893945238e-06,0.0006940098649621463,2.0937343476987236e-06,0.6865400526931424
4,8,-2.0,0.0,0.0016430988527932843,0.0016411175123130495,0.001984884790495258,-1.0941109372789894e-06,-0.0005512213819755214,1.901988342970786e-06,0.5752458690519927
