small_domain,large_domain,state,small_action_norm,large_restricted_action_norm,domain_relative,small_entropy,large_entropy,small_number_residual,large_number_residual,fourforce_relative
12.75,16.25,compact_gaussian,0.3034541123244264,0.3034541123244275,2.866210514140664e-11,-0.04013508727200668,-0.040135087272010025,1.0733081090563701e-13,1.2526091275333329e-13,1.6284489583112576e-07
12.75,16.25,wing_localized,7.116028557387339e-05,7.144843211244207e-05,0.004837322542525167,-3.9322127129545735e-05,-3.955260567362471e-05,3.952274705426584e-14,5.023959763830743e-14,0.3499528065238135
16.25,21.25,BE_equilibrium,2.2231107101469392e-14,2.3604754760007116e-14,0.4491453885287803,-0.0,-0.0,3.0338795711792876e-14,4.42917729402692e-14,0.3200458758528086
16.25,21.25,smooth_L8,0.010364094910152099,0.010364094335691337,0.00025651658440628924,-5.7607745895306667e-05,-5.80460819709347e-05,1.2789769243681803e-13,1.473023092390946e-13,0.003493152455022039
16.25,21.25,smooth_L2,0.16099127908592764,0.1609912791979692,5.637812613135445e-05,-0.012634111271904568,-0.012639200349238915,3.895495037653518e-14,2.350897254643769e-14,0.00080292830198717
16.25,21.25,narrow_core,2.5371783001770734,2.537178300177076,4.227150333307545e-15,-1.0215339332354725,-1.0215339332354725,8.970602038971265e-14,7.283063041541027e-14,4.342825790971075e-08
16.25,21.25,angular_dipole,4.366304825260611,4.366304825356159,1.5386361995381479e-06,-2.3031487546657763,-2.3031680511390857,9.298207277914916e-14,1.067950524021033e-13,8.378197531237703e-06
16.25,21.25,angular_quadrupole,2.4405596316388665,2.4405596316837306,1.2836208992528935e-06,-0.6995815473264475,-0.699587361726541,5.3790305543088834e-14,6.946789606228354e-14,0.22649511566169103
16.25,21.25,red_blue_crossing,0.6824422623162371,0.6824422961815582,7.562596417132859e-05,-0.18839526832535547,-0.19001060630330735,4.169189678823043e-14,5.574659928554021e-14,0.0030829015768969034
16.25,21.25,tapered_L8,0.010364099062668393,0.010364099062670568,1.1082126945755777e-12,-5.929697378220223e-05,-5.9296973782292374e-05,2.4471917547952415e-13,2.638497059725964e-13,4.612945516089522e-06
16.25,21.25,tapered_red_blue,0.6824417853352879,0.682441785335288,1.784177245295568e-14,-0.18554590255600772,-0.185545902556011,3.2513136063658243e-14,4.7783744192356203e-14,2.500546445119255e-12
16.25,21.25,compact_gaussian,0.3034541123244275,0.3034541123244296,3.531864121593047e-14,-0.040135087272010025,-0.040135087272010025,1.2526091275333329e-13,1.4011014570769476e-13,1.3832862533258403e-07
16.25,21.25,wing_localized,7.144942209075525e-05,7.144942117946301e-05,6.22396331990335e-07,-3.955260567362471e-05,-3.9552616557653216e-05,5.023959763830743e-14,6.23268797683707e-14,0.0020487717518250076
