target_i,source_j,x_i,x_j,base_symmetric_rate_s^-1,completed_i_from_j_s^-1,completed_j_from_i_s^-1,Pi_i_m^-3,Pi_j_m^-3,conductance_i_j_m^-3_s^-1,relative_balance_residual,log_rate_ratio,log_Pi_ratio
5,16,-1.5,4.0,1.2284608679298986e-08,1.2314336349256724e-08,1.225495277401748e-08,1.209273268416411,1.2034417750997495,1.4819586795324881e-08,1.1163342459912276e-16,0.004833977131171399,0.004833977131171399
6,7,-1.0,-0.5,0.05765997621114187,0.057672646980383525,0.057647308225687706,1.2087419686898015,1.2082109020951715,0.06968072083438555,0.0,0.0004394513518205278,0.0004394513518205278
6,8,-1.0,0.0,0.053382962978142275,0.053406427356871365,0.05335950890860435,1.2087419686898015,1.2076800684591948,0.06449787784650743,0.0,0.0008789030083642368,0.0008789030083642368
6,9,-1.0,0.5,0.05757370656299141,0.05761167036344181,0.05753576777917629,1.2087419686898015,1.2071494677511034,0.0695458972154808,0.0,0.001318354910599266,0.001318354910599266
6,10,-1.0,1.0,0.05097074843899353,0.05101556650327188,0.050925969748165746,1.2087419686898015,1.2066190998170574,0.061556356930835145,0.0,0.0017578071014243749,0.0017578071014243749
6,11,-1.0,1.5,0.013960366840680964,0.013975712543592159,0.013945037987758428,1.2087419686898015,1.206088964566291,0.016855952670777195,2.058291821125317e-16,0.0021972595715545563,0.002197259571554335
6,12,-1.0,2.0,0.0018947264487320736,0.0018972260203126094,0.0018922301703058692,1.2087419686898015,1.2055590619049625,0.0022872180212697548,0.0,0.002636712314276378,0.002636712314276378
6,13,-1.0,2.5,0.00017021340755395551,0.00017047541128701075,0.0001699518064945505,1.2087419686898015,1.205029391709487,0.00020542788116461116,-1.3194437949938298e-16,0.003076165347584793,0.003076165347584793
6,14,-1.0,3.0,1.0030495098973906e-05,1.0048142302345057e-05,1.0012878888773178e-05,1.2087419686898015,1.2044999539311483,1.2102986940268243e-05,0.0,0.0035156186273857574,0.0035156186273857574
6,15,-1.0,3.5,4.1234521318372553e-07,4.131614475312425e-07,4.1153059137415e-07,1.2087419686898015,1.2039707483986715,4.974342971936685e-07,2.128504588527902e-16,0.003955072211339684,0.003955072211339684
6,16,-1.0,4.0,1.807858107587979e-08,1.8118348146755147e-08,1.8038901287791648e-08,1.2087419686898015,1.2034417750997495,2.180437705560627e-08,-1.5174579130484183e-16,0.004394526025151446,0.004394526025151446
7,8,-0.5,0.0,0.17278053092006096,0.17281849943650573,0.17274257074536345,1.2082109020951715,1.2076800684591948,0.20870945723049458,1.3298666952583854e-16,0.00043945165654361585,0.00043945165654361585
7,9,-0.5,0.5,0.15263546893213825,0.15270255960103563,0.15256840773987745,1.2082109020951715,1.2071494677511034,0.18433481354662132,1.5057153383893526e-16,0.000878903558778701,0.000878903558778701
7,10,-0.5,1.0,0.05757370656299141,0.05761167038761003,0.0575357677550399,1.2082109020951715,1.2066190998170574,0.06951534186205503,0.0,0.0013183557496037445,0.0013183557496037445
7,11,-0.5,1.5,0.012076832536541581,0.012087451580169089,0.012066222821934902,1.2082109020951715,1.206088964566291,0.014578541960571316,1.1899156175346533e-16,0.0017578082197338555,0.0017578082197336339
7,12,-0.5,2.0,0.0017029624730527915,0.0017048344276389728,0.0017010925739236776,1.2082109020951715,1.2055590619049625,0.002055278593287724,0.0,0.002197260962455749,0.002197260962455749
7,13,-0.5,2.5,0.0001577699717859746,0.00015797810609985297,0.00015756211168662938,1.2082109020951715,1.205029391709487,0.00019036826109692262,-1.4238221306406506e-16,0.002636713995764103,0.002636713995764103
7,14,-0.5,3.0,9.691758381125796e-06,9.706676585895477e-06,9.676863104165812e-06,1.2082109020951715,1.2044999539311483,1.1691691500535657e-05,0.0,0.003076167275565009,0.003076167275565009
7,15,-0.5,3.5,4.636725525876809e-07,4.6448831780686546e-07,4.6285822006952955e-07,1.2082109020951715,1.2039707483986715,5.592303476123717e-07,0.0,0.0035156208595190272,0.0035156208595190272
7,16,-0.5,4.0,3.425734504406883e-08,3.432515725143531e-08,3.418966680536662e-08,1.2082109020951715,1.2034417750997495,4.130832817324535e-08,1.6019638637203962e-16,0.003955074673330963,0.003955074673330742
8,9,0.0,0.5,0.172780530920061,0.17281849945773575,0.17274257072414279,1.2076800684591948,1.2071494677511034,0.20861775963795007,0.0,0.00043945190223500344,0.00043945190223500344
8,10,0.0,1.0,0.05338296297814228,0.053406427385836244,0.05335950887966494,1.2076800684591948,1.2066190998170574,0.06444121533674277,0.0,0.0008789040930602669,0.0008789040930602669
8,11,0.0,1.5,0.011452206809057114,0.011459758343692355,0.011444660250589229,1.2076800684591948,1.206088964566291,0.013821488074923827,1.2550916851884398e-16,0.0013183565631901136,0.0013183565631901136
8,12,0.0,2.0,0.001641518842088369,0.0016429622148371942,0.0016400767373692486,1.2076800684591948,1.2055590619049625,0.0019806879864644276,2.1895466219711457e-16,0.0017578093059122787,0.0017578093059120571
8,13,0.0,2.5,0.00015465231334662748,0.00015482231256464335,0.00015448250079249518,1.2076800684591948,1.205029391709487,0.00018656543713282823,1.452844360064385e-16,0.002197262339220701,0.002197262339220701
8,14,0.0,3.0,9.94840312675914e-06,9.961527331011153e-06,9.935296213503933e-06,1.2076800684591948,1.2044999539311483,1.1998659211286809e-05,0.0,0.002636715619021378,0.002636715619021378
8,15,0.0,3.5,5.992752575583687e-07,6.001977028216468e-07,5.983542300033888e-07,1.2076800684591948,1.2039707483986715,7.226204774533415e-07,1.4652106010049237e-16,0.003076169202975434,0.003076169202975434
8,16,0.0,4.0,7.389076152101011e-08,7.402076177647429e-08,7.376098958076473e-08,1.2076800684591948,1.2034417750997495,8.90796769465159e-08,-1.485736169518752e-16,0.0035156230167871613,0.0035156230167871613
9,10,0.5,1.0,0.05765997621114187,0.05767264700457733,0.05764730820150452,1.2071494677511034,1.2066190998170574,0.06958891741273002,1.9942525798333183e-16,0.00043945219082520433,0.00043945219082520433
9,11,0.5,1.5,0.012098070155585552,0.012103387849060522,0.012092754798469977,1.2071494677511034,1.206088964566291,0.014597762518617633,0.0,0.0008789046609551427,0.0008789046609551427
9,12,0.5,2.0,0.0017111494242725922,0.0017122777493718169,0.0017100218426961578,1.2071494677511034,1.2055590619049625,0.002064251957253428,0.0,0.001318357403677225,0.001318357403677003
9,13,0.5,2.5,0.00016102580037552708,0.00016116738900416694,0.00016088433613520103,1.2071494677511034,1.205029391709487,0.00019421144073509755,0.0,0.001757810436985739,0.0017578104369855175
9,14,0.5,3.0,1.089890485807845e-05,1.0910885322031792e-05,1.0886937549016968e-05,1.2071494677511034,1.2044999539311483,1.3142160867735335e-05,0.0,0.002197263716786359,0.002197263716786359
9,15,0.5,3.5,8.741747239626056e-07,8.753279597940602e-07,8.730230075078236e-07,1.2071494677511034,1.2039707483986715,1.053869258847537e-06,2.009340675191002e-16,0.002636717300740523,0.0026367173007403014
9,16,0.5,4.0,1.6166341497762574e-07,1.6191225846357108e-07,1.6141495394005758e-07,1.2071494677511034,1.2034417750997495,1.9485197573580941e-07,1.35845579711165e-16,0.0030761711145524517,0.0030761711145522305
10,11,1.0,1.5,0.014019490956375474,0.014022571744793473,0.014016410844813153,1.2066190998170574,1.206088964566291,0.01691246903623449,2.0514136312802237e-16,0.00043945247013002834,0.00043945247013002834
10,12,1.0,2.0,0.0019126152517614453,0.0019134559402267611,0.0019117749326577024,1.2066190998170574,1.2055590619049625,0.002306784148296252,-1.880023622125678e-16,0.0008789052128517828,0.0008789052128520047
10,13,1.0,2.5,0.00017707593942931982,0.00017719270267150928,0.00017695925312965973,1.2066190998170574,1.205029391709487,0.0002135224147156088,0.0,0.0013183582461605476,0.0013183582461605476
10,14,1.0,3.0,1.2655018955423367e-05,1.2666146413791253e-05,1.2643901272746182e-05,1.2066190998170574,1.2044999539311483,1.5256372771896743e-05,-1.1103988607496424e-16,0.0017578115259612199,0.0017578115259612199
10,15,1.0,3.5,1.3630715038313842e-06,1.364569841470776e-06,1.3615748114105906e-06,1.2066190998170574,1.2039707483986715,1.6429021732778267e-06,1.288927851322315e-16,0.002197265109915304,0.002197265109915304
10,16,1.0,4.0,3.3823935177631747e-07,3.386855668974404e-07,3.3779372453951495e-07,1.2066190998170574,1.2034417750997495,4.0758835982772064e-07,1.2988486527380284e-16,0.0026367189237271687,0.0026367189237271687
11,12,1.5,2.0,0.002247194995281524,0.002247688817534477,0.002246701281522423,1.206088964566291,1.2055590619049625,0.0027097216223211386,1.60046281293911e-16,0.00043945274272206387,0.00043945274272206387
11,13,1.5,2.5,0.00020310756714575604,0.0002031968429675381,0.0002030183305478725,1.206088964566291,1.205029391709487,0.0002448581680784606,0.0,0.0008789057760305806,0.0008789057760305806
11,14,1.5,3.0,1.5346229651641587e-05,1.5356348906895177e-05,1.5336117064595885e-05,1.206088964566291,1.2044999539311483,1.8496721550905878e-05,0.0,0.0013183590558314385,0.0013183590558314385
