lambda,alpha,mode,observable,base_decimal120,hires_decimal120,delta_hires_minus_base,absolute_difference,mean_positive_scale,absolute_difference_over_mean_positive,alpha_JVP_difference,abs_alpha_JVP_difference_over_mean_positive,API_difference,API_alpha_JVP_difference
2,1/8,raw,S,0.0800576931472872658760187295116126036867246048453377591892367975058911690006724165961046164155568002107257573999199732498,0.0800587675580216236238906532989323006172033778290549294665838071158499368659341657172684782474171214763801014491219937193,0.00000107441073435774787192378731969693047877298371717027734700960995876786526174912116386183186032126565434404920202046949583,0.00000107441073435774787192378731969693047877298371717027734700960995876786526174912116386183186032126565434404920202046949583,4.27969370840586350033217223804892150736280762048862636248908496498479334017593695345460625820003876527878237348354159092,0.000000251048511309925837424055181642196252688675636552118001343645729755238368859363589055756438155272464224864984594910743771,0.00000816780040219134884512554935566617897409837352144548803326826167625963355410116404351908159445427507069875655123700494594,0.00000190850115889105536063517244749451201862364367785613749122647394690097810278450477073746116977914963583397339346033846056,1.0744107343946263e-06,8.167800402136827e-06
2,1/8,raw,1,0.160115386294574531752037459023225207373449209690675518378473595011782338001344833192209232831113600421451514799839946500,0.160117535116043247247781306597864601234406755658109858933167614231699873731868331434536956494834242952760202898243987439,0.00000214882146871549574384757463939386095754596743434055469401921991753573052349824232772366372064253130868809840404093901587,0.00000214882146871549574384757463939386095754596743434055469401921991753573052349824232772366372064253130868809840404093901587,8.55938741681172700066434447609784301472561524097725272497816992996958668035187390690921251640007753055756474696708318186,0.000000251048511309925837424055181642196252688675636552118001343645729755238368859363589055756438155272464224864984594910746599,0.0000163356008043826976902510987113323579481967470428909760665365233525192671082023280870381631889085501413975131024740100855,0.00000190850115889105536063517244749451201862364367785613749122647394690097810278450477073746116977914963583397339346033848318,2.1488214687892526e-06,1.6335600804273653e-05
2,1/8,raw,u,0.0800576931472872658760187295116126036867246048453377591892367975058911690006724165961046164155568002107257573999199732498,0.0800587675580216236238906532989323006172033778290549294665838071158499368659341657172684782474171214763801014491219937193,0.00000107441073435774787192378731969693047877298371717027734700960995876786526174912116386183186032126565434404920202046949583,0.00000107441073435774787192378731969693047877298371717027734700960995876786526174912116386183186032126565434404920202046949583,4.27969370840586350033217223804892150736280762048862636248908496498479334017593695345460625820003876527878237348354159092,0.000000251048511309925837424055181642196252688675636552118001343645729755238368859363589055756438155272464224864984594910743771,0.00000816780040219134884512554935566617897409837352144548803326826167625963355410116404351908159445427507069875655123700494594,0.00000190850115889105536063517244749451201862364367785613749122647394690097810278450477073746116977914963583397339346033846056,1.0744107343946263e-06,8.167800402136827e-06
2,1/8,raw,u^2,0.0493576573969528952827322436113594364429066613800037354384355315503050591248853532803507716779760849688008892219443597513,0.0493594412689828368367455472624525304082921224158247411099237459906437225230130818326408615275884051396640358736844930710,0.00000178387202994155401330365109309396538546103582100567148821444033866339812772855229008984961232017086314665174013331969837,0.00000178387202994155401330365109309396538546103582100567148821444033866339812772855229008984961232017086314665174013331969837,2.99849388412567192972554557940392648243462885110221455951588496174805934085767541157364915772588160579593637759733909141,0.000000594922684146715081827204476024730891917761147262551379858251466639723506540786804967890640511802470759619553999699509059,0.0000133889508534959491084470863868628732881541805356741136407178414737941890784946565273205203496246873319109754130812399581,0.00000446522533341768711246005429004835406328379592070334319808462782485922748175036568340789188498126571898903388958144101345,1.7838720299603872e-06,1.3388950853510106e-05
2,1/8,raw,window,0.0100480179065404344912029338754501136454254800787308695159458448456778711732846334250203265079948369369338541559839895021,0.0100486087496375317370502513359348546784148815267248036207467119993685812884987628456641658387536517003918219334770081366,0.000000590843097097245847317460484741032989401447993934104800867153690710115214129420643839330758814763457967777493018634500193,0.000000590843097097245847317460484741032989401447993934104800867153690710115214129420643839330758814763457967777493018634500193,0.430625660384250853275643679226412320280920541277250210893941054161894413392417562031502528738934288401017501593541260603,0.00000137205733761901611853377622578919002803757016565228233530735144854426523086364199262453261033612931996040342532775564130,0.00000440370817101949465778923873428478588305002979468620812313261897779475023426833268488986506375347212834622268056697800638,0.0000102263022762973049080896434676703411756993415190018288556787269290806118949283551478746320039031552324149464471305788461,5.908430971146572e-07,4.4037081710912584e-06
8,-1/8,raw,S,-0.0000787894629371345418051742416570247387269878006846345339595663795806938617724879948552774820652270987277411674757792410524,-0.0000787887797932768922192815412294100409868611962036291331493296889231060823619911553406303467163889086735335778150452151371,0.000000000683143857649585892700427614697740126604481005400810236690657587779410496839514647135348838190054207589660734025915305126,0.000000000683143857649585892700427614697740126604481005400810236690657587779410496839514647135348838190054207589660734025915305126,0.00380112642994290767741103141516119958422767413996553794188099098563303771512045140179737023842492436851682421407079668263,0.000000179721424751411545723956423575677219908783883993507963338686079154338279131508868590465215989994440806369939042575903270,-0.00000000616264259611910914499185515303224563967231542575701088635265166836394716371033822018956640809754252453299190433936502440,0.00000162126746102777514555858931131443507998178175228947062144906226831359893467350033975573668223798648826883427432258470168,6.831438577532042e-10,-6.1626425961001235e-09
8,-1/8,raw,1,-0.000157578925874269083610348483314049477453975601369269067919132759161387723544975989710554964130454197455482334951558482105,-0.000157577559586553784438563082458820081973722392407258266298659377846212164723982310681260693432777817347067155630090430274,0.00000000136628771529917178540085522939548025320896201080162047338131517555882099367902929427069767638010841517932146805183098844,0.00000000136628771529917178540085522939548025320896201080162047338131517555882099367902929427069767638010841517932146805183098844,0.00760225285988581535482206283032239916845534827993107588376198197126607543024090280359474047684984873703364842814159336527,0.000000179721424751411545723956423575677219908783883993507963338686079154338279131508868590465215989994440806369939042575953016,-0.0000000123252851922382182899837103060644912793446308515140217727053033367278943274206764403791328161950850490659838086787300488,0.00000162126746102777514555858931131443507998178175228947062144906226831359893467350033975573668223798648826883427432258470167,1.3662877155064083e-09,-1.2325285192200247e-08
8,-1/8,raw,u,-0.0000787894629371345418051742416570247387269878006846345339595663795806938617724879948552774820652270987277411674757792410524,-0.0000787887797932768922192815412294100409868611962036291331493296889231060823619911553406303467163889086735335778150452151371,0.000000000683143857649585892700427614697740126604481005400810236690657587779410496839514647135348838190054207589660734025915305126,0.000000000683143857649585892700427614697740126604481005400810236690657587779410496839514647135348838190054207589660734025915305126,0.00380112642994290767741103141516119958422767413996553794188099098563303771512045140179737023842492436851682421407079668263,0.000000179721424751411545723956423575677219908783883993507963338686079154338279131508868590465215989994440806369939042575903270,-0.00000000616264259611910914499185515303224563967231542575701088635265166836394716371033822018956640809754252453299190433936502440,0.00000162126746102777514555858931131443507998178175228947062144906226831359893467350033975573668223798648826883427432258470168,6.831438577532042e-10,-6.1626425961001235e-09
8,-1/8,raw,u^2,-0.0000472478770409751292737862571721772196488486936862312299004064670877064525687247673138993332211352835311737744334642565865,-0.0000472489979640365029594258831581063215759232668846332061338727357986480294386019680545892991405904546772335477398823804224,-0.00000000112092306137368563962598592910192707457319840197623346626871094157686987720074068996591945517114605977330641812383590271,0.00000000112092306137368563962598592910192707457319840197623346626871094157686987720074068996591945517114605977330641812383590271,0.00254021852200867953103391686745530087602667821391677239338819748034089577483944483594721689808968073004019066051940407126,0.000000441270328383919885502051704713316417376130492494798492940304069256889917221601154347912465332453743386501875030356414101,0.00000000896094604653537874284544005296454745054595769874578084307436101360260563918121547659026983058776211849172673483729100919,0.00000352762802447779356280548772125942264676355180130470928068398883130604059212300125359816220359947226098134636304562925178,-1.1209230613273683e-09,8.960946046494313e-09
8,-1/8,raw,window,-0.00000968104748620855726331634992200540259561722443506194897951787838967647781561709840744643791380254585882086508967127392147,-0.00000968186013358363646300973453536999472792938414169748348639962386710079302765322365673402708017127862647427117186363853020,-0.000000000812647375079199693384613364592132312159706635534506881745477424315212036125249287589166368732767653406082192364608729505,0.000000000812647375079199693384613364592132312159706635534506881745477424315212036125249287589166368732767653406082192364608729505,0.000414178022154117918211520086494600759359734744409602323650253678998655863980441727225306359628531246731852453149789823648,0.00000196207266347128660320533917909988734573773696807523882016826716523799124068044345201971144982506235739526155457496184720,0.00000000673366367689149493668430485365347360892077557373744747377450070241994319251708252393645218993318834162060891909300460475,0.0000162578971280756700238629065556014102796819911064142285993724078992383880418253598598360620522185021070478112787400912194,-8.126473749839064e-10,6.733663676942916e-09
