table,lambda,alpha,mode,observable,dps,api_inputs_exact_value,api_inputs_exact_jvp,api_inputs_exact_plus,api_inputs_exact_minus,api_inputs_exact_jvp_scale,decimal_tokens_value,decimal_tokens_jvp,decimal_tokens_plus,decimal_tokens_minus,decimal_tokens_jvp_scale
base,2,1/8,raw,S,80,0.080057693147287390125863081829713649286499111911891872346032234822553899924014642,0.59948444864317913861918981266385989209836479108710755033306103814220569985818343,2.1801040532685827678033060988966401749165057749493641231251806182642885922320598,2.1000463601212953776774430170669265256300066630374722507791483834417346923080452,2.1417000393633439603345606170189466816756415447853704523189508825138426590572560,0.080057693147287265876018729511612603686724604845337759189236797505891169000672417,0.59948444864317915314547147346329376335507013140888458136252750268319377537692873,2.1801040532685832447924434418405474649997859553113855943133756369279411934060844,2.1000463601212959789164247123289348613130613504660478351241388394220500244054120,2.1417000393633444792729211171099088475115246172936501734958861919469259791115705
base,2,1/8,raw,1,80,0.16011538629457478025172616365942729857299822382378374469206446964510779984802928,1.1989688972863582772383796253277197841967295821742151006661220762844113997163669,4.3602081065371655356066121977932803498330115498987282462503612365285771844641197,4.2000927202425907553548860341338530512600133260749445015582967668834693846160904,4.2834000787266879206691212340378933633512830895707409046379017650276853181145120,0.16011538629457453175203745902322520737344920969067551837847359501178233800134483,1.1989688972863583062909429469265875267101402628177691627250550053663875507538575,4.3602081065371664895848868836810949299995719106227711886267512738558823868121688,4.2000927202425919578328494246578697226261227009320956702482776788441000488108240,4.2834000787266889585458422342198176950230492345873003469917723838938519582231409
base,2,1/8,raw,u,80,0.080057693147287390125863081829713649286499111911891872346032234822553899924014642,0.59948444864317913861918981266385989209836479108710755033306103814220569985818343,2.1801040532685827678033060988966401749165057749493641231251806182642885922320598,2.1000463601212953776774430170669265256300066630374722507791483834417346923080452,2.1417000393633439603345606170189466816756415447853704523189508825138426590572560,0.080057693147287265876018729511612603686724604845337759189236797505891169000672417,0.59948444864317915314547147346329376335507013140888458136252750268319377537692873,2.1801040532685832447924434418405474649997859553113855943133756369279411934060844,2.1000463601212959789164247123289348613130613504660478351241388394220500244054120,2.1417000393633444792729211171099088475115246172936501734958861919469259791115705
base,2,1/8,raw,u^2,80,0.049357657396952989839239792551093205597761710976795640891862524074998820748026540,0.36971659315297529357626115403253370622950163346823365021569112526254601452402225,1.5241584150885842025937462957900774294463358562318268833547448359602673658737355,1.4748007576916312127545065032389842238485741452550312424628823118852685451257090,1.4902178297015212411261823462534456553833472834673947577463508218575223312998253,0.049357657396952895282732243611359436442906661380003735438435531550305059124885353,0.36971659315297532280383952945817219153534987666809084322978283310114592159715739,1.5241584150885847556990458842266030979328735570587108030146237207951404650910172,1.4748007576916318604163136406152436614899668956787070675761881892448354059661318,1.4902178297015218212031687125153965746375911949003519625544971751235366568045937
base,2,1/8,raw,window,80,0.010048017906540425668962120619362257556774162436221093923710500308370521944130664,0.075250954923513330725959337800319779280228118345837894113978802888878661253734908,0.22033700540786729530318118389797306210204827098792624289456682075290455307609944,0.21028898750132686963421906327861080454527410855170514897085632044453403113196877,0.21867526307251982593668936322399176247504185552131351613699225101609509903337295,0.010048017906540434491202933875450113645425480078730869515945844845677871173284633,0.075250954923513378007220102386298416405472298026991852404197074752449690311158922,0.22033700540786744200350214817474365760450324580940647403564752323599131412869485,0.21028898750132700751229921429929354395907776573067560451970167839031344295541021,0.21867526307251995470580223369179142747575216030830393296553037565498967897519935
base,2,1/8,raw,S,120,0.0800576931472873901258630818297136492864991119118918723460322348225538999240146422318122495539779431571875849781972634026,0.599484448643179138619189812663859892098364791087107550333061038142205699858183426836603329418184667867498845486015568430,2.18010405326858276780330609889664017491650577494936412312518061826428859223205983318921913111176742629045928541489439445,2.10004636012129537767744301706692652563000666303747225077914838344173469230804519095740688155778948313327170043669713104,2.14170003936334396033456061701894668167564154478537045231895088251384265905725599049050957131338897077050756145375428632,0.0800576931472872658760187295116126036867246048453377591892367975058911690006724165961046164155568002107257573999199732498,0.599484448643179153145471473463293763355070131408884581362527502683193775376928725554436043932782824476372210548537264388,2.18010405326858324479244344184054746499978595531138559431337563692794119340608442535910783783766167387940719013738340407,2.10004636012129597891642471232893486131306135046604783512413883942205002440541200876300322142210487366868143273746343082,2.14170003936334447927292111710990884751152461729365017349588619194692597911157046381764396538536962857489814825123862079
base,2,1/8,raw,1,120,0.160115386294574780251726163659427298572998223823783744692064469645107799848029284463624499107955886314375169956394526805,1.19896889728635827723837962532771978419672958217421510066612207628441139971636685367320665883636933573499769097203113686,4.36020810653716553560661219779328034983301154989872824625036123652857718446411966637843826222353485258091857082978878889,4.20009272024259075535488603413385305126001332607494450155829676688346938461609038191481376311557896626654340087339426209,4.28340007872668792066912123403789336335128308957074090463790176502768531811451198098101914262677794154101512290750857263,0.160115386294574531752037459023225207373449209690675518378473595011782338001344833192209232831113600421451514799839946500,1.19896889728635830629094294692658752671014026281776916272505500536638755075385745110887208786556564895274442109707452878,4.36020810653716648958488688368109492999957191062277118862675127385588238681216885071821567567532334775881438027476680813,4.20009272024259195783284942465786972262612270093209567024827767884410004881082401752600644284420974733736286547492686164,4.28340007872668895854584223421981769502304923458730034699177238389385195822314092763528793077073925714979629650247724158
base,2,1/8,raw,u,120,0.0800576931472873901258630818297136492864991119118918723460322348225538999240146422318122495539779431571875849781972634026,0.599484448643179138619189812663859892098364791087107550333061038142205699858183426836603329418184667867498845486015568430,2.18010405326858276780330609889664017491650577494936412312518061826428859223205983318921913111176742629045928541489439445,2.10004636012129537767744301706692652563000666303747225077914838344173469230804519095740688155778948313327170043669713104,2.14170003936334396033456061701894668167564154478537045231895088251384265905725599049050957131338897077050756145375428632,0.0800576931472872658760187295116126036867246048453377591892367975058911690006724165961046164155568002107257573999199732498,0.599484448643179153145471473463293763355070131408884581362527502683193775376928725554436043932782824476372210548537264388,2.18010405326858324479244344184054746499978595531138559431337563692794119340608442535910783783766167387940719013738340407,2.10004636012129597891642471232893486131306135046604783512413883942205002440541200876300322142210487366868143273746343082,2.14170003936334447927292111710990884751152461729365017349588619194692597911157046381764396538536962857489814825123862079
base,2,1/8,raw,u^2,120,0.0493576573969529898392397925510932055977617109767956408918625240749988207480265403498048742864996378170241457045821273965,0.369716593152975293576261154032533706229501633468233650215691125262546014524022254284987302665764122888377358379442028171,1.52415841508858420259374629579007742944633585623182688335474483596026736587373550403560716576754460030272421688250562902,1.47480075769163121275450650323898422384857414525503124246288231188526854512570896368580229148104496248570007117792350162,1.49021782970152124112618234625344565538334728346739475774635082185752233129982526802777258471300001224892132048170842560,0.0493576573969528952827322436113594364429066613800037354384355315503050591248853532803507716779760849688008892219443597513,0.369716593152975322803839529458172191535349876668090843229782833101145921597157391299759132561701863100460050783902856400,1.52415841508858475569904588422660309793287355705871080301462372079514046509101716604552786254825510054856160024156946029,1.47480075769163186041631364061524366148996689567870706757618818924483540596613181276517709087027901557976071101962510054,1.49021782970152182120316871251539657463759119490035196255449717512353665680459366973519493381105654296365814241853658960
base,2,1/8,raw,window,120,0.0100480179065404256689621206193622575567741624362210939237105003083705219441306639625047080828650469335136426259063764369,0.0752509549235133307259593378003197792802281183458378941139788028888786612537349078770181240011855606432957710199115310898,0.220337005407867295303181183897973062102048270987926242894566820752904553076099436568183289294592899089284472331081175724,0.210288987501326869634219063278610804545274108551705148970856320444534031131968772605678581211727852155770829705174799287,0.218675263072519825936689363223991762475041855521313516136992251016095099033372954957582457394575319800813926871413983586,0.0100480179065404344912029338754501136454254800787308695159458448456778711732846334250203265079948369369338541559839895021,0.0752509549235133780072201023862984164054722980269918524041970747524496903111589219962813288434848821898865657927250486453,0.220337005407867442003502148174743657604503245809406474035647523235991314128694846728967669954226798202280478283274185474,0.210288987501327007512299214299293543959077765730675604519701678390313442955410213303947343446231961265346624127290195972,0.218675263072519954705802233691791427475752160308303932965530375654989678975199350887706853760219794683818076061077221217
