table,lambda,alpha,mode,observable,value_API_per_H_s,alpha_JVP_API_per_H_s,A_plus,A_minus,positive_scale,jvp_component_scale,abs_net_over_positive,cancellation_fraction,API_exact_abs_residual,API_exact_scaled_residual,API_JVP_exact_abs_residual,API_JVP_exact_scaled_residual,decimal120_value,decimal120_alpha_JVP,decimal120_positive_scale,API_minus_decimal120,API_JVP_minus_decimal120
base,2,1/8,raw,S,0.08005769314728736,0.5994844486431792,2.180104053268583,2.1000463601212953,4.280150413389878,2.141700039363344,0.018704411157336336,0.9812955888426637,2.8047106381217864e-17,6.552831950362363e-18,4.106402599435354e-17,1.9173565503860434e-17,0.0800576931472872658760187295116126036867246048453377591892367975058911690006724165961046164155568002107257573999199732498,0.599484448643179153145471473463293763355070131408884581362527502683193775376928725554436043932782824476372210548537264388,4.28015041338987922370886815416948232631284730577743342943751447634999121781149643412211105925976654754808862287484683489,0.0000000000000000962027379711002353147939100844857169283107632024941088309993275834038953835844431997892742426000800267501992005137884499,0.0000000000000000265377443335541108227216663187864279186374724973168062246230712744455639560672171755236277894514627356119780240649481583
base,2,1/8,raw,1,0.16011538629457472,1.1989688972863584,4.360208106537166,4.200092720242591,8.560300826779756,4.283400078726688,0.018704411157336336,0.9812955888426637,5.609421276243573e-17,6.552831950362363e-18,8.212805198870708e-17,1.9173565503860434e-17,0.160115386294574531752037459023225207373449209690675518378473595011782338001344833192209232831113600421451514799839946500,1.19896889728635830629094294692658752671014026281776916272505500536638755075385745110887208786556564895274442109707452878,8.56030082677975844741773630833896465262569461155486685887502895269998243562299286824422211851953309509617724574969366977,0.000000000000000192405475942200470629587820168971433856621526404988217661998655166807790767168886399578548485200160053500011141836091968,0.0000000000000000530754886671082216454433326375728558372749449946336124492461425488911279121344343510472555789029254712200834562150469984
base,2,1/8,raw,u,0.08005769314728736,0.5994844486431792,2.180104053268583,2.1000463601212953,4.280150413389878,2.141700039363344,0.018704411157336336,0.9812955888426637,2.8047106381217864e-17,6.552831950362363e-18,4.106402599435354e-17,1.9173565503860434e-17,0.0800576931472872658760187295116126036867246048453377591892367975058911690006724165961046164155568002107257573999199732498,0.599484448643179153145471473463293763355070131408884581362527502683193775376928725554436043932782824476372210548537264388,4.28015041338987922370886815416948232631284730577743342943751447634999121781149643412211105925976654754808862287484683489,0.0000000000000000962027379711002353147939100844857169283107632024941088309993275834038953835844431997892742426000800267501992005137884499,0.0000000000000000265377443335541108227216663187864279186374724973168062246230712744455639560672171755236277894514627356119780240649481583
base,2,1/8,raw,u^2,0.04935765739695297,0.3697165931529753,1.524158415088584,1.474800757691631,2.998959172780215,1.4902178297015212,0.016458262534863207,0.9835417374651368,2.0119789526567043e-17,6.7089241191352365e-18,1.2209582226080226e-17,8.193152694009647e-18,0.0493576573969528952827322436113594364429066613800037354384355315503050591248853532803507716779760849688008892219443597513,0.369716593152975322803839529458172191535349876668090843229782833101145921597157391299759132561701863100460050783902856400,2.99895917278021661611535952484184675942284045273741787059081191003997587105714897881070495341853411612832231126119456083,0.0000000000000000744367180223726914931034495397918712645615644684496949408751146467196492283220239150311991107780556402487001463192668210,-0.0000000000000000414371606015058649151076040575762939682297828331011459215971573912997591325617018631004600507839028564000206788921595846
base,2,1/8,raw,window,0.010048017906540429,0.07525095492351333,0.2203370054078673,0.21028898750132688,0.4306259929091942,0.21867526307251983,0.02333351463217235,0.9766664853678276,3.2262058283889203e-18,7.491897566594936e-18,5.733858072599256e-19,2.6220881100290354e-18,0.0100480179065404344912029338754501136454254800787308695159458448456778711732846334250203265079948369369338541559839895021,0.0752509549235133780072201023862984164054722980269918524041970747524496903111589219962813288434848821898865657927250486453,0.430625992909194449515801362474037201563581011540082078555349201626304757084105060032915013400458759467627102410564381446,-0.00000000000000000559603498486716766501464549846557168982844584484567787117328463342502032650799483693693385415598398950210041627768283536,-0.0000000000000000478546465718459042853112549976119527899041970747524496903111589219962813288434848821898865657927250486452981564287817810
base,8,-1/8,raw,S,-7.878946293713452e-05,0.0006484365947945932,0.0018612994681790913,0.001940088931116226,0.0038013883992953175,0.0008111980735638537,0.020726496390566174,0.9792735036094338,6.662881397566711e-20,1.752749442493654e-17,2.503735505253412e-20,3.086466285914237e-17,-0.0000787894629371345418051742416570247387269878006846345339595663795806938617724879948552774820652270987277411674757792410524,0.000648436594794593147719115215073072850847232698044572332702733401204756340544986734510154920017436747735893052207411445658,0.00380138839929531778087402910405797976888710146433769477494479575015625936467561904451828851241957365983190625329538084717,0.0000000000000000000255545901596481682263245706624657548342525351295806938617724879948552774820652270987277411674757792410524028719071810321,0.0000000000000000000523754193868008017843555774702217240540160165987952436594550132654898450799825632522641069477925885543419749664348809462
base,8,-1/8,raw,1,-0.00015757892587426903,0.0012968731895891864,0.0037225989363581825,0.003880177862232452,0.007602776798590635,0.0016223961471277075,0.020726496390566174,0.9792735036094338,1.3325762795133422e-19,1.752749442493654e-17,5.007471010506824e-20,3.086466285914237e-17,-0.000157578925874269083610348483314049477453975601369269067919132759161387723544975989710554964130454197455482334951558482105,0.00129687318958918629543823043014614570169446539608914466540546680240951268108997346902030984003487349547178610441482289132,0.00760277679859063556174805820811595953777420292867538954988959150031251872935123808903657702483914731966381250659076169435,0.0000000000000000000511091803192963364526491413249315096685050702591613877235449759897105549641304541974554823349515584821049948352164543161,0.000000000000000000104750838773601603568711154940443448108032033197590487318910026530979690159965126504528213895585177108679979013425824603
base,8,-1/8,raw,u,-7.878946293713452e-05,0.0006484365947945932,0.0018612994681790913,0.001940088931116226,0.0038013883992953175,0.0008111980735638537,0.020726496390566174,0.9792735036094338,6.662881397566711e-20,1.752749442493654e-17,2.503735505253412e-20,3.086466285914237e-17,-0.0000787894629371345418051742416570247387269878006846345339595663795806938617724879948552774820652270987277411674757792410524,0.000648436594794593147719115215073072850847232698044572332702733401204756340544986734510154920017436747735893052207411445658,0.00380138839929531778087402910405797976888710146433769477494479575015625936467561904451828851241957365983190625329538084717,0.0000000000000000000255545901596481682263245706624657548342525351295806938617724879948552774820652270987277411674757792410524028719071810321,0.0000000000000000000523754193868008017843555774702217240540160165987952436594550132654898450799825632522641069477925885543419749664348809462
base,8,-1/8,raw,u^2,-4.72478770409751e-05,0.00038857691619219857,0.0012466135664314034,0.0012938614434723787,0.002540475009903782,0.0005166836493146282,0.018598048340087613,0.9814019516599124,3.127313102108659e-20,1.2309954201151944e-17,1.0149339759950363e-20,1.9643237740178705e-17,-0.0000472478770409751292737862571721772196488486936862312299004064670877064525687247673138993332211352835311737744334642565865,0.000388576916192198544450325243589469950864008576766995005316573300952609242321603547764566386454904736919138888340365974838,0.00254047500990378279967656647651650990731042917981968949601691951130792675343074241047406306233198975627005433271232417205,0.0000000000000000000299011368310284107151110688558394752484550939670877064525687247673138993332211352835311737744334642565864979955376100973,0.0000000000000000000212773193555320341922492618251876558735896766990473907576783964522354336135450952630808611116596340251620052431913983202
base,8,-1/8,raw,window,-9.681047486208627e-06,7.95763784237772e-05,0.00020224563481494354,0.00021192668230115219,0.00041417231711609573,9.208004787678022e-05,0.02337444364610915,0.9766255563538908,1.0708162520165273e-20,2.5854365629085954e-17,1.4593816497692517e-21,1.5849053985312526e-17,-0.00000968104748620855726331634992200540259561722443506194897951787838967647781561709840744643791380254585882086508967127392147,0.0000795763784237772254740271602926738337890019973195361539103742221195058516817366206372992041660689476090508683311214344007,0.000414172317116095968364774398691542322911223576442684469640322321297050072454663962175980398915161926576736003560352318157,-0.0000000000000000000701572386341445642566666962830622486894482164966103235221843829015925535620861974541411791349103287260785298548114198091,-0.0000000000000000000224533615332170156121326618229425715848185773471195058516817366206372992041660689476090508683311214344006995958763452774
