META,temperature_K,3000
META,nH_cm3,250
META,H_s_inv,5.0000000000000002e-14
META,xe,0.5
META,xHII,0.5
Tvr,1,33,-0.00036016148279744586
Tvv,0,33,7.9004433062749762
Tvv,1,33,0
Tvv,2,33,0
sv,34,0,2.2266633278044724e-282
Dtau,34,0,0.00026010079066814698
xv,34,0,4.2967922837556967e-12
Trv,0,34,-0.001026575206446078
Tvr,0,34,-0.063453971295127615
Trv,1,34,-1.8432374360401899e-05
Tvr,1,34,-0.00037977647950901275
Tvv,0,34,8.0361015534413252
Tvv,1,34,0
Tvv,2,34,0
sv,35,0,6.9577343705066183e-257
Dtau,35,0,0.00029878430114607917
xv,35,0,4.0565113554035994e-12
Trv,0,35,-0.0011968177444422745
Tvr,0,35,-0.060791368613225857
Trv,1,35,-2.3732072766825096e-05
Tvr,1,35,-0.00040181701021271593
Tvv,0,35,8.1709204657389591
Tvv,1,35,0
Tvv,2,35,0
sv,36,0,4.8869255969065798e-233
Dtau,36,0,0.00034201357387199431
xv,36,0,3.8291269502190636e-12
Trv,0,36,-0.0013894693730439399
Tvr,0,36,-0.058193004766247905
Trv,1,36,-3.0563682380916514e-05
Tvr,1,36,-0.00042668387154883491
Tvv,0,36,8.3049040044344853
Tvv,1,36,0
Tvv,2,36,0
sv,37,0,9.168103569018967e-211
Dtau,37,0,0.00039017193571881919
xv,37,0,3.6140889140015018e-12
Trv,0,37,-0.0016065454582588688
Tvr,0,37,-0.055659448820559322
Trv,1,37,-3.9387617096927961e-05
Tvr,1,37,-0.00045486690021752179
Tvv,0,37,8.4380602403294631
Tvv,1,37,0
Tvv,2,37,0
sv,38,0,5.4120196014462876e-190
Dtau,38,0,0.00044367028677509256
xv,38,0,3.4109149858645089e-12
Trv,0,38,-0.0018501208132838025
Tvr,0,38,-0.053191332288262547
Trv,1,38,-5.0813988283403034e-05
Tvr,1,38,-0.00048697067353077763
Tvv,0,38,8.5704001273300623
Tvv,1,38,0
Tvv,2,38,0
sv,39,0,1.1750480999966977e-170
Dtau,39,0,0.00050295791678314598
xv,39,0,3.2191984308218908e-12
Trv,0,39,-0.002122330532508581
Tvr,0,39,-0.050789466904572339
Trv,1,39,-6.5657237013208794e-05
Tvr,1,39,-0.00052374752114074034
Tvv,0,39,8.7019392010924363
Tvv,1,39,0
Tvv,2,39,0
sv,40,0,2.8078975285965844e-159
Dtau,40,0,0.00013578108595176192
xv,40,0,7.7635602631370101e-13
Trv,0,40,-0.00057693837816742536
Tvr,0,40,-0.012330346894629692
Trv,1,40,-1.9283695639740244e-05
Tvr,1,40,-0.00013737726918873472
Tvv,0,40,8.7825053754210618
Tvv,1,40,0
Tvv,2,40,0
sv,41,0,7.1369752445253658e-155
Dtau,41,0,0.00013997752540739807
xv,41,0,7.6524283150387609e-13
Trv,0,41,-0.00059635523114500984
Tvr,0,41,-0.012185460310085558
Trv,1,41,-2.0572784388797169e-05
Tvr,1,41,-0.00014012277389116427
Tvv,0,41,8.8150837153218458
Tvv,1,41,0
Tvv,2,41,0
sv,42,0,1.4905677339912213e-150
Dtau,42,0,0.00014427495818204432
xv,42,0,7.5429982718272479e-13
Trv,0,42,-0.00061626119645408629
Tvr,0,42,-0.012041603576025279
Trv,1,42,-2.195090640725028e-05
Tvr,1,42,-0.00014297190575005066
Tvv,0,42,8.8475894063219087
Tvv,1,42,0
Tvv,2,42,0
sv,43,0,2.5637689001457395e-146
Dtau,43,0,0.00014867529881604436
xv,43,0,7.4352653946590164e-13
Trv,0,43,-0.00063666265130531163
Tvr,0,43,-0.011898787067723479
Trv,1,43,-2.3424601688692337e-05
Tvr,1,43,-0.0001459298981800037
Tvv,0,43,8.8800220527687728
Tvv,1,43,0
Tvv,2,43,0
sv,44,0,3.7214857197110618e-142
Dtau,44,0,0.00015319588246650933
xv,44,0,7.3291999386984069e-13
Trv,0,44,-0.00065763744948294628
Tvr,0,44,-0.011757081642352469
Trv,1,44,-2.5003551363637592e-05
Tvr,1,44,-0.0001490024607338321
Tvv,0,44,8.9124570001279171
Tvv,1,44,0
Tvv,2,44,0
sv,45,0,4.4642714460669126e-138
Dtau,45,0,0.00015782393279651442
xv,45,0,7.2248163804470692e-13
Trv,0,45,-0.00067912287170593714
Tvr,0,45,-0.011616418583535232
Trv,1,45,-2.6693119120444374e-05
Tvr,1,45,-0.00015219555396229527
Tvv,0,45,8.9448172778516248
Tvv,1,45,0
Tvv,2,45,0
sv,46,0,4.4341434888675954e-134
Dtau,46,0,0.00016256126597405016
xv,46,0,7.1221082953413128e-13
Trv,0,46,-0.00070112336196471515
Tvr,0,46,-0.011476799336714224
Trv,1,46,-2.8501575838500771e-05
Tvr,1,46,-0.00015551560273310733
Tvv,0,46,8.9771012676685107
Tvv,1,46,0
Tvv,2,46,0
sv,47,0,3.6547647073471157e-130
Dtau,47,0,0.00016740993214465344
xv,47,0,7.0210665486090648e-13
Trv,0,47,-0.00072364387130927999
Tvr,0,47,-0.011338220856811496
Trv,1,47,-3.0437911730712771e-05
Tvr,1,47,-0.00015896943202119038
Tvv,0,47,9.0093085194989584
Tvv,1,47,0
Tvv,2,47,0
sv,48,0,2.5582780256568274e-126
Dtau,48,0,0.00017238973649379873
xv,48,0,6.9216720851437883e-13
Trv,0,48,-0.00074677218958069764
Tvr,0,48,-0.011200760938508183
Trv,1,48,-3.2515262669629987e-05
Tvr,1,48,-0.0001625643844699215
Tvv,0,48,9.0415154340804555
Tvv,1,48,0
Tvv,2,48,0
sv,49,0,1.4909888658736612e-122
Dtau,49,0,0.00017748628017404838
xv,49,0,6.8239418879234882e-13
Trv,0,49,-0.00077043477422859504
Tvr,0,49,-0.011064353035865861
Trv,1,49,-3.4741225644156271e-05
Tvr,1,49,-0.00016630834012327416
Tvv,0,49,9.0736437463957564
Tvv,1,49,0
Tvv,2,49,0
sv,50,0,7.2497659525196536e-119
Dtau,50,0,0.00018270168549615369
xv,50,0,6.7278652460799628e-13
Trv,0,50,-0.00079463474296096099
Tvr,0,50,-0.010928985273852625
Trv,1,50,-3.7127270470973267e-05
Tvr,1,50,-0.00017020960293600144
Tvv,0,50,9.1056923433743311
Tvv,1,50,0
Tvv,2,50,0
sv,51,0,3.0069681464022734e-115
Dtau,51,0,0.00018805818908185822
xv,51,0,6.6334407953839227e-13
Trv,0,51,-0.00081946934754006755
Tvr,0,51,-0.010794756303553135
Trv,1,51,-3.9690078160022008e-05
Tvr,1,51,-0.00017427730221292813
Tvv,0,51,9.1377385887756226
Tvv,1,51,0
Tvv,2,51,0
sv,52,0,1.0440516591229028e-111
Dtau,52,0,0.000193539820159989
xv,52,0,6.5406712735398994e-13
Trv,0,52,-0.0008448545477072884
Tvr,0,52,-0.010661573388919621
Trv,1,52,-4.2439593180668137e-05
Tvr,1,52,-0.00017852100045681534
Tvv,0,52,9.1697035264847369
Tvv,1,52,0
Tvv,2,52,0
sv,53,0,3.0407264126803102e-108
Dtau,53,0,0.00019914924739054737
xv,53,0,6.4495538205354545e-13
Trv,0,53,-0.00087079300278486058
Tvr,0,53,-0.010529430893291581
Trv,1,53,-4.5390656664911287e-05
Tvr,1,53,-0.00018295116482938649
Tvv,0,53,9.2015861775112082
Tvv,1,53,0
Tvv,2,53,0
sv,54,0,7.5871970677622483e-105
Dtau,54,0,0.00020491120134902231
xv,54,0,6.3600974162194993e-13
Trv,0,54,-0.00089739102080433003
Tvr,0,54,-0.010398435324603755
Trv,1,54,-4.8564504548662051e-05
Tvr,1,54,-0.0001875788992435951
Tvv,0,54,9.2334643608149793
Tvv,1,54,0
Tvv,2,54,0
sv,55,0,1.5932910703713078e-101
Dtau,55,0,0.00021080847809508649
xv,55,0,6.2723041799308984e-13
Trv,0,55,-0.00092455455781769499
Tvr,0,55,-0.010268488340989371
Trv,1,55,-5.1974362165163135e-05
Tvr,1,55,-0.00019241631097216156
Tvv,0,55,9.26525868470722
Tvv,1,55,0
Tvv,2,55,0
sv,56,0,2.8215112439956522e-98
Dtau,56,0,0.00021684437519857192
xv,56,0,6.1861754180393355e-13
Trv,0,56,-0.00095228524978202859
Tvr,0,56,-0.010139583382374362
Trv,1,56,-5.5639515412363024e-05
Tvr,1,56,-0.00019747637100952367
Tvv,0,56,9.2969681251905687
Tvv,1,56,0
Tvv,2,56,0
sv,57,0,4.299483660657797e-95
Dtau,57,0,0.00022304657436599321
xv,57,0,6.1017302142004576e-13
Trv,0,57,-0.00098069942440248171
Tvr,0,57,-0.010011832678448299
Trv,1,57,-5.9587323613655991e-05
Tvr,1,57,-0.00020277307498844742
Tvv,0,57,9.3286713503188388
Tvv,1,57,0
Tvv,2,57,0
sv,58,0,5.5427322055552534e-92
Dtau,58,0,0.00022939641610128744
xv,58,0,6.0189677150333503e-13
Trv,0,58,-0.0010096907272273889
Tvr,0,58,-0.0098851256767923494
Trv,1,58,-6.3835421705776447e-05
Tvr,1,58,-0.00020832160092078321
Tvv,0,58,9.3602878257022031
Tvv,1,58,0
Tvv,2,58,0
sv,59,0,6.0574039999647951e-89
Dtau,59,0,0.00023589827152982766
xv,59,0,5.9378972329747063e-13
Trv,0,59,-0.0010392604207630927
Tvr,0,59,-0.0097594595418972838
Trv,1,59,-6.8409154018438711e-05
Tvr,1,59,-0.00021413829732498633
Tvv,0,59,9.3918167955257186
Tvv,1,59,0
Tvv,2,59,0
sv,60,0,5.720611737568579e-86
Dtau,60,0,0.00024258321971047135
xv,60,0,5.8585496128091805e-13
Trv,0,60,-0.0010695353232699546
Tvr,0,60,-0.0096349527960407164
Trv,1,60,-7.3344047871391795e-05
Tvr,1,60,-0.00022024095378507519
Tvv,0,60,9.4233375844646723
Tvv,1,60,0
Tvv,2,60,0
sv,61,0,4.5944903496161882e-83
Dtau,61,0,0.00024943142056880156
xv,61,0,5.7809222859612438e-13
Trv,0,61,-0.0011003962700690583
Tvr,0,61,-0.0095114822764797609
