local_index,virtual_index,centre_eV,centre_Hz,inferred_left_edge_eV,inferred_right_edge_eV,inferred_mode_measure_m3,native_equilibrium_proxy,Aup_s_inv,Adn_s_inv
18,118,10.138998000000001,2451598808952050,10.136582712317994,10.141320234057991,6.4221161588551926e+18,9.2736834394933422e-18,0.29484187352196384,0.13005607799772378
19,119,10.143643000000001,2452721964954998.5,10.141320234057991,10.14587375471009,6.1783446965561149e+18,9.1085452309557318e-18,0.20802729043178944,0.30018736586577133
20,120,10.148104999999999,2453800871754816.5,10.14587375471009,10.150243274725486,5.933903906157954e+18,8.9526828053533302e-18,0.4292062680560686,0.21164895767758946
21,121,10.152381999999999,2454835045753656,10.150243274725486,10.154428293776563,5.6881394653671342e+18,8.805786711141317e-18,0.34663740214715305,0.43636618760181439
22,122,10.156475,2455824728750442,10.154428293776563,10.158428812071531,5.4417570147136645e+18,8.6674677102225496e-18,0.65229621536509752,0.35216918383346013
23,123,10.160382999999999,2456769678946248.5,10.158428812071531,10.162244829415448,5.1947828657791191e+18,8.5374286816994814e-18,0.59577669448096626,0.66223175559832814
24,124,10.164107,2457670138140001,10.162244829415448,10.165876845910981,4.9479257344109466e+18,8.4153280634983975e-18,1.0434318106585372,0.60442100426390055
25,125,10.167647000000001,2458526106331699,10.165876845910981,10.169324361642419,4.6998506904043325e+18,8.3008796949909963e-18,1.0681490659195627,1.0578181254548695
26,126,10.171002,2459337341722418.5,10.169324361642419,10.172587376441944,4.4512648031919585e+18,8.1938493353781104e-18,1.7800411016015247,1.0821015287933822
27,127,10.174173,2460104086111083.5,10.172587376441944,10.175666390398224,4.2028781930562115e+18,8.0939577779208632e-18,2.0260954387460939,1.8020094739177157
28,128,10.177160000000001,2460826339497694.5,10.175666390398224,10.178560903581607,3.9533532953646863e+18,8.0009766153989543e-18,3.2912446823596775,2.0496411530170726
29,129,10.179962,2461503860083326.5,10.178560903581607,10.181270915851321,3.7033988269691126e+18,7.9147254345472406e-18,4.1565650172314426,3.3271112127495104
30,130,10.18258,2462136889666904.5,10.181270915851321,10.183796927282083,3.4537260685282683e+18,7.8349785553573087e-18,6.753476080767979,4.1988718449951934
31,131,10.185014000000001,2462725428248428,10.183796927282083,10.186138437930342,3.2029952414040566e+18,7.7615574551693324e-18,9.5110208519963617,6.8173611511043264
32,132,10.187263,2463269234028972.5,10.186138437930342,10.188295447682306,2.9519164665221079e+18,7.6943285571638286e-18,16.01306837414495,9.5941230286238337
33,133,10.189328,2463768548807463,10.188295447682306,10.190268456598776,2.7012019403955282e+18,7.6331128625612801e-18,25.544742359642402,16.141489258375504
34,134,10.191209000000001,2464223372583899.5,10.190268456598776,10.192056964722333,2.4495100919020913e+18,7.5777757066789274e-18,46.97860137627297,25.731284353579152
35,135,10.192905,2464633463559357,10.192056964722333,10.193660971966107,2.1975522021026017e+18,7.5282250786705511e-18,89.090082595580228,47.287813597855532
36,136,10.194417,2464999063532760,10.193660971966107,10.195080978377023,1.946041138422271e+18,7.4843234786960528e-18,197.12435230347549,89.612667860492877
37,137,10.195745000000001,2465320172504109.5,10.195080978377023,10.196316983955775,1.6943194055210327e+18,7.4459756306089536e-18,511.17680643659003,198.13957113998742
38,138,10.196889000000001,2465596790473404,10.196316983955775,10.197368488726491,1.4417286681002739e+18,7.4130986111821386e-18,1839.5670920486643,513.44387054530307
39,139,10.197848,2465828675641719.5,10.197368488726491,10.198714553953742,1.8460374258125399e+18,7.3856501200816678e-18,11242.14967881279,1846.4037740108242
40,140,10.199581,2466247713177373,10.198714553953742,10.20006098870595,1.8470317634482427e+18,7.3363057263763552e-18,1831.5913367332514,11258.414163929026
