dt_s,legacy_unit_floor_backward_error,corrected_state_relative_backward_error,physical_net_scaled_residual,physical_gross_backward_error,physical_number_relative_residual,physical_acceptance_metric,physical_gate_pass_1e_11
119762.99277693703,5.875497703922753e-19,0.0776114019036452,0.9297606594354472,0.9297606594354472,0.005634915531341247,0.9297606594354472,0
203758.06822857013,9.995677158699878e-19,0.13203622167105894,1.5818428672230889,1.0000000000000004,0.009586930625854934,1.0000000000000004,0
346662.5992351945,1.7004447306123804e-18,0.2246173959261039,2.6912591226476836,1.0000000000000002,0.01631066842329027,1.0000000000000002,0
589792.3883617294,2.8925672272029488e-18,0.3820888185419196,4.578757988743317,1.0000000000000002,0.02775006045178227,1.0000000000000002,0
1000000.0,4.903025354695912e-18,0.6476569143972385,7.763338556236316,1.0000000000000002,0.04705055711021266,1.0000000000000002,0
1003439.8349774949,4.919879539810108e-18,0.6498832397241685,7.79004315974419,1.0,0.04721240326227099,1.0,0
1707196.5021734447,8.366437594227609e-18,1.1051505478316197,13.253544428394877,1.0000000000000002,0.08032454652386696,1.0000000000000002,0
2904528.797283197,1.422271090323598e-17,1.8787251526511988,22.54884039964733,1.0,0.13665969805483036,1.0,0
4941603.103981941,2.4164572104888114e-17,3.191978640737023,38.36333790676005,1.0,0.23250517905990653,1.0,0
8407367.57718671,4.10166412867724e-17,5.4180244671357505,65.26924086842466,1.0,0.39557132833697367,1.0,0
14303825.720235065,6.950839817075566e-17,9.181595326822102,111.04544171558554,1.0,0.6730029689444489,1.0,0
24335730.3408545,1.1747004672376963e-16,15.517008885615805,188.9265136493256,1.0,0.9999999999999999,1.0,0
41403452.671056025,1.9761759983584503e-16,26.10396554806507,321.4290204825146,1.0,1.0,1.0,0
70441522.36543001,3.299260384810306e-16,43.58102693825072,546.8613865395255,1.0,1.0,1.0,0
119845272.62935574,5.440039041361886e-16,71.85928370438675,930.3994257861301,1.0,1.0,1.0,0
203898054.57488912,8.793893359934013e-16,116.16146005809223,1582.929628622813,1.0,1.0,1.0,0
346900764.1878478,1.3791489841189478e-15,182.17637293943005,2693.10807780736,1.0,1.0,1.0,0
590197588.9128133,2.0708931607181133e-15,273.5511602509796,4581.903697804554,1.0,1.0,1.0,0
1004129220.5683116,2.9366455089742896e-15,387.9112652760809,7795.395093481491,1.0,1.0,1.0,0
1708369384.3217053,3.8933191726359165e-15,514.2814690317614,13262.649909598387,1.0,1.0,1.0,0
