angle_index,time,R_normal,dlog_Doppler,R_hydrogen_analytic,R_hydrogen_direct,residual
7,3.1714285714285713,-0.8005221091961673,0.05673665536994621,-0.7437854538262211,-0.7437854538605569,-3.4335867482582216e-11
7,3.5071428571428567,-0.8063615701425921,0.11006936223786323,-0.6962922079047289,-0.6962922079097507,-5.021760784984508e-12
7,3.8428571428571425,-0.8120222078283571,0.1497985647230372,-0.6622236431053199,-0.6622236431164107,-1.1090794949097926e-11
7,4.178571428571429,-0.8173449021517116,0.17233192067640424,-0.6450129814753074,-0.6450129814724221,2.885247596395857e-12
7,4.514285714285714,-0.8221800325735336,0.17731863426207783,-0.6448613983114557,-0.6448613983208358,-9.380052290453023e-12
7,4.85,-0.8263916839394876,0.16637288361360114,-0.6600188003258864,-0.6600188003284361,-2.549627176051672e-12
8,0.15,-0.7650983913660728,0.10047147962671721,-0.6646269117393556,-0.6646269117421831,-2.8275159991153487e-12
8,0.48571428571428565,-0.7660270798729547,0.14751048786199772,-0.618516592010957,-0.6185165920137569,-2.7998714458021823e-12
8,0.8214285714285714,-0.7679107446223495,0.17287154893211687,-0.5950391956902327,-0.5950391956818789,8.353762126489528e-12
8,1.157142857142857,-0.77069643593911,0.1741065739572214,-0.5965898619818886,-0.5965898619689213,1.2967293905319366e-11
8,1.4928571428571427,-0.7743058482487807,0.15278596946348988,-0.6215198787852908,-0.6215198787943669,-9.076073226310655e-12
8,1.8285714285714283,-0.7786375212414358,0.11350588295954356,-0.6651316382818923,-0.6651316382833005,-1.4082068844345486e-12
8,2.164285714285714,-0.7835696919133991,0.062687530847639,-0.7208821610657601,-0.7208821610815707,-1.5810575071384392e-11
8,2.4999999999999996,-0.7889637173161657,0.007207913700834845,-0.7817558036153308,-0.7817558036230889,-7.758127473778131e-12
8,2.8357142857142854,-0.7946679717993087,-0.04689049040790305,-0.8415584622072118,-0.841558462227887,-2.067523929838444e-11
8,3.1714285714285713,-0.8005221091961673,-0.0951507978822086,-0.8956729070783759,-0.89567290711412,-3.5744074367016765e-11
8,3.5071428571428567,-0.8063615701425921,-0.13467356593028823,-0.9410351360728804,-0.941035136085381,-1.2500667168069413e-11
8,3.8428571428571425,-0.8120222078283571,-0.16351817358953935,-0.9755403814178965,-0.9755403814130461,4.850342349982384e-12
8,4.178571428571429,-0.8173449021517116,-0.1799889292597705,-0.9973338314114821,-0.9973338314206436,-9.16144937690433e-12
8,4.514285714285714,-0.8221800325735336,-0.1822304690514116,-1.0044105016249452,-1.004410501633431,-8.485878666419922e-12
8,4.85,-0.8263916839394876,-0.1684328542103286,-0.9948245381498162,-0.9948245381585784,-8.762213177249123e-12
9,0.15,-0.7650983913660728,-0.045672109059732846,-0.8107705004258057,-0.8107705004208042,5.001443703633868e-12
9,0.48571428571428565,-0.7660270798729547,0.020306693106869833,-0.7457203867660849,-0.7457203867675121,-1.4271916981556387e-12
9,0.8214285714285714,-0.7679107446223495,0.07964361849806378,-0.6882671261242858,-0.6882671261129735,1.1312284442510645e-11
9,1.157142857142857,-0.77069643593911,0.12214355673052701,-0.648552879208583,-0.6485528791982941,1.0288880858411176e-11
9,1.4928571428571427,-0.7743058482487807,0.1421967474103797,-0.632109100838401,-0.6321091008343326,4.068412273738886e-12
9,1.8285714285714283,-0.7786375212414358,0.13973495234312738,-0.6389025688983084,-0.6389025688918747,6.433742427702782e-12
9,2.164285714285714,-0.7835696919133991,0.11918442087438719,-0.6643852710390119,-0.6643852710504679,-1.145594730189714e-11
9,2.4999999999999996,-0.7889637173161657,0.0872302082876415,-0.7017335090285242,-0.7017335090351664,-6.6422423117273866e-12
9,2.8357142857142854,-0.7946679717993087,0.050502845369825744,-0.744165126429483,-0.7441651264483705,-1.8887558184133013e-11
9,3.1714285714285713,-0.8005221091961673,0.014061452473359992,-0.7864606567228073,-0.7864606567505501,-2.7742808050845724e-11
9,3.5071428571428567,-0.8063615701425921,-0.019038884283577473,-0.8254004544261696,-0.8254004544257694,4.0023540037736893e-13
9,3.8428571428571425,-0.8120222078283571,-0.047381824359020386,-0.8594040321873775,-0.859404032190388,-3.0104807535735745e-12
9,4.178571428571429,-0.8173449021517116,-0.07052517566335803,-0.8878700778150697,-0.8878700778203185,-5.2488013935203526e-12
9,4.514285714285714,-0.8221800325735336,-0.08840451606359245,-0.910584548637126,-0.9105845486430859,-5.959899240792765e-12
9,4.85,-0.8263916839394876,-0.10095370396420189,-0.9273453879036895,-0.9273453879132808,-9.59132773203919e-12
10,0.15,-0.7650983913660728,0.23430318231026448,-0.5307952090558083,-0.5307952090565065,-6.981082378842984e-13
10,0.48571428571428565,-0.7660270798729547,0.2099822714568772,-0.5560448084160775,-0.5560448084143225,1.7550405573274475e-12
10,0.8214285714285714,-0.7679107446223495,0.171077011667372,-0.5968337329549775,-0.5968337329483504,6.6271432785924844e-12
10,1.157142857142857,-0.77069643593911,0.12023045295412993,-0.65046598298498,-0.6504659829736913,1.1288747714388592e-11
