x_Doppler,nu_Hz,Voigt_H,phi_Hz^-1,sigma_Voigt_m2,sigma_Voigt_cm2,Lee_first_order_factor,sigma_Lee1_m2,rate_at_250cm^-3_s^-1
-29.55,2464357365501538.0,5.575507836457312e-07,5.4353195557976144e-18,6.0037983950211414e-24,6.003798395021141e-20,1.0012428634090802,6.011260296361808e-24,4.499733695449607e-07
-29.525,2464358812354575.5,5.58497016507412e-07,5.444543967507347e-18,6.0139875858588416e-24,6.013987585858841e-20,1.0012418119171944,6.0214558273128205e-24,4.5073703018652703e-07
-29.5,2464360259207613.5,5.594456616225327e-07,5.453791895224374e-18,6.024202752237705e-24,6.024202752237705e-20,1.0012407604253086,6.0316773446067165e-24,4.5150263764592665e-07
-29.475,2464361706060651.5,5.603967272023197e-07,5.4630634189963625e-18,6.034443982577564e-24,6.034443982577564e-20,1.0012397089334226,6.041924936691004e-24,4.5227019855005927e-07
-29.45,2464363152913689.0,5.613502214929879e-07,5.472358619212067e-18,6.0447113656750165e-24,6.044711365675017e-20,1.0012386574415368,6.052198692390052e-24,4.530397195540625e-07
-29.425,2464364599766727.0,5.623061527759195e-07,5.481677576603074e-18,6.0550049907053456e-24,6.055004990705346e-20,1.001237605949651,6.0624987009070094e-24,4.5381120734145565e-07
-29.4,2464366046619765.0,5.632645293678459e-07,5.491020372245571e-18,6.065324947224481e-24,6.065324947224481e-20,1.001236554457765,6.072825051825765e-24,4.5458466862428687e-07
-29.375,2464367493472802.5,5.642253596210263e-07,5.500387087562093e-18,6.0756713251709195e-24,6.07567132517092e-20,1.0012355029658793,6.083177835112876e-24,4.553601101432768e-07
-29.35,2464368940325840.5,5.651886519234326e-07,5.509777804323322e-18,6.086044214867723e-24,6.086044214867723e-20,1.0012344514739935,6.093557141119556e-24,4.5613753866796867e-07
-29.325,2464370387178878.5,5.661544146989313e-07,5.5191926046498606e-18,6.096443707024467e-24,6.096443707024468e-20,1.0012333999821075,6.1039630605836305e-24,4.569169609968742e-07
-29.3,2464371834031916.0,5.671226564074692e-07,5.5286315710140414e-18,6.106869892739248e-24,6.106869892739248e-20,1.0012323484902217,6.114395684631546e-24,4.576983839576239e-07
-29.275,2464373280884954.0,5.680933855452578e-07,5.538094786241729e-18,6.117322863500669e-24,6.117322863500669e-20,1.001231296998336,6.124855104780348e-24,4.58481814407116e-07
-29.25,2464374727737991.5,5.690666106449616e-07,5.5475823335141474e-18,6.127802711189859e-24,6.127802711189858e-20,1.00123024550645,6.135341412939712e-24,4.59267259231668e-07
-29.225,2464376174591029.5,5.700423402758849e-07,5.5570942963697105e-18,6.1383095280824945e-24,6.138309528082495e-20,1.0012291940145641,6.145854701413955e-24,4.6005472534716776e-07
-29.2,2464377621444067.5,5.710205830441618e-07,5.566630758705869e-18,6.1488434068508434e-24,6.148843406850843e-20,1.0012281425226783,6.1563950629040875e-24,4.608442196992271e-07
-29.175,2464379068297105.0,5.72001347592945e-07,5.57619180478095e-18,6.159404440565791e-24,6.159404440565791e-20,1.0012270910307923,6.166962590509832e-24,4.6163574926333337e-07
-29.15,2464380515150143.0,5.729846426025994e-07,5.585777519216048e-18,6.169992722698934e-24,6.169992722698934e-20,1.0012260395389065,6.1775573777317285e-24,4.624293210450064e-07
-29.125,2464381962003181.0,5.739704767908919e-07,5.5953879869968706e-18,6.180608347124614e-24,6.180608347124614e-20,1.0012249880470208,6.188179518473159e-24,4.6322494207995136e-07
-29.1,2464383408856218.5,5.749588589131878e-07,5.6050232934756595e-18,6.191251408122047e-24,6.191251408122047e-20,1.0012239365551348,6.198829107042477e-24,4.640226194342174e-07
-29.075,2464384855709256.5,5.759497977626438e-07,5.6146835243730666e-18,6.201922000377386e-24,6.201922000377385e-20,1.001222885063249,6.209506238155082e-24,4.6482236020435336e-07
-29.05,2464386302562294.0,5.76943302170404e-07,5.624368765780065e-18,6.2126202189858395e-24,6.212620218985839e-20,1.0012218335713632,6.220211006935526e-24,4.6562417151756577e-07
-29.025,2464387749415332.0,5.779393810057992e-07,5.634079104159896e-18,6.2233461594538215e-24,6.223346159453822e-20,1.0012207820794774,6.230943508919667e-24,4.664280605318803e-07
-29.0,2464389196268370.0,5.789380431765424e-07,5.643814626349969e-18,6.234099917701045e-24,6.234099917701045e-20,1.0012197305875914,6.241703840056766e-24,4.6723403443629847e-07
-28.975,2464390643121407.5,5.799392976289307e-07,5.6535754195638364e-18,6.244881590062708e-24,6.244881590062707e-20,1.0012186790957056,6.252492096711674e-24,4.6804210045096187e-07
-28.95,2464392089974445.5,5.809431533480454e-07,5.663361571393138e-18,6.2556912732916405e-24,6.25569127329164e-20,1.0012176276038198,6.263308375666975e-24,4.688522658273127e-07
-28.925,2464393536827483.5,5.81949619357953e-07,5.673173169809566e-18,6.266529064560474e-24,6.266529064560474e-20,1.0012165761119338,6.2741527741251574e-24,4.696645378482563e-07
-28.9,2464394983680521.0,5.82958704721911e-07,5.683010303166866e-18,6.277395061463852e-24,6.277395061463852e-20,1.001215524620048,6.285025389710829e-24,4.704789238283273e-07
-28.875,2464396430533559.0,5.839704185425697e-07,5.6928730602028075e-18,6.288289362020607e-24,6.288289362020607e-20,1.0012144731281623,6.2959263204728894e-24,4.712954311138524e-07
-28.85,2464397877386596.5,5.849847699621797e-07,5.702761530041208e-18,6.299212064675997e-24,6.299212064675997e-20,1.0012134216362762,6.306855664886767e-24,4.72114067083118e-07
-28.825,2464399324239634.5,5.860017681627983e-07,5.7126758021939406e-18,6.3101632683039214e-24,6.310163268303922e-20,1.0012123701443905,6.3178135218566425e-24,4.729348391465365e-07
-28.8,2464400771092672.5,5.870214223664978e-07,5.7226159665629686e-18,6.321143072209169e-24,6.321143072209169e-20,1.0012113186525047,6.328799990717687e-24,4.737577547468146e-07
-28.775,2464402217945710.0,5.880437418355756e-07,5.732582113442393e-18,6.332151576129681e-24,6.332151576129681e-20,1.0012102671606187,6.339815171238331e-24,4.7458282135912283e-07
-28.75,2464403664798748.0,5.890687358727642e-07,5.742574333520496e-18,6.343188880238807e-24,6.343188880238807e-20,1.0012092156687329,6.350859163622524e-24,4.7541004649126487e-07
-28.725,2464405111651786.0,5.900964138214442e-07,5.752592717881824e-18,6.354255085147603e-24,6.354255085147602e-20,1.001208164176847,6.361932068512027e-24,4.7623943768384983e-07
-28.7,2464406558504823.5,5.911267850658571e-07,5.762637358009256e-18,6.365350291907124e-24,6.365350291907124e-20,1.001207112684961,6.373033986988706e-24,4.770710025104636e-07
-28.675,2464408005357861.5,5.921598590313203e-07,5.772708345786103e-18,6.376474602010734e-24,6.376474602010734e-20,1.0012060611930753,6.38416502057685e-24,4.779047485778425e-07
