i,j,mu,group,branch,log_low,log_high,relative_low_high,amp_reciprocity
2,7,-0.7071067811865475,1,GL8_12,135.66091001625327,135.66091001631318,-5.991296347749687e-11,1.9359778940975896e-15
2,7,-0.5,1,GL8_12,134.5210837505246,134.52108375059794,-7.332801032775385e-11,1.801206587932164e-15
2,7,0.0,1,GL8_12,129.89924768146662,129.89924766503054,1.6436075746708916e-08,6.655326645765523e-15
2,7,-0.3333333333333333,1,GL8_12,133.3551078717669,133.3551078710846,6.822915568190395e-10,2.297911913108635e-15
2,7,0.3333333333333333,1,GL8_12,123.12511738712503,123.12512793514878,-1.0547968122014583e-05,4.7115417639835534e-12
2,7,0.5,1,GL8_12,116.47324599723389,116.47348873307372,-0.00024270638187316477,4.855820673280745e-12
2,8,-1.0,1,back_32_48,135.5041598039345,135.50415980393453,-2.8421709430403604e-14,4.036258694116714e-16
2,7,0.5773502691896258,1,GL8_12,111.65543167526997,111.65648201955051,-0.001049792862065769,3.938212687803121e-12
2,8,-0.816496580927726,1,GL8_12,134.64816060530015,134.64816060533087,-3.0723867893794754e-11,2.1743223356314088e-15
2,7,0.7071067811865475,1,GL8_12,98.00378387204833,98.01664543850022,-0.012779209962016196,4.01802728579151e-12
2,7,0.816496580927726,1,GL8_12,71.76635668911679,71.87738984378815,-0.10509092197921063,4.339757433546211e-12
2,8,-0.7071067811865475,1,GL8_12,134.05282262867928,134.0528226286769,2.3874235921567865e-12,2.065604437189911e-15
2,8,-0.5773502691896258,1,GL8_12,133.24262684297594,133.24262684274936,2.265778676048495e-10,2.170376252895531e-15
2,8,-0.5,1,GL8_12,132.69484560929538,132.69484560867977,6.156142264520412e-10,2.632347239577236e-15
2,8,-0.3333333333333333,1,GL8_12,131.3048104027286,131.30481039957158,3.157026645093825e-09,3.1843816254838873e-15
2,8,0.0,1,GL8_12,127.18028568540016,127.18028578750646,-1.0210629331451227e-07,1.2464662004560731e-14
2,8,0.3333333333333333,1,GL8_12,119.0795658820209,119.07960188129178,-3.599862291207457e-05,4.2423382389158465e-12
2,8,0.5,1,GL8_12,111.10843607811944,111.10902297854966,-0.0005867282378519913,5.226029390176048e-12
2,8,0.5773502691896258,1,GL8_12,105.32644973667351,105.32866406484573,-0.002211878356153845,3.7695822672191925e-12
2,9,-1.0,1,back_32_48,134.01210203939254,134.01210203939212,4.26325641456151e-13,3.6885330608314085e-16
2,8,0.7071067811865475,1,GL8_12,88.91195035671578,88.93359881427989,-0.021415811540108878,3.7412903594054385e-12
2,9,-0.816496580927726,1,GL8_12,133.00699703925093,133.00699703913244,1.1849010662237425e-10,2.1900037360955608e-15
2,8,0.816496580927726,1,GL8_12,57.29229258745545,57.446663498333,-0.14304589154390043,5.0206010845548784e-12
2,9,-0.7071067811865475,1,GL8_12,132.30771343384498,132.30771343348715,3.578293217928074e-10,2.660430194640699e-15
2,9,-0.5773502691896258,1,GL8_12,131.3557552718383,131.35575527078134,1.0569465308564322e-09,2.620216381268953e-15
2,9,-0.5,1,GL8_12,130.71194003032332,130.71194002853906,1.7842580762136913e-09,3.0266254347770104e-15
2,9,-0.3333333333333333,1,GL8_12,129.0775831712335,129.07758316924068,1.9928165804078664e-09,3.857317522386166e-15
2,9,0.0,1,GL8_12,124.22348996381776,124.22349064394443,-6.801264436928701e-07,4.005101921187285e-12
2,9,0.3333333333333333,1,GL8_12,114.67363484552459,114.67372969134814,-9.484132583119889e-05,4.351556092766679e-12
2,9,0.5,1,GL8_12,105.25948105032748,105.26069413465433,-0.0012123488374909878,4.314179752795272e-12
2,9,0.5773502691896258,1,GL8_12,98.42199090797965,98.42609997615787,-0.004100637508928318,4.046065097181889e-12
2,10,-1.0,1,back_32_48,132.40332644293758,132.4033264429375,8.526512829121566e-14,4.119518914793123e-16
2,9,0.7071067811865475,1,GL8_12,78.98109582928038,79.01451390289056,-0.03286585820546813,4.139387323955262e-12
2,10,-0.816496580927726,1,GL8_12,131.23683308955185,131.23683308910165,4.5019987747893944e-10,2.8478534202689287e-15
2,9,0.816496580927726,1,GL8_12,41.46720268018845,41.67063039295198,-0.18407081654324223,4.032408852469297e-12
2,10,-0.7071067811865475,1,GL8_12,130.4250182907142,130.42501828987645,8.37758307521508e-10,2.1317670749064005e-15
2,10,-0.5773502691896258,1,GL8_12,129.31956229816006,129.31956229705523,1.1048371112984275e-09,3.0775944678961797e-15
2,10,-0.5,1,GL8_12,128.57174733519565,128.57174733510527,9.038103599276912e-11,3.1110878912446594e-15
2,10,-0.3333333333333333,1,GL8_12,126.67275033287282,126.67275035724361,-2.4370791310030215e-08,4.140026340023492e-15
2,10,0.0,1,GL8_12,121.02800268121545,121.02800513864528,-2.4574268099273454e-06,4.617007434021789e-12
2,10,0.5,1,GL8_12,98.9246405731594,98.92687758184174,-0.0022345084431202294,4.484936560893534e-12
2,10,0.3333333333333333,1,GL8_12,109.90603149747352,109.90624296057598,-0.00021144074571372715,4.620542261810815e-12
2,10,0.5773502691896258,1,GL8_12,90.94005083390438,90.94698229339096,-0.006907492329038391,3.6330439549090547e-12
2,11,-1.0,1,back_32_48,130.67744949134425,130.67744949134357,6.821210263299288e-13,4.0508336241127203e-16
2,10,0.7071067811865475,1,GL8_12,68.2090178103605,68.25730494383559,-0.047139850251901455,4.141817268450847e-12
2,10,0.816496580927726,1,GL8_12,24.289587051558403,24.546865674704,-0.22684723450314523,3.6667183945784695e-12
2,11,-0.5773502691896258,1,GL8_12,127.13358739449325,127.13358739972787,-5.2346251640628685e-09,3.4360492073715356e-15
2,11,-0.7071067811865475,1,GL8_12,128.4043033421887,128.40430334230786,-1.1914380592515598e-10,3.0178482142681834e-15
2,11,-0.816496580927726,1,GL8_12,129.33725488978425,129.33725488931606,4.681908195566465e-10,2.684550115843992e-15
2,11,-0.5,1,GL8_12,126.2737889508572,126.27378896708603,-1.622883858563723e-08,3.322810486705101e-15
2,11,-0.3333333333333333,1,GL8_12,124.08978630412561,124.08978643710313,-1.32977509932659e-07,7.024835049905507e-15
2,11,0.0,1,GL8_12,117.59314040243446,117.59314720498791,-6.802530320104674e-06,4.878205268988333e-12
2,11,0.3333333333333333,1,GL8_12,104.77569718333822,104.776115331724,-0.0004180609739242315,4.48026938949985e-12
2,11,0.5,1,GL8_12,92.10249664404127,92.10627737228847,-0.0037735902925567283,4.325451958512161e-12
2,11,0.5773502691896258,1,GL8_12,82.87902938114121,82.88988849749835,-0.010800368993553812,4.204728683193854e-12
2,11,0.7071067811865475,1,GL8_12,56.594104464712046,56.66035592718011,-0.06410450789107415,4.109206798110899e-12
2,12,-1.0,1,back_32_48,128.834187737591,128.83418773759087,1.4210854715203013e-13,4.507927265875005e-16
2,12,-0.7071067811865475,1,GL8_12,126.2452458376307,126.24524584511138,-7.480679159230345e-09,3.5591036149809505e-15
2,11,0.816496580927726,1,GL8_12,5.758439777769077,6.073509874396699,-0.27026227967702493,4.305132442491992e-12
