detuning_Doppler_proxy,mu_rest,nu_out_over_nu_in,amplitude_abs2,response_area_m2
7.5,0.5,0.999999994567099,1397588.9332277898,8.716314951085091e-23
7.5,1.0,1.0,1397588.933228458,1.3946103997510617e-22
7.75,-1.0,0.9999999782682689,1308868.5347453032,1.3060790532863215e-22
7.75,-0.5,0.9999999837012017,1308868.5347459498,8.162994127392543e-23
7.75,0.0,0.9999999891341345,1308868.5347465966,6.53039533739646e-23
7.75,0.5,0.9999999945670672,1308868.5347472439,8.162994216098613e-23
7.75,1.0,1.0,1308868.53474789,1.3060790816722623e-22
8.0,-1.0,0.9999999782681416,1228335.2381326533,1.2257173905173802e-22
8.0,-0.5,0.9999999837011061,1228335.2381332796,7.660733732358028e-23
8.0,0.0,0.9999999891340707,1228335.2381339066,6.128587019185948e-23
8.0,0.5,0.9999999945670353,1228335.2381345327,7.660733815606836e-23
8.0,1.0,1.0,1228335.2381351595,1.2257174171569984e-22
