lane,event_id,beta_norm,response_relative,thermal_log_residual,conductance_log_residual,rest_frequency_in_relative,rest_frequency_out_relative,response_forward_m2,response_reverse_m2
physical,25,1.6408046330263085e-05,8.404909661554716733115641438570901870587e-87,0.0,-1.68244451242683684427698296441289638836e-86,4.482320934465728852507887853225033994204e-91,0.0,1.107528100072700720098689748085731671446e-21,1.107528100072700720098689748085731671446e-21
physical,26,1.7066600392558297e-05,0.0,1.570909908895272496990647025595608205752e-89,1.570909908895272496990647025595608205752e-89,0.0,2.240926209543528333635416260723814970053e-91,9.287532216291686536455817179804949646402e-23,9.287532216291686536455817179804949646402e-23
physical,27,3.6598533832635165e-05,1.459945413459422725168848591325355685422e-87,0.0,2.921892430545206844402603467607831262699e-87,2.241624047788382698385835969201329425631e-91,2.241624094915868211145692866443987274738e-91,1.720202025092726660560179155019442819962e-22,1.720202025092726660560179155019442819962e-22
physical,28,3.082156585976745e-05,0.0,0.0,0.0,0.0,0.0,1.201078636615408347480516158048250536733e-22,1.201078636615408347480516158048250536733e-22
physical,29,2.0965146632605428e-05,3.411276363927719288355408013770979457438e-87,1.570909908895272496990647025595608205752e-89,-6.817749004605482636939408091084939612964e-87,4.483149020116473755279967415679267675801e-91,2.24157452174865966424412368895580146577e-91,1.590192093000586261161487632668641518322e-22,1.590192093000586261161487632668641518322e-22
physical,30,2.3316122293571295e-05,0.0,0.0,0.0,0.0,0.0,4.789854738634578082251699347975661695252e-22,4.789854738634578082251699347975661695252e-22
physical,31,2.2236560333803007e-05,0.0,0.0,0.0,0.0,0.0,4.086512454698678878929071380036821791131e-22,4.086512454698678878929071380036821791131e-22
physical,32,2.445113659821789e-05,2.743695686051649187864395677342950072687e-87,-1.570909908895272496990647025595608205752e-89,-5.51389378022240646443717105984058480219e-87,4.481827588417078066657168136247091637819e-91,4.481827639104199490058593004080993794514e-91,8.102660076319948688560660112317723531346e-23,8.102660076319948688560660112317723531346e-23
physical,33,1.1407145379456699e-05,1.147935845719612515175304843256436235331e-91,7.85454954447636248495323512797804102876e-90,1.570909908895272496990647025595608205752e-89,0.0,2.241439110736446155808527216304987269466e-91,4.52787052708867829706875756625987174025e-22,4.52787052708867829706875756625987174025e-22
physical,34,3.8341803167289496e-05,2.22464676657601635281394185764111623959e-91,7.85454954447636248495323512797804102876e-90,0.0,0.0,4.483184702639190750397018912197140893798e-91,1.168209030061502042438076740046091823105e-22,1.168209030061502042438076740046091823105e-22
physical,35,2.099650407894246e-05,1.258135723818620929246196017647684800694e-87,0.0,2.529164953321388720154941711208929211261e-87,2.240880734202381750049429953658568812454e-91,2.240880770211954612910131100727725846681e-91,8.365315820348171643378058403771783998416e-23,8.365315820348171643378058403771783998416e-23
physical,36,1.395896086301441e-05,6.274383164947193105997638292613843197564e-87,-7.85454954447636248495323512797804102876e-90,-1.256727927116217997592517620476486564602e-86,4.482239741914225881874082575680982670625e-91,4.482239767238022535050042521012365729577e-91,5.206748399191666953276937273899692144974e-22,5.206748399191666953276937273899692144974e-22
physical,37,3.6515437939630556e-05,2.781201328116381643757119542504715980076e-87,7.85454954447636248495323512797804102876e-90,5.57673017657821736431679694086440913042e-87,2.241099370281927332954541991531972081781e-91,2.24109940611650287543555849579632090682e-91,4.065634146304036576245316356114381312845e-22,4.065634146304036576245316356114381312845e-22
physical,38,1.7056039258665086e-05,2.899071281657380943741118028194356253824e-91,1.570909908895272496990647025595608205752e-89,1.570909908895272496990647025595608205752e-89,0.0,4.482979175093483508553803478805414786804e-91,2.689329294371965662728016804348935730457e-22,2.689329294371965662728016804348935730457e-22
physical,39,3.0468485706097697e-05,1.197912724221173174818406498521452807322e-91,0.0,0.0,0.0,2.241620668305162052988154362704005202298e-91,1.084741980306151731528968730192564555866e-22,1.084741980306151731528968730192564555866e-22
stress,0,0.15068317556100613,4.972661971575977262764137954440161710968e-90,8.236092143148846269022323477554702349773e-84,8.236092143148846269022323477554702349773e-84,2.341292036001337219946797805402265741814e-91,2.341292069088361729293542539743297129758e-91,1.395567354281794450203881145250191960408e-27,1.395567354281794450203881145250191960408e-27
stress,1,0.26430232064110404,1.05786473716330335740466990758087671463e-91,-3.294436857259538507608929391021880939909e-83,-3.294436857259538507608929391021880939909e-83,0.0,0.0,5.857220536884580412832131124306806171877e-29,5.857220536884580412832131124306806171877e-29
stress,2,0.01447435801135062,2.154845897951268660068337797121206192374e-89,6.43444698683503614767369021683961121076e-86,6.43444698683503614767369021683961121076e-86,2.218191044221055741021687652317199965341e-91,0.0,3.459738886294743896860445796806159786868e-26,3.459738886294743896860445796806159786868e-26
stress,3,0.48955910013021386,0.0,0.0,0.0,0.0,0.0,3.482516881081306024465265977482649045631e-28,3.482516881081306024465265977482649045631e-28
stress,4,0.08126776850004239,3.329515238541000756256146725618621198857e-90,4.118046071574423134511161738777351174887e-84,4.118046071574423134511161738777351174887e-84,2.389121212014072836784879457564266166222e-91,2.389121244620533447480424113159883550456e-91,6.69951264115753292912786969251385414653e-28,6.69951264115753292912786969251385414653e-28
stress,5,0.426048442721459,4.928720113486796136393225637248744112296e-90,6.588873714519077015217858782043761879819e-83,6.588873714519077015217858782043761879819e-83,4.075657385451687067928985978535969807403e-91,2.037828720757745348196147382498294640705e-91,2.011442133807993028371396554939922357817e-28,2.011442133807993028371396554939922357817e-28
stress,6,0.4860558159419642,2.525430116137748141852709483122986774655e-90,0.0,0.0,2.430397137579487018436241538166963729525e-91,7.291191451570367605807042618751412915054e-91,4.71072324923847243759250096568658830292e-28,4.71072324923847243759250096568658830292e-28
stress,7,0.1063078411203256,2.299267925473326573335746262504204708315e-90,-4.118046071574423134511161738777351174887e-84,-4.118046071574423134511161738777351174887e-84,2.036047347388726880343031410226748590147e-91,4.072094723132123776744901078091254595449e-91,2.263661174887234062365693737890145648444e-28,2.263661174887234062365693737890145648444e-28
stress,8,0.34212741117637463,7.798818995282498062335764323010190655517e-91,-3.294436857259538507608929391021880939909e-83,-3.294436857259538507608929391021880939909e-83,2.681035839796252574984676583270690873199e-91,5.362071768073504409159498650533125869823e-91,1.588996248664562077288108787797959620509e-28,1.588996248664562077288108787797959620509e-28
