event_id,beta_norm,nu_in_rest_over_nu_alpha,nu_out_rest_over_nu_alpha,mu_rest,response_forward_m2,response_reverse_m2,response_relative,thermal_log_residual,conductance_log_residual,maxwell_boltzmann_log_residual,rest_frequency_in_relative,rest_frequency_out_relative
34,1.12234088028111e-05,0.9999346663251705,0.9999346545078297,-0.08790546606374652,5.101266010238964e-22,5.101266010238963e-22,9.217275464270271e-17,0.0,-1.4210854715202004e-14,3.552713678800501e-14,0.0,2.0276519827464972e-16
35,2.580111082616425e-05,1.0002139666802483,1.0002139468484113,-0.8247012557884522,7.927549780390302e-23,7.927549780390301e-23,7.413982777692591e-17,0.0,2.842170943040401e-14,-6.181721801112872e-13,0.0,2.0270857962121762e-16
36,4.2904259491005047e-05,0.9999965209296862,0.9999965102457491,0.01655745100587661,1.7855015705061404e-19,1.7855015702980374e-19,5.827577897803137e-11,0.0,1.1658585208351724e-10,-1.6626700016786344e-12,2.0275265387371267e-16,2.0275265603991683e-16
37,2.565234554111569e-05,0.9999024599758655,0.9999024410946235,-0.7383208476535711,3.509287422714988e-22,3.5092874227295777e-22,2.0787362115452045e-12,0.0,-4.135358722123783e-12,-4.902744876744691e-13,2.0277172684210346e-16,2.0277173067105905e-16
38,1.825362636304204e-05,1.0000329831405783,1.0000329722407673,-0.0032403142886114037,1.9860346344765936e-21,1.98603463440334e-21,1.8442131181707966e-11,2.1316282072803006e-14,3.6905589695379604e-11,5.684341886080802e-14,6.082357839225547e-16,0.0
39,9.422674395319363e-06,0.9999728566110426,0.9999728377082597,-0.7400590316451718,4.53886639777852e-21,4.5388663977785186e-21,1.657498411705782e-16,7.105427357601002e-15,2.842170943040401e-14,7.105427357601002e-15,0.0,2.0275745584014158e-16
40,2.3318617336397208e-05,0.9998004487914345,0.9998004431167059,0.47744368550377897,6.664080834247713e-23,6.664080834261251e-23,1.0157566193398983e-12,1.4210854715202004e-14,-2.0179413695586845e-12,-2.842170943040401e-14,2.0279241595466522e-16,2.0279241710568681e-16
41,1.4991407924830155e-05,1.0001609263228468,1.0001609176577833,0.2026543487431968,8.684325917436049e-23,8.684325917414164e-23,1.260049083354666e-12,1.4210854715202004e-14,2.5153212845907547e-12,7.105427357601002e-14,2.0271932560733358e-16,0.0
42,3.700605699916909e-05,1.0000976147099803,1.000097593968206,-0.9088674623711639,4.1401693596250565e-22,4.140169359590656e-22,4.1544927380944625e-12,1.4210854715202004e-14,8.355982572538778e-12,1.0444978215673473e-12,4.0546431768416904e-16,4.0546432609339755e-16
43,1.3370073938907806e-05,0.9998770331160426,0.9998770286329377,0.5872373722108779,1.921900644171834e-22,1.9219006441845074e-22,3.297120179533201e-12,1.4210854715202004e-14,-6.622258297284134e-12,0.0,4.055537666489091e-16,2.0277688423363633e-16
44,2.6572078097728563e-05,0.9998485081633192,0.9998485063060546,0.8289905750799673,1.5886973962037455e-22,1.5886973962037448e-22,2.2197323800577328e-16,7.105427357601002e-15,2.842170943040401e-14,-1.8474111129762605e-13,0.0,6.083480063356045e-16
45,3.912957977864489e-05,0.9999213576308601,0.999921340286438,-0.5967716118188494,4.73810916490583e-22,4.7381091649302565e-22,2.577692045483892e-12,7.105427357601002e-15,-5.144329406903125e-12,-2.0250467969162855e-12,2.0276789463059273e-16,2.0276789814776132e-16
46,7.133050536497352e-06,0.9998084779147778,0.9998084757856232,0.8039403526550852,9.699302225710731e-23,9.699302225751792e-23,2.1167086153704005e-12,7.105427357601002e-15,-4.220623850414995e-12,1.4210854715202004e-14,4.055815747948796e-16,4.055815756585907e-16
47,3.075746754026923e-05,0.9999118267754926,0.9999118054682534,-0.9616360157993177,5.349565538030272e-22,5.349565538030272e-22,0.0,0.0,0.0,-3.623767952376511e-13,0.0,0.0
48,2.74249684884891e-05,1.0000478384090916,1.0000478343514168,0.6265346524152554,1.3146674108506345e-21,1.3146674108729232e-21,8.476930842399528e-12,-7.105427357601002e-15,-1.695354967523599e-11,2.4158453015843406e-13,4.0548449923259243e-16,2.02742250438919e-16
49,3.659065485492177e-05,0.9999317284525414,0.9999317227975567,0.47939853699657425,5.701294485350562e-22,5.701294485350562e-22,0.0,0.0,1.4210854715202004e-14,7.531752999057062e-13,0.0,0.0
50,3.0065013115023276e-05,0.9999239716960967,0.9999239572457251,-0.3303309822047651,4.1461127862537083e-22,4.1461127862758175e-22,2.6662525946290147e-12,7.105427357601002e-15,-5.343281372915953e-12,6.181721801112872e-13,2.027673645417866e-16,4.0553473494414617e-16
51,5.0840251466238804e-05,0.9998512473086802,0.9998512419310759,0.5048546454268041,1.2255111629603987e-22,1.2255111629637385e-22,1.362621023167153e-12,1.4210854715202004e-14,-2.7213786779611837e-12,-2.0463630789890885e-12,2.027821128680141e-16,4.055642279173165e-16
52,2.9493800998748226e-05,1.0000209471028714,1.0000209322146947,-0.3703704171314084,5.599514040536068e-21,5.5995140405360666e-21,1.3435387054663788e-16,0.0,2.842170943040401e-14,3.979039320256561e-13,0.0,2.027477045244935e-16
53,3.375306616660572e-05,1.000055284134813,1.0000552835546164,0.9465999291770452,1.3403115861720949e-21,1.3403115861720953e-21,1.4032490509816184e-16,0.0,0.0,2.4158453015843406e-13,0.0,0.0
54,3.705574401677961e-05,1.0000414392025776,1.0000414182946986,-0.9243702885043891,2.333229422914958e-21,2.333229422846459e-21,1.4679044944266295e-11,2.1316282072803006e-14,2.9388047551037744e-11,-1.6129320101754274e-12,6.082306408561803e-16,2.0274355119082202e-16
55,3.0015927699416672e-05,1.0001494357290686,1.0001494249973408,0.01246043194159668,9.675521521424544e-23,9.675521521398286e-23,1.3569394037603178e-12,0.0,2.7284841053187847e-12,3.552713678800501e-14,2.0272165462471672e-16,2.0272165679994523e-16
56,2.3671609334603127e-05,0.9998839214501477,0.9998839157223913,0.47264871869161434,1.9619799107371236e-22,1.961979910737123e-22,1.7974103777351878e-16,0.0,0.0,2.842170943040401e-14,0.0,2.0277548752896003e-16
