far_index,side,far_left,far_right,interior_index,interior_left,interior_right,S0_m^-3_s^-1,S1_m^-3_s^-1,S2_m^-3_s^-1,photon_delta_p0_weighted,photon_delta_ppar_weighted
1,red,-16.25,-12.75,6,-1.25,-0.75,2.564040794132534e-23,-2.4356977050181116e-23,2.1974717056088242e-23,-3.8703530263055484e-53,-2.7246936964428246e-49
1,red,-16.25,-12.75,7,-0.75,-0.25,1.2564559624726311e-24,-1.1979249740143703e-24,1.0887184221267488e-24,-1.9754671656117542e-54,-1.3375649449962656e-50
1,red,-16.25,-12.75,8,-0.25,0.25,5.474901194979024e-26,-5.237023272960735e-26,4.791115500908574e-26,-8.951987060205135e-56,-5.83771547755308e-52
1,red,-16.25,-12.75,9,0.25,0.75,2.121239661039835e-27,-2.035099422261718e-27,1.8729432158256414e-27,-3.6018560250237486e-57,-2.265107969390038e-53
1,red,-16.25,-12.75,10,0.75,1.25,7.307791922038714e-29,-7.02988813257344e-29,6.504730290783861e-29,-1.2868652454664687e-58,-7.813746863466298e-55
1,red,-16.25,-12.75,11,1.25,1.75,2.238648611866711e-30,-2.158776167611385e-30,2.0073115971109604e-30,-4.083189422403428e-60,-2.3965218272699705e-56
1,red,-16.25,-12.75,12,1.75,2.25,6.098636105423492e-32,-5.89412474441131e-32,5.50506359213231e-32,-1.1508140042364877e-61,-6.535888894471827e-58
1,red,-16.25,-12.75,13,2.25,2.75,1.4777326038599887e-33,-1.4310787038516908e-33,1.3420649844347852e-33,-2.88171845900674e-63,-1.585271151102629e-59
1,red,-16.25,-12.75,14,2.75,3.25,3.1854683028603685e-35,-3.0906326302503885e-35,2.909204696377065e-35,-6.413071428585046e-65,-3.420427945734975e-61
1,red,-16.25,-12.75,15,3.25,3.75,6.110766330033198e-37,-5.938948987058446e-37,5.6094388743339865e-37,-1.268837865522504e-66,-6.567042614252219e-63
1,red,-16.25,-12.75,16,3.75,4.25,1.0435944805435474e-38,-1.0158413302774167e-38,9.624956956453191e-39,-2.2328774609918056e-68,-1.1223901081782918e-64
2,red,-12.75,-10.25,0,-4.25,-3.75,5.4277069683169e-12,-4.705264537333445e-12,3.5232476097785473e-12,-4.479153753979991e-42,-5.522110841617833e-38
2,red,-12.75,-10.25,1,-3.75,-3.25,9.685708255531456e-13,-8.526676615538005e-13,6.590301226589182e-13,-8.588349206087465e-43,-9.925162605635564e-39
2,red,-12.75,-10.25,2,-3.25,-2.75,1.5450207698476976e-13,-1.3780975123927047e-13,1.0941881748164113e-13,-1.465251168450162e-43,-1.5930144324289045e-39
2,red,-12.75,-10.25,3,-2.75,-2.25,2.2017175567662368e-14,-1.9861035142090317e-14,1.613675503627671e-14,-2.224205348829213e-44,-2.282253844214825e-40
2,red,-12.75,-10.25,4,-2.25,-1.75,2.8015538152011426e-15,-2.5519504628605586e-15,2.1149947835568354e-15,-3.003864867384191e-45,-2.91753779604777e-41
2,red,-12.75,-10.25,5,-1.75,-1.25,3.181829608419553e-16,-2.923027203169709e-16,2.464629800049427e-16,-3.6093161827688686e-46,-3.327027004758462e-42
2,red,-12.75,-10.25,6,-1.25,-0.75,3.2245408468059616e-17,-2.9843184995782233e-17,2.55442991707148e-17,-3.858531687108426e-47,-3.3837258762648226e-43
2,red,-12.75,-10.25,7,-0.75,-0.25,2.915310121747404e-18,-2.715776277102478e-18,2.3554434720125025e-18,-3.6703361266354335e-48,-3.0688668744920576e-44
2,red,-12.75,-10.25,8,-0.25,0.25,2.351152118178999e-19,-2.202881361101654e-19,1.932957979993541e-19,-3.106948758980716e-49,-2.481901753741462e-45
2,red,-12.75,-10.25,9,0.25,0.75,1.6914154791418918e-20,-1.5928658457074653e-20,1.412167473533023e-20,-2.3409514729362375e-50,-1.7899101342237658e-46
2,red,-12.75,-10.25,10,0.75,1.25,1.0855048100863827e-21,-1.0269194846482857e-21,9.188081050130875e-22,-1.57035836805227e-51,-1.1512629809365326e-47
2,red,-12.75,-10.25,11,1.25,1.75,6.216001941521267e-23,-5.9044838326707e-23,5.32630482868531e-23,-9.38230105407748e-53,-6.605655554906975e-49
2,red,-12.75,-10.25,12,1.75,2.25,3.1770811381745837e-24,-3.0288897811912366e-24,2.7524194804203622e-24,-4.9948913011036885e-54,-3.3822690134215777e-50
2,red,-12.75,-10.25,13,2.25,2.75,1.4500581489784896e-25,-1.3869684246731138e-25,1.268715397826561e-25,-2.370860931022216e-55,-1.5461952273595275e-51
2,red,-12.75,-10.25,14,2.75,3.25,5.9136957171072884e-27,-5.673192986779591e-27,5.220493810078713e-27,-1.0040957938695611e-56,-6.314955222491809e-53
2,red,-12.75,-10.25,15,3.25,3.75,2.156833210393619e-28,-2.0746786629215742e-28,1.919444221248966e-28,-3.797911906238009e-58,-2.306224176187323e-54
2,red,-12.75,-10.25,16,3.75,4.25,7.042720544704827e-30,-6.790989439751405e-30,6.3136687073922e-30,-1.2845091274790936e-59,-7.539579789147699e-56
3,blue,10.25,12.75,0,-4.25,-3.75,7.118657070154214e-30,-6.864133350112571e-30,6.381525293089405e-30,1.2983660638872012e-59,-7.62194769723793e-56
3,blue,10.25,12.75,1,-3.75,-3.25,2.178910770077086e-28,-2.0958884062092006e-28,1.93901706620584e-28,3.836810919570498e-58,-2.3301847233236877e-54
3,blue,10.25,12.75,2,-3.25,-2.75,5.970437000033584e-27,-5.7275442248551386e-27,5.270355646276664e-27,1.0137368363818008e-56,-6.376583777138098e-53
3,blue,10.25,12.75,3,-2.75,-2.25,1.4629098414096637e-25,-1.3992383565703391e-25,1.2798976420930717e-25,2.3918915979458903e-55,-1.5601694942765225e-51
3,blue,10.25,12.75,4,-2.25,-1.75,3.2026419551676308e-24,-3.0532030094893612e-24,2.7744123358615286e-24,5.0351192411262e-54,-3.410108173069677e-50
3,blue,10.25,12.75,5,-1.75,-1.25,6.260436861878371e-23,-5.946571001231195e-23,5.364051301043817e-23,9.449457988910866e-53,-6.654170349733852e-49
3,blue,10.25,12.75,6,-1.25,-0.75,1.0922119331582213e-21,-1.0332410675125586e-21,9.24421720446288e-22,1.5800775821230395e-51,-1.1586138278443938e-47
3,blue,10.25,12.75,7,-0.75,-0.25,1.700115118374476e-20,-1.6010176750350707e-20,1.4193213727899892e-20,2.353018775583584e-50,-1.7995035427267213e-46
3,blue,10.25,12.75,8,-0.25,0.25,2.360673317273911e-19,-2.211738701679071e-19,1.9406176558761512e-19,3.1195699843037473e-49,-2.4925138338725122e-45
3,blue,10.25,12.75,9,0.25,0.75,2.9237786591269398e-18,-2.7235775607874586e-18,2.3620559841546185e-18,3.681049260410619e-48,-3.078505331974296e-44
3,blue,10.25,12.75,10,0.75,1.25,3.2300767867449776e-17,-2.989334026072595e-17,2.5585357262213862e-17,3.8652156954286963e-47,-3.3903651769198916e-43
3,blue,10.25,12.75,11,1.25,1.75,3.183398824201597e-16,-2.9243500771378617e-16,2.4655420604644526e-16,3.6111578176403936e-46,-3.329514533598924e-42
3,blue,10.25,12.75,12,1.75,2.25,2.7994293070581834e-15,-2.549898826939527e-15,2.1130981196314192e-15,3.001643565104206e-45,-2.916093774875921e-41
3,blue,10.25,12.75,13,2.25,2.75,2.1972480462928225e-14,-1.9819698175186347e-14,1.6101479918288242e-14,2.2197365302550648e-44,-2.2782415341112806e-40
3,blue,10.25,12.75,14,2.75,3.25,1.5399002801828264e-13,-1.373450619230428e-13,1.0903691210668212e-13,1.4604288201396403e-43,-1.588181224502774e-39
3,blue,10.25,12.75,15,3.25,3.75,9.641122317560775e-13,-8.486870197761222e-13,6.558650852847999e-13,8.54903386234863e-43,-9.882332986642934e-39
3,blue,10.25,12.75,16,3.75,4.25,5.3957390356257e-12,-4.677204766895406e-12,3.501699599772885e-12,4.4528992543591747e-42,-5.491218098953492e-38
4,blue,12.75,16.25,0,-4.25,-3.75,1.0675557476654656e-38,-1.0391537365820836e-38,9.845617818986795e-39,2.284157714419153e-68,-1.1483907050404651e-64
4,blue,12.75,16.25,1,-3.75,-3.25,6.246382290462041e-37,-6.0706766502838685e-37,5.733715621542175e-37,1.2970050504582547e-66,-6.71420442100627e-63
4,blue,12.75,16.25,2,-3.25,-2.75,3.253339929883068e-35,-3.156440456102709e-35,2.971067971866143e-35,6.549756448588664e-65,-3.494082946039637e-61
4,blue,12.75,16.25,3,-2.75,-2.25,1.5077426989201101e-33,-1.4601192918655936e-33,1.3692577698524999e-33,2.9402626870497705e-63,-1.6178426568046216e-59
4,blue,12.75,16.25,4,-2.25,-1.75,6.21575976055936e-32,-6.00722064963016e-32,5.61050663791012e-32,1.1729247611097727e-61,-6.663036837370587e-58
4,blue,12.75,16.25,5,-1.75,-1.25,2.2789538571515623e-30,-2.1976029442098225e-30,2.0433387786791333e-30,4.1567411686319246e-60,-2.4402915457602255e-56
4,blue,12.75,16.25,6,-1.25,-0.75,7.42993549234162e-29,-7.147241703565209e-29,6.61304766475499e-29,1.3083868215960046e-58,-7.946457498941308e-55
4,blue,12.75,16.25,7,-0.75,-0.25,2.1537848155802314e-27,-2.0662766840990854e-27,1.901550731077806e-27,3.6571564341214774e-57,-2.3004957058842247e-53
4,blue,12.75,16.25,8,-0.25,0.25,5.550988444829937e-26,-5.309673336362118e-26,4.85733839865549e-26,9.076502506067623e-56,-5.9205417759550544e-52
4,blue,12.75,16.25,9,0.25,0.75,1.2720199252672033e-24,-1.2127307907392743e-24,1.1021139840145914e-24,1.999963079812299e-54,-1.354535830550438e-50
4,blue,12.75,16.25,10,0.75,1.25,2.5917835640331733e-23,-2.4619775467276026e-23,2.221046393606545e-23,3.912284383179785e-53,-2.7550208738942036e-49
4,blue,12.75,16.25,11,1.25,1.75,4.6960281023703635e-22,-4.442724087740736e-22,3.975265922153166e-22,6.794143658833039e-52,-4.981952652934529e-48
4,blue,12.75,16.25,12,1.75,2.25,7.567559499128112e-21,-7.126863367997097e-21,6.3187805856109605e-21,1.0474638325539991e-50,-8.010649640661182e-47
4,blue,12.75,16.25,13,2.25,2.75,1.0848275612144876e-19,-1.0164469004005878e-19,8.91956678017824e-20,1.4337051069598986e-49,-1.1455142455830022e-45
