x_source,x_target,mu,q_dimensionless,delta_dimensionless,log_conductance_forward,log_conductance_reverse,conductance_log_residual,log_S_MJ_minus_log_S_MB
0.0,-3.5,0.75,7.681614711566836e-09,8.923450945301869e-13,35.70340546620725,35.70340546620725,0.0,-2.4850033497614277e-07
0.0,-1.0,-0.75,2.0324238297577673e-08,2.5495574129457546e-13,58.94561376267143,58.94561376267143,0.0,-5.500524480339664e-10
0.0,-1.0,-0.25,1.7177116471854638e-08,2.5495574129457546e-13,58.99956153810709,58.99956153810709,0.0,-5.824283277888753e-10
0.0,-1.0,0.25,1.3305337207248713e-08,2.5495574129457546e-13,58.98830147853258,58.98830147853257,7.105427357601002e-15,-6.999272272878443e-10
0.0,-1.0,0.75,7.6818400210844e-09,2.5495574129457546e-13,58.204243051582964,58.204243051582964,0.0,-2.168679458236511e-09
0.0,-0.5,-0.75,2.0324357542056844e-08,1.2747787064811491e-13,59.159679751363804,59.1596797513638,7.105427357601002e-15,-5.184404017199995e-10
0.0,-0.5,-0.25,1.7177217251428107e-08,1.2747787064811491e-13,59.2993441594048,59.2993441594048,0.0,-5.204654485169158e-10
0.0,-0.5,0.25,1.330541527003783e-08,1.2747787064811491e-13,59.48808957589545,59.488089575895444,7.105427357601002e-15,-5.278053549773176e-10
0.0,-0.5,0.75,7.681885088541248e-09,1.2747787064811491e-13,59.70405852899377,59.70405852899377,0.0,-6.19600371010165e-10
0.5,-3.5,-0.75,2.032376132205977e-08,1.0198229651783019e-12,54.66048667773765,54.66048667773765,0.0,-9.149800916929962e-09
0.5,-3.5,-0.25,1.7176713362075582e-08,1.0198229651783019e-12,53.00002267273612,53.000022672736115,7.105427357601002e-15,-1.743792665820365e-08
0.5,-3.5,0.25,1.3305024974413205e-08,1.0198229651783019e-12,48.988468462378805,48.988468462378805,0.0,-4.7520760659836014e-08
0.5,-3.5,0.75,7.681659795682979e-09,1.0198229651783019e-12,28.20293935643861,28.20293935643861,0.0,-4.2355617679845636e-07
0.5,-1.0,-0.75,2.0324357542456624e-08,3.824336119426904e-13,58.588244474243254,58.588244474243254,0.0,-6.870450874885137e-10
0.5,-1.0,-0.25,1.717721725284719e-08,3.824336119426904e-13,58.499334771522584,58.49933477152258,7.105427357601002e-15,-8.509246640642232e-10
0.5,-1.0,0.25,1.3305415273091213e-08,3.824336119426904e-13,58.15474059630594,58.154740596305935,7.105427357601002e-15,-1.445755515305791e-09
0.5,-1.0,0.75,7.681885095945303e-09,3.824336119426904e-13,55.704011592336514,55.704011592336514,0.0,-8.881130497684353e-09
0.5,-0.5,-0.75,2.032447678683585e-08,2.5495574129622983e-13,58.94516928217457,58.94516928217457,0.0,-5.500560007476452e-10
0.5,-0.5,-0.25,1.717731803206589e-08,2.5495574129622983e-13,58.999119739735136,58.999119739735136,0.0,-5.824247750751965e-10
0.5,-0.5,0.25,1.3305493335116986e-08,2.5495574129622983e-13,58.98786593845038,58.98786593845038,0.0,-6.999201218604867e-10
0.5,-0.5,0.75,7.68193016155114e-09,2.5495574129622983e-13,58.20383880294456,58.20383880294456,0.0,-2.1686012985355774e-09
0.5,0.0,-0.75,2.0324596031315022e-08,1.2747787064811491e-13,59.15923024178768,59.15923024178768,0.0,-5.184404017199995e-10
0.5,0.0,-0.25,1.717741881163936e-08,1.2747787064811491e-13,59.29889532034941,59.29889532034941,0.0,-5.204654485169158e-10
0.5,0.0,0.25,1.3305571397906119e-08,1.2747787064811491e-13,59.48764230138677,59.48764230138677,0.0,-5.278089076909964e-10
0.5,0.0,0.75,7.681975229008022e-09,1.2747787064811491e-13,59.70361907721363,59.703619077213624,7.105427357601002e-15,-6.195968182964862e-10
1.0,-3.5,-0.75,2.0323880567538398e-08,1.1473008358247624e-12,53.44595776667596,53.44595776667596,0.0,-1.4345150844974341e-08
1.0,-3.5,-0.25,1.717681414519677e-08,1.1473008358247624e-12,51.299772435436445,51.29977243543645,-7.105427357601002e-15,-2.7620817633078332e-08
1.0,-3.5,0.25,1.3305103044835795e-08,1.1473008358247624e-12,46.15486846601146,46.154868466011465,-7.105427357601002e-15,-7.580656280481435e-08
