physics_orbit_id,frequency_i,frequency_j,x_i,x_j,mu,mu_label,edge_multiplicity,Q_SI,DeltaE_SI,pole_mean_amp2,full_mean_amp2,full_over_pole,integrated_amp_reciprocity,pointwise_amp_reciprocity,forward_reverse_log_edge_residual,quad_change_pole_96_128_to_128_192,quad_change_full_96_128_to_128_192,pole_location_t,pole_width_t,quadrature_points,log_edge_pole_no_angular,log_edge_full_no_angular
431,2,2,-3.0,-3.0,-0.5,-1/2,24,9.439964185598571e-27,0.0,9130740.506593574,9131869.560915597,1.0001236541900635,0.0,0.0,0.0,5.303926208945819e-15,5.3032704373352024e-15,-5.999728028175949,0.0017230083026919404,512,144.74596548589406,144.74608913243958
432,2,2,-3.0,-3.0,-0.3333333333333333,-1/3,12,8.900083586393193e-27,0.0,9275777.13842627,9276911.909523599,1.0001223370376837,0.0,0.0,0.0,5.2209936868126736e-15,5.421137930350195e-15,-5.195983700235122,0.0014921689610627278,512,144.82061661678742,144.82073894634254
433,2,2,-3.0,-3.0,0.0,0,96,7.707698481621419e-27,0.0,9597716.720753796,9598863.539046846,1.0001194886582316,0.0,0.0,0.0,4.851792367457649e-15,4.851212702561024e-15,-4.242612029398101,0.0012183508548741944,512,144.99857652382792,144.99869600534797
434,2,2,-3.0,-3.0,0.3333333333333333,1/3,12,6.293309457065714e-27,0.0,10235840.36449636,10237000.224861382,1.000113313643406,0.0,0.0,0.0,4.367348648441192e-15,4.366853824324137e-15,-3.6743042823493908,0.0010551227910435403,512,145.26567920767525,145.26579251489915
435,2,2,-3.0,-3.0,0.5,1/2,24,5.450165863695761e-27,0.0,11323444.531439625,11324611.383990172,1.0001030474911858,0.0,0.0,0.0,2.960902276075762e-15,2.9605971939625124e-15,-3.464211840280855,0.000994779307375152,512,145.51050025279596,145.51060329497813
436,2,2,-3.0,-3.0,0.5773502691896258,1/sqrt(3),24,5.0108916882143705e-27,0.0,12296775.899862655,12297946.12373745,1.0000951650972845,0.0,0.0,0.0,3.0294853942190837e-16,4.543795680570643e-16,-3.378225148881924,0.0009700816738264244,512,145.67699421439826,145.67708937496764
437,2,2,-3.0,-3.0,0.7071067811865475,1/sqrt(2),24,4.171376359356277e-27,0.0,15080381.39467151,15081557.471897421,1.0000779872335541,0.0,0.0,0.0,2.346774720690615e-15,2.3465917164943647e-15,-3.2473318065353505,0.0009324853739363962,512,146.06441961331868,146.06449759751138
438,2,2,-3.0,-3.0,0.816496580927726,sqrt(2/3),24,3.301769849185435e-27,0.0,19072049.093364622,19073230.310866676,1.0000619344830894,0.0,0.0,0.0,1.0938324230008778e-14,1.093764681250723e-14,-3.1480627651084094,0.0009039722108909185,512,146.533036237248,146.53309816981326
439,2,3,-3.0,-2.5,-1.0,-1,26,1.0900395684635739e-26,1.9173899450406803e-23,10400608.421082538,10401822.636577254,1.0001167446600774,0.0,0.0,0.0,5.0145205036993774e-15,5.013935153544228e-15,0.0,1.0,192,144.6696082444176,144.66972498226355
440,2,3,-3.0,-2.5,-0.816496580927726,-sqrt(2/3),48,1.038830178683102e-26,1.9173899450406803e-23,10595591.770453237,10596813.478680037,1.00011530344442,0.0,3.9363882055162077e-19,2.842170943040401e-14,5.098036098212864e-15,4.921674264003675e-15,-9.07794386795765,0.0028441188708971388,192,144.72998614946303,144.7301014462605
