physics_orbit_id,frequency_i,frequency_j,x_i,x_j,mu,mu_label,edge_multiplicity,Q_SI,DeltaE_SI,pole_mean_amp2,full_mean_amp2,full_over_pole,integrated_amp_reciprocity,pointwise_amp_reciprocity,forward_reverse_log_edge_residual,quad_change_pole_96_128_to_128_192,quad_change_full_96_128_to_128_192,pole_location_t,pole_width_t,quadrature_points,log_edge_pole_no_angular,log_edge_full_no_angular
1673,10,14,1.0,3.0,0.3333333333333333,1/3,24,6.294047975175171e-27,7.669559780228981e-23,519982358.931317,519980483.10412616,0.9999963925176334,2.9384671859230177e-18,1.5504279039753853e-16,0.0,3.484697451844159e-14,3.47324716095677e-14,2.4494775164579505,0.0010549989889496278,512,146.18934854667052,146.18934493918164
114,0,8,-4.0,0.0,0.816496580927726,sqrt(2/3),48,3.301847377182088e-27,1.5339119560457963e-22,2097795612.1796103,2097797587.93712,1.0000009418255515,1.6370765454726014e-18,5.91863630144772e-16,0.0,3.4095587441978514e-14,3.4095555329913306e-14,-2.099718078376574,0.0009039510071601277,512,107.63254307923766,107.63254402106277
111,0,8,-4.0,0.0,0.5,1/2,48,5.450293796196562e-27,1.5339119560457963e-22,930423899.6495621,930425809.4238442,1.0000020525851527,2.1583326720981557e-18,3.4318200576053776e-16,0.0,3.3440268015979214e-14,3.3312076007861463e-14,-2.3098094448641873,0.0009947559660970118,512,133.91686106183272,133.91686311441578
1599,9,15,0.5,3.5,0.7071067811865475,1/sqrt(2),48,4.171865881975522e-27,1.1504339670343472e-22,1648964012.7324166,1648962055.6251235,0.9999988131291659,8.189501563033232e-18,2.9883520957139364e-16,0.0,3.2387463465775674e-14,3.238750190555708e-14,2.1643659203188457,0.0009323759649130847,512,135.39189699865437,135.39189581178283
1793,12,12,2.0,2.0,0.816496580927726,sqrt(2/3),24,3.302157309137796e-27,0.0,2107910845.3983748,2107908866.249704,0.999999061085209,0.0,0.0,0.0,3.0538775630833665e-14,3.0538804304168725e-14,2.0985365328568046,0.0009038661429489707,512,151.23375313024175,151.23375219132652
1102,5,15,-1.5,3.5,-0.5773502691896258,-1/sqrt(3),48,9.681208173312769e-27,1.9173899450605586e-22,3220608307.5627027,3220604403.5506015,0.9999987878028843,2.927910381537663e-18,2.734021612845969e-16,0.0,3.005579501485211e-14,3.00558314484443e-14,2.175666343119939,0.0018738779736117929,512,142.65858366693968,142.65858245474183
1818,12,14,2.0,3.0,0.816496580927726,sqrt(2/3),48,3.3021960573831814e-27,3.8347798901144907e-23,191876881.68575174,191875409.5363373,0.9999923276352966,1.8694524698744846e-17,2.216883827178261e-16,0.0,2.9976765154258346e-14,2.9976995148697845e-14,2.62306165918473,0.0009038555382640998,512,146.11227811057182,146.1122704381777
498,2,7,-3.0,-0.5,0.3333333333333333,1/3,24,6.293494091142885e-27,9.586949725269662e-23,2045218247.6520524,2045220489.8567197,1.0000010963155985,2.0206838066372538e-18,2.4791184963695135e-16,2.842170943040401e-14,2.9959430930877295e-14,2.9842824552513595e-14,-2.1433372845077816,0.0010550918393216863,512,145.87403071602725,145.87403181234225
1780,11,16,1.5,4.0,0.816496580927726,sqrt(2/3),48,3.302215442193998e-27,9.586949725269662e-23,54596876.6132436,54595566.468097284,0.9999760032949211,5.430757329924043e-18,5.71568669727254e-16,2.842170943040401e-14,2.947651053989363e-14,2.9477217895998024e-14,2.8850009491371984,0.0009038502395314889,512,130.55214318015476,130.55211918316175
1675,10,14,1.0,3.0,0.5773502691896258,1/sqrt(3),48,5.0114797173464374e-27,7.669559780228981e-23,1173704557.900405,1173702628.8485193,0.9999983564416849,6.000776344378929e-18,2.4823371676090026e-16,0.0,2.9454340734237883e-14,2.9454389144244077e-14,2.2519443931491785,0.0009699678504350572,512,145.49945899669322,145.49945735313355
1583,9,14,0.5,3.0,0.3333333333333333,1/3,24,6.2940110513927516e-27,9.586949725269662e-23,2045630276.112887,2045628031.9430177,0.9999989029445372,6.146207698066579e-18,1.9447509624852404e-16,0.0,2.913754526974032e-14,2.9137577235278595e-14,2.143269747774141,0.0010550051790760575,512,145.87184390374486,145.8718428066888
1664,10,13,1.0,2.5,0.816496580927726,sqrt(2/3),48,3.302137941203102e-27,5.752169835188301e-23,5872244120.745317,5872241750.826849,0.9999995964203089,8.921106630997311e-18,2.5256514724746375e-16,2.842170943040401e-14,2.890786296172697e-14,2.890787462835808e-14,1.8360848572682258,0.0009038714474207377,512,146.12834590848803,146.12834550490828
499,2,7,-3.0,-0.5,0.5,1/2,48,5.450325763842342e-27,9.586949725269662e-23,3188648714.723935,3188651005.963104,1.0000007185611755,1.1098826180497645e-17,2.12468219793417e-16,0.0,2.871207918020107e-14,2.886160052043902e-14,-2.020844659759284,0.0009947501262399896,512,144.8993361654919,144.8993368840528
