state_index,frequency_index,angle_index,x_center,nu_center_Hz,nx,ny,nz,normalized_angular_weight
64,2,12,-3.0,2465893936823239.5,0.7071067811865475,0.0,-0.7071067811865475,0.0380952380952381
65,2,13,-3.0,2465893936823239.5,0.7071067811865475,0.0,0.7071067811865475,0.0380952380952381
66,2,14,-3.0,2465893936823239.5,-0.7071067811865475,-0.7071067811865475,0.0,0.0380952380952381
67,2,15,-3.0,2465893936823239.5,-0.7071067811865475,0.7071067811865475,0.0,0.0380952380952381
68,2,16,-3.0,2465893936823239.5,0.7071067811865475,-0.7071067811865475,0.0,0.0380952380952381
69,2,17,-3.0,2465893936823239.5,0.7071067811865475,0.7071067811865475,0.0,0.0380952380952381
70,2,18,-3.0,2465893936823239.5,-0.5773502691896258,-0.5773502691896258,-0.5773502691896258,0.03214285714285714
71,2,19,-3.0,2465893936823239.5,-0.5773502691896258,-0.5773502691896258,0.5773502691896258,0.03214285714285714
72,2,20,-3.0,2465893936823239.5,-0.5773502691896258,0.5773502691896258,-0.5773502691896258,0.03214285714285714
73,2,21,-3.0,2465893936823239.5,-0.5773502691896258,0.5773502691896258,0.5773502691896258,0.03214285714285714
74,2,22,-3.0,2465893936823239.5,0.5773502691896258,-0.5773502691896258,-0.5773502691896258,0.03214285714285714
75,2,23,-3.0,2465893936823239.5,0.5773502691896258,-0.5773502691896258,0.5773502691896258,0.03214285714285714
76,2,24,-3.0,2465893936823239.5,0.5773502691896258,0.5773502691896258,-0.5773502691896258,0.03214285714285714
77,2,25,-3.0,2465893936823239.5,0.5773502691896258,0.5773502691896258,0.5773502691896258,0.03214285714285714
78,3,0,-2.5,2465922873883995.5,-1.0,0.0,0.0,0.047619047619047616
79,3,1,-2.5,2465922873883995.5,1.0,0.0,0.0,0.047619047619047616
80,3,2,-2.5,2465922873883995.5,0.0,-1.0,0.0,0.047619047619047616
81,3,3,-2.5,2465922873883995.5,0.0,1.0,0.0,0.047619047619047616
82,3,4,-2.5,2465922873883995.5,0.0,0.0,-1.0,0.047619047619047616
83,3,5,-2.5,2465922873883995.5,0.0,0.0,1.0,0.047619047619047616
84,3,6,-2.5,2465922873883995.5,0.0,-0.7071067811865475,-0.7071067811865475,0.0380952380952381
85,3,7,-2.5,2465922873883995.5,0.0,-0.7071067811865475,0.7071067811865475,0.0380952380952381
86,3,8,-2.5,2465922873883995.5,0.0,0.7071067811865475,-0.7071067811865475,0.0380952380952381
87,3,9,-2.5,2465922873883995.5,0.0,0.7071067811865475,0.7071067811865475,0.0380952380952381
88,3,10,-2.5,2465922873883995.5,-0.7071067811865475,0.0,-0.7071067811865475,0.0380952380952381
89,3,11,-2.5,2465922873883995.5,-0.7071067811865475,0.0,0.7071067811865475,0.0380952380952381
90,3,12,-2.5,2465922873883995.5,0.7071067811865475,0.0,-0.7071067811865475,0.0380952380952381
91,3,13,-2.5,2465922873883995.5,0.7071067811865475,0.0,0.7071067811865475,0.0380952380952381
92,3,14,-2.5,2465922873883995.5,-0.7071067811865475,-0.7071067811865475,0.0,0.0380952380952381
93,3,15,-2.5,2465922873883995.5,-0.7071067811865475,0.7071067811865475,0.0,0.0380952380952381
94,3,16,-2.5,2465922873883995.5,0.7071067811865475,-0.7071067811865475,0.0,0.0380952380952381
95,3,17,-2.5,2465922873883995.5,0.7071067811865475,0.7071067811865475,0.0,0.0380952380952381
96,3,18,-2.5,2465922873883995.5,-0.5773502691896258,-0.5773502691896258,-0.5773502691896258,0.03214285714285714
97,3,19,-2.5,2465922873883995.5,-0.5773502691896258,-0.5773502691896258,0.5773502691896258,0.03214285714285714
98,3,20,-2.5,2465922873883995.5,-0.5773502691896258,0.5773502691896258,-0.5773502691896258,0.03214285714285714
99,3,21,-2.5,2465922873883995.5,-0.5773502691896258,0.5773502691896258,0.5773502691896258,0.03214285714285714
100,3,22,-2.5,2465922873883995.5,0.5773502691896258,-0.5773502691896258,-0.5773502691896258,0.03214285714285714
101,3,23,-2.5,2465922873883995.5,0.5773502691896258,-0.5773502691896258,0.5773502691896258,0.03214285714285714
102,3,24,-2.5,2465922873883995.5,0.5773502691896258,0.5773502691896258,-0.5773502691896258,0.03214285714285714
103,3,25,-2.5,2465922873883995.5,0.5773502691896258,0.5773502691896258,0.5773502691896258,0.03214285714285714
104,4,0,-2.0,2465951810944752.0,-1.0,0.0,0.0,0.047619047619047616
105,4,1,-2.0,2465951810944752.0,1.0,0.0,0.0,0.047619047619047616
106,4,2,-2.0,2465951810944752.0,0.0,-1.0,0.0,0.047619047619047616
107,4,3,-2.0,2465951810944752.0,0.0,1.0,0.0,0.047619047619047616
108,4,4,-2.0,2465951810944752.0,0.0,0.0,-1.0,0.047619047619047616
109,4,5,-2.0,2465951810944752.0,0.0,0.0,1.0,0.047619047619047616
110,4,6,-2.0,2465951810944752.0,0.0,-0.7071067811865475,-0.7071067811865475,0.0380952380952381
111,4,7,-2.0,2465951810944752.0,0.0,-0.7071067811865475,0.7071067811865475,0.0380952380952381
112,4,8,-2.0,2465951810944752.0,0.0,0.7071067811865475,-0.7071067811865475,0.0380952380952381
113,4,9,-2.0,2465951810944752.0,0.0,0.7071067811865475,0.7071067811865475,0.0380952380952381
114,4,10,-2.0,2465951810944752.0,-0.7071067811865475,0.0,-0.7071067811865475,0.0380952380952381
115,4,11,-2.0,2465951810944752.0,-0.7071067811865475,0.0,0.7071067811865475,0.0380952380952381
116,4,12,-2.0,2465951810944752.0,0.7071067811865475,0.0,-0.7071067811865475,0.0380952380952381
117,4,13,-2.0,2465951810944752.0,0.7071067811865475,0.0,0.7071067811865475,0.0380952380952381
118,4,14,-2.0,2465951810944752.0,-0.7071067811865475,-0.7071067811865475,0.0,0.0380952380952381
119,4,15,-2.0,2465951810944752.0,-0.7071067811865475,0.7071067811865475,0.0,0.0380952380952381
120,4,16,-2.0,2465951810944752.0,0.7071067811865475,-0.7071067811865475,0.0,0.0380952380952381
121,4,17,-2.0,2465951810944752.0,0.7071067811865475,0.7071067811865475,0.0,0.0380952380952381
122,4,18,-2.0,2465951810944752.0,-0.5773502691896258,-0.5773502691896258,-0.5773502691896258,0.03214285714285714
123,4,19,-2.0,2465951810944752.0,-0.5773502691896258,-0.5773502691896258,0.5773502691896258,0.03214285714285714
124,4,20,-2.0,2465951810944752.0,-0.5773502691896258,0.5773502691896258,-0.5773502691896258,0.03214285714285714
125,4,21,-2.0,2465951810944752.0,-0.5773502691896258,0.5773502691896258,0.5773502691896258,0.03214285714285714
126,4,22,-2.0,2465951810944752.0,0.5773502691896258,-0.5773502691896258,-0.5773502691896258,0.03214285714285714
127,4,23,-2.0,2465951810944752.0,0.5773502691896258,-0.5773502691896258,0.5773502691896258,0.03214285714285714
128,4,24,-2.0,2465951810944752.0,0.5773502691896258,0.5773502691896258,-0.5773502691896258,0.03214285714285714
129,4,25,-2.0,2465951810944752.0,0.5773502691896258,0.5773502691896258,0.5773502691896258,0.03214285714285714
130,5,0,-1.5,2465980748005508.0,-1.0,0.0,0.0,0.047619047619047616
131,5,1,-1.5,2465980748005508.0,1.0,0.0,0.0,0.047619047619047616
132,5,2,-1.5,2465980748005508.0,0.0,-1.0,0.0,0.047619047619047616
133,5,3,-1.5,2465980748005508.0,0.0,1.0,0.0,0.047619047619047616
134,5,4,-1.5,2465980748005508.0,0.0,0.0,-1.0,0.047619047619047616
135,5,5,-1.5,2465980748005508.0,0.0,0.0,1.0,0.047619047619047616
136,5,6,-1.5,2465980748005508.0,0.0,-0.7071067811865475,-0.7071067811865475,0.0380952380952381
137,5,7,-1.5,2465980748005508.0,0.0,-0.7071067811865475,0.7071067811865475,0.0380952380952381
138,5,8,-1.5,2465980748005508.0,0.0,0.7071067811865475,-0.7071067811865475,0.0380952380952381
139,5,9,-1.5,2465980748005508.0,0.0,0.7071067811865475,0.7071067811865475,0.0380952380952381
140,5,10,-1.5,2465980748005508.0,-0.7071067811865475,0.0,-0.7071067811865475,0.0380952380952381
141,5,11,-1.5,2465980748005508.0,-0.7071067811865475,0.0,0.7071067811865475,0.0380952380952381
142,5,12,-1.5,2465980748005508.0,0.7071067811865475,0.0,-0.7071067811865475,0.0380952380952381
