physics_orbit_id,frequency_pair_id,frequency_i,frequency_j,x_i,x_j,mu_id,mu_label,mu,edge_multiplicity,Q_SI_kg_m_per_s,DeltaE_SI_J,p_parallel_over_sigma_p,required_parallel_speed_over_c,log_dynamic_structure_factor,same_ray_frequency_change,log_dynamic_structure_factor_relative,recommended_active
47,3,0,3,-4.0,-2.5,9,1/sqrt(3),0.5773502691896258,48,5.0108622899124586e-27,5.752169835155171e-23,2.307158553373966,3.8286166833875984e-05,48.465598292045186,False,-3.0786631170561023,True
48,3,0,3,-4.0,-2.5,10,1/sqrt(2),0.7071067811865475,48,4.171351887745103e-27,5.752169835155171e-23,2.771599482001589,4.599333669955935e-05,47.4695745799995,False,-4.074686829101786,True
49,3,0,3,-4.0,-2.5,11,sqrt(2/3),0.816496580927726,48,3.3017504812513345e-27,5.752169835155171e-23,3.501690110417179,5.810883329709113e-05,45.41332700989544,False,-6.130934399205849,True
50,3,0,3,-4.0,-2.5,12,1,1.0,26,1.9187173756528864e-31,5.752169835155171e-23,60260.89016087819,0.9999999743768334,-1815687380.193333,True,-1815687431.7375944,False
51,4,0,4,-4.0,-2.0,0,-1,-1.0,26,1.0900331727391522e-26,7.669559780228981e-23,1.4136585071625587,2.3458970937304685e-05,49.3506881913762,False,-2.1935732177250884,True
52,4,0,4,-4.0,-2.0,1,-sqrt(2/3),-0.816496580927726,48,1.0388240834529843e-26,7.669559780228981e-23,1.4834081752241983,2.4616432536166266e-05,49.29777221668063,False,-2.246489192420661,True
53,4,0,4,-4.0,-2.0,2,-1/sqrt(2),-0.7071067811865475,48,1.0070593380996302e-26,7.669559780228981e-23,1.530236707773512,2.539352911114882e-05,49.25826477976692,False,-2.2859966293343703,True
54,4,0,4,-4.0,-2.0,3,-1/sqrt(3),-0.5773502691896258,48,9.680299389481364e-27,7.669559780228981e-23,1.591981196594969,2.6418148679073038e-05,49.20140170665878,False,-2.34285970244251,True
55,4,0,4,-4.0,-2.0,4,-1/2,-0.5,48,9.439964186465211e-27,7.669559780228981e-23,1.6325412121334018,2.7091222282713376e-05,49.161149010289826,False,-2.3831123988114626,True
56,4,0,4,-4.0,-2.0,5,-1/3,-0.3333333333333333,24,8.900083587618808e-27,7.669559780228981e-23,1.7316382544567535,2.8735689191841544e-05,49.0533504105801,False,-2.490910998521187,True
