virtual_index,energy_eV,frequency_Hz,tau,A_photons_per_H_per_dlnnu_per_occupation,Dfplus,Dfbar,Dfeq,Dfminus,transport_flux_sInv_per_H,collision_flux_sInv_per_H,direct_flux_sInv_per_H,schur_flux_sInv_per_H
25,8.6336334,2087603268130503.5,0.00010924345233921544,33920126058698.94,4.664313983933149e-14,4.681767108011109e-14,3.242030899767184e-12,4.699219596339319e-14,5.884080828652419e-16,5.884080828652447e-16,5.884080828654334e-16,5.884080828654334e-16
26,8.6930851,2101978625232869.2,0.00012990936533029604,34625690249206.934,4.3894860857133666e-14,4.405937001318947e-14,2.576680392189688e-12,4.4223872046746783e-14,5.661545716213469e-16,5.661545716213419e-16,5.661545716212165e-16,5.661545716212165e-16
27,8.7515034,2116104107326958.5,0.00015386148897201455,35328454897046.734,4.131562694150869e-14,4.147061558923143e-14,2.056070566029888e-12,4.1625596289566433e-14,5.442134915122753e-16,5.442134915122792e-16,5.44213491512087e-16,5.44213491512098e-16
28,8.8088609,2129973089122247.0,0.00018147285438516961,36027647315747.484,3.890085232035969e-14,3.9046791740502336e-14,1.6473865843005926e-12,3.919272233333682e-14,5.22578202242855e-16,5.22578202242857e-16,5.22578202242776e-16,5.225782022427872e-16
29,8.865185,2143592195909258.5,0.000213166235222544,36723160869724.38,3.6642403375818484e-14,3.677973395308188e-14,1.3252173548662102e-12,3.6917054772787627e-14,5.012423735783246e-16,5.012423735783241e-16,5.012423735782786e-16,5.012423735782901e-16
30,8.9205573,2156981158480208.2,0.0002494411092701132,37415590855740.42,3.452973530559213e-14,3.4658866566560057e-14,1.0699805354703912e-12,3.4787987091134884e-14,4.801996632536776e-16,4.801996632536765e-16,4.801996632536658e-16,4.801996632536658e-16
31,8.9749504,2170133351544573.2,0.0002907448654157994,38104197336973.945,3.2555817316804695e-14,3.267713648601245e-14,8.671771067986882e-13,3.2798443898362743e-14,4.594487850427228e-16,4.594487850427203e-16,4.59448785042651e-16,4.59448785042663e-16
32,9.0283917,2183055400392876.5,0.00033758893324348287,38788932242716.375,3.0711740616601185e-14,3.082561185364812e-14,7.054024078459583e-13,3.0939470277551034e-14,4.3898869345482984e-16,4.389886934548318e-16,4.389886934548177e-16,4.389886934548177e-16
33,9.0809082,2195753833596071.5,0.0003905143512882881,39469761520536.29,2.898886685562722e-14,2.909563375049089e-14,5.75861435894977e-13,2.920238674815829e-14,4.1882129466871104e-16,4.1882129466871666e-16,4.1882129466874817e-16,4.1882129466874817e-16
34,9.1325545,2208241853375420.5,0.00045013635658695144,40147033843975.71,2.7378197294556013e-14,2.7478183404452652e-14,4.716929539661727e-13,2.7578154512918773e-14,3.989481551442409e-16,3.9894815514424316e-16,3.9894815514427866e-16,3.9894815514428497e-16
35,9.1833033,2220512858620292.8,0.0005169784608597139,40820040446189.22,2.587338963711613e-14,2.5966904378039306e-14,3.877099600423739e-13,2.6060403005260167e-14,3.7937786933571843e-16,3.7937786933571833e-16,3.79377869335744e-16,3.79377869335744e-16
36,9.2331818,2232573426261426.0,0.0005916620253626971,41488793607384.83,2.4466984436964055e-14,2.455432207576146e-14,3.197533495267448e-13,2.4641642491430803e-14,3.6011841947528065e-16,3.6011841947527888e-16,3.6011841947530013e-16,3.6011841947530013e-16
37,9.2822173,2244430157409451.2,0.0006748475523883836,42153325285441.11,2.3152003104342083e-14,2.323344443456851e-14,2.645684566864111e-13,2.331486744666586e-14,3.4118015338833797e-16,3.411801533883366e-16,3.411801533883512e-16,3.411801533883512e-16
38,9.3304368,2256089580635322.5,0.000767243370379578,42813681389905.39,2.1921951555337524e-14,2.1997765413935344e-14,2.195991214979021e-13,2.2073559885770963e-14,3.225756257263181e-16,3.2257562572631667e-16,3.225756257263248e-16,3.225756257263248e-16
39,9.3778676,2267558297049671.0,0.0008696244653044277,43469929620190.74,2.0770785472393847e-14,2.0841230290765902e-14,1.8282979564979347e-13,2.0911654691929623e-14,3.0432032279985937e-16,3.0432032279985986e-16,3.0432032279984576e-16,3.0432032279984576e-16
40,9.4071039,2274627602937507.5,0.00023474494159569933,43877762044488.7,2.013931612525738e-14,2.01561181900486e-14,1.6330218446031165e-13,2.0172918940223647e-14,7.327334863388218e-17,7.327334863387958e-17,7.327334863386154e-17,7.327334863386154e-17
41,9.4187169,2277435613844340.5,0.00024199062330779403,44040463047990.516,1.9873463152192104e-14,1.9889949115963264e-14,1.5613736781040595e-13,1.990643374996605e-14,7.216134314477721e-17,7.216134314477443e-17,7.216134314477721e-17,7.216134314477721e-17
42,9.4302754,2280230446709804.5,0.0002494105193911899,44202799375001.4,1.9612076177021892e-14,1.9628249887737773e-14,1.4931835660785565e-13,1.9644422253898856e-14,7.10554344242067e-17,7.105543442420523e-17,7.105543442419977e-17,7.105543442419977e-17
43,9.4417796,2283012149893684.0,0.00025700794094654053,44364768700599.24,1.9355075771959903e-14,1.9370941061744842e-14,1.42827128221775e-13,1.9386804992419013e-14,6.995576888418049e-17,6.995576888418173e-17,6.995576888418049e-17,6.995576888418049e-17
44,9.4532565,2285787251966932.5,0.00026481282738547904,44526747439218.03,1.9101868312272505e-14,1.911742874999815e-14,1.3663251386771084e-13,1.913298781422297e-14,6.886198229773158e-17,6.886198229773282e-17,6.886198229773855e-17,6.886198229773855e-17
45,9.4646791,2288549224358596.5,0.00027280312367148414,44688350810551.11,1.8852911993876656e-14,1.8868171362354514e-14,1.3073400721232468e-13,1.888342934332865e-14,6.777461338331596e-17,6.777461338331246e-17,6.777461338330195e-17,6.777461338330195e-17
