physics_orbit_id,frequency_i,frequency_j,x_i,x_j,width_i,width_j,mu_id,mu_label,mu,edge_multiplicity,Q_SI,DeltaE_SI,p_parallel_over_sigma,required_speed_over_c,active,background_lane,max_fractional_detuning
2353,6,28,-4.0,9.25,0.5,2.0,7,1/3,0.3333333333333333,24,6.2941404381689695e-27,5.081083354404185e-22,16.22649143000261,0.0002692706823763927,True,series_v0_8,0.00021708611365793592
2354,6,28,-4.0,9.25,0.5,2.0,8,1/2,0.5,48,5.450885580315267e-27,5.081083354404185e-22,18.736847281793562,0.0003109288089119583,True,series_v0_8,0.00021708611365793592
2355,6,28,-4.0,9.25,0.5,2.0,9,1/sqrt(3),0.5773502691896258,48,5.011553441224762e-27,5.081083354404185e-22,20.379446794207148,0.0003381869437642604,True,series_v0_8,0.00021708611365793592
2356,6,28,-4.0,9.25,0.5,2.0,10,1/sqrt(2),0.7071067811865475,48,4.1719273492118944e-27,5.081083354404185e-22,24.48104706283849,0.0004062509924795272,True,series_v0_8,0.00021708611365793592
2357,6,28,-4.0,9.25,0.5,2.0,11,sqrt(2/3),0.816496580927726,48,3.302206136672388e-27,5.081083354404185e-22,30.928880855780353,0.000513249638044075,True,series_v0_8,0.00021708611365793592
2358,6,28,-4.0,9.25,0.5,2.0,12,1,1.0,26,1.6948669732435254e-30,5.081083354404185e-22,60260.891651330356,0.9999999991101576,False,series_v0_8,0.00021708611365793592
2359,7,7,-3.5,-3.5,0.5,0.5,0,-1,-1.0,13,1.0900203812903089e-26,0.0,-0.0006546139176471116,1.0862997528350655e-08,True,series_v0_8,8.213320437901116e-05
2360,7,7,-3.5,-3.5,0.5,0.5,1,-sqrt(2/3),-0.816496580927726,24,1.038811892909652e-26,0.0,-0.000623860557644827,1.0352660572952485e-08,True,series_v0_8,8.213320437901116e-05
2361,7,7,-3.5,-3.5,0.5,0.5,2,-1/sqrt(2),-0.7071067811865475,24,1.0070475202942651e-26,0.0,-0.0006047844002111954,1.0036101078163867e-08,True,series_v0_8,8.213320437901116e-05
2362,7,7,-3.5,-3.5,0.5,0.5,3,-1/sqrt(3),-0.5773502691896258,24,9.680185791256817e-27,0.0,-0.00058134549161965,9.647143863486292e-09,True,series_v0_8,8.213320437901116e-05
