native_bin,level,piece_type,fine_cell,fraction,piece_energy_eV,Tvr_magnitude,Trv_magnitude,exponential_tilt_lambda
140,2p,fine,19,0.08887687796870665,10.198953899386114,0.3072067249055041,0.9224738319784591,1.82754319245614
140,2p,fine,20,0.08887687797002589,10.1990735721023,0.36138621182663394,1.085665298740957,1.82754319245614
140,2p,fine,21,0.08887687796870665,10.199193244818485,0.4251208828009377,1.277726370106912,1.82754319245614
140,2p,fine,22,0.08887687796870665,10.19931291753467,0.5000959059357551,1.5037642621387295,1.82754319245614
140,2p,fine,23,0.08887687797002589,10.199432590250854,0.5882936483610077,1.769789689736146,1.82754319245614
140,2p,fine,24,0.08887687796870665,10.19955226296704,0.692046090729096,2.0828767012698135,1.82754319245614
140,2p,fine,25,0.08887687797002589,10.199671935683227,0.814096485729431,2.451350789295316,1.82754319245614
140,2p,fine,26,0.08887687796870665,10.199791608399412,0.9576718905492292,2.8850102784876426,1.82754319245614
140,2p,fine,27,0.08887687797002589,10.199911281115597,1.1265684916372138,3.3953868795820585,1.82754319245614
140,2p,fine,28,0.06675271170369174,10.200016058736846,0.9754358140097052,2.9410769068654967,1.82754319245614
141,2s,fine,28,0.08523685018364802,10.200105813273984,5.674667303832199e-05,5.705288558834007e-05,-0.5779994893223146
141,2s,fine,29,0.22762285532197196,10.200270299264155,0.00013843998585109384,0.00013927561356433962,-0.5779994893223146
141,2s,fine,30,0.2845285691520426,10.200539562875571,0.00014924195335904616,0.00015029924578785576,-0.5779994893223146
141,2s,fine,31,0.40261172534233736,10.200900826885402,0.00017314414173640052,0.00017461460854432715,-0.5779994893223146
141,2p,fine,28,0.08523685018364802,10.200105813273984,0.18200235162171216,0.548953381119104,-0.5779994893221551
141,2p,fine,29,0.22762285532197196,10.200270299264155,0.4440155102372383,1.3400868016605494,-0.5779994893221551
141,2p,fine,30,0.2845285691520426,10.200539562875571,0.47866042214708976,1.4461543584355034,-0.5779994893221551
141,2p,fine,31,0.40261172534233736,10.200900826885402,0.5553213832337048,1.6801127368884345,-0.5779994893221551
142,2s,fine,31,0.04479533431379006,10.201140172317773,3.5311217813905544e-05,3.564409156788927e-05,-0.5781836539238709
142,2s,fine,32,0.4843088473713218,10.201467026426009,0.0003276217797138093,0.0003311286131506524,-0.5781836539238709
142,2s,fine,33,0.47089581831488814,10.202057104108237,0.000241684227698888,0.0002448293841080611,-0.5781836539238709
142,2p,fine,31,0.04479533431379006,10.201140172317773,0.041744473183433876,0.12641397692188885,-0.5781836539233837
142,2p,fine,32,0.4843088473713218,10.201467026426009,0.3873103065901058,1.1743681216080946,-0.5781836539233837
142,2p,fine,33,0.47089581831488814,10.202057104108237,0.28571602416005526,0.868302564353463,-0.5781836539233837
143,2s,fine,33,0.18022340124687256,10.202475958614887,0.00016969604530634965,0.0001721831290761466,-0.7816275180386761
143,2s,fine,34,0.8197765987531275,10.203185958614885,0.0005221890944228953,0.0005312995136530985,-0.7816275180386761
143,2p,fine,33,0.18022340124687256,10.202475958614887,0.09504035643338514,0.2892998348253237,-0.7816275180379026
143,2p,fine,34,0.8197765987531275,10.203185958614885,0.2924584221747964,0.8926824734071416,-0.7816275180379026
144,2s,fine,34,0.02035186510423531,10.203784322195814,6.062542272824418e-05,6.182606498485268e-05,-2.803349285607952
144,2s,residual_blue,-1,0.9796481348957647,10.204586322195814,0.0007184244723127862,0.0007349287600561778,-2.803349285607952
144,2p,fine,34,0.02035186510423531,10.203784322195814,0.01852482292016009,0.05667508055961773,-2.803349285607081
144,2p,residual_blue,-1,0.9796481348957647,10.204586322195814,0.21952318898898757,0.6736988144399403,-2.803349285607081
