physics_orbit_id,frequency_i,frequency_j,x_i,x_j,mu,q_dimensionless,delta_dimensionless,log_S_MJ_over_S_MB,S_MJ_over_S_MB,delta_even_residual,full_mean_amp2,amplitude_quad_change
1550,9,12,0.5,2.0,-1.0,2.1728417136243607e-08,3.8243361194012977e-13,-6.470166624694684e-10,0.9999999993529833,0.0,50283170.47432932,5.037863322972753e-15
1551,9,12,0.5,2.0,-0.816496580927726,2.0707629437961234e-08,3.8243361194012977e-13,-6.747526981598639e-10,0.9999999993252473,0.0,55573114.5779597,4.692382690311828e-15
1552,9,12,0.5,2.0,-0.7071067811865475,2.0074439866576455e-08,3.8243361194012977e-13,-6.957066034374293e-10,0.9999999993042934,0.0,69859856.32610974,2.559609248141857e-15
1553,9,12,0.5,2.0,-0.5773502691896258,1.9296438713238773e-08,3.8243361194012977e-13,-7.26430471331696e-10,0.9999999992735695,0.0,283297372.5015972,3.997524723693076e-15
1554,9,12,0.5,2.0,-0.5,1.8817361224983632e-08,3.8243361194012977e-13,-7.48656248106272e-10,0.9999999992513438,0.0,695299312.2820979,3.0861057590741277e-15
1555,9,12,0.5,2.0,-0.3333333333333333,1.7741178302088292e-08,3.8243361194012977e-13,-8.103668847070367e-10,0.9999999991896331,0.0,2656132138.927532,1.472089675043198e-14
1556,9,12,0.5,2.0,0.0,1.536431110386763e-08,3.8243361194012977e-13,-1.0390586169251037e-09,0.9999999989609414,0.0,10123685298.447678,1.2811511145169398e-14
1557,9,12,0.5,2.0,0.3333333333333333,1.2544907486560907e-08,3.8243361194012977e-13,-1.6924666113027342e-09,0.9999999983075334,0.0,19075771740.407837,6.399233234764539e-15
1558,9,12,0.5,2.0,0.5,1.0864208573170105e-08,3.8243361194012977e-13,-2.6072335401750024e-09,0.9999999973927665,0.0,23316798072.718933,1.0470589668383707e-14
1559,9,12,0.5,2.0,0.5773502691896258,9.988571688638992e-09,3.8243361194012977e-13,-3.4425973183260794e-09,0.9999999965574027,0.0,25177642876.259148,5.151384014329167e-15
1560,9,12,0.5,2.0,0.7071067811865475,8.315105257064771e-09,3.8243361194012977e-13,-6.609674585433822e-09,0.9999999933903254,0.0,28127416981.018917,9.222297740227951e-15
1561,9,12,0.5,2.0,0.816496580927726,6.581655905085101e-09,3.8243361194012977e-13,-1.6039695793779174e-08,0.9999999839603043,0.0,30442655218.75692,2.4685604981824947e-14
1563,9,13,0.5,2.5,-1.0,2.1728544614114255e-08,5.099114825883081e-13,-9.293437130963866e-10,0.9999999990706563,0.0,34923166.55780637,5.120209647375221e-15
1564,9,13,0.5,2.5,-0.816496580927726,2.070775092725178e-08,5.099114825883081e-13,-1.0169998176934314e-09,0.9999999989830002,3.552713678800501e-15,37316800.63184567,5.191096027527762e-15
1565,9,13,0.5,2.5,-0.7071067811865475,2.0074557641186918e-08,5.099114825883081e-13,-1.0832224006662727e-09,0.9999999989167776,0.0,39168038.67990306,4.7555231561458605e-15
1566,9,13,0.5,2.5,-0.5773502691896258,1.9296551923622986e-08,5.099114825883081e-13,-1.180325170935248e-09,0.9999999988196748,0.0,50090125.82900358,7.437174965739189e-16
1567,9,13,0.5,2.5,-0.5,1.8817471624813672e-08,5.099114825883081e-13,-1.2505729785061703e-09,0.999999998749427,-3.552713678800501e-15,83572263.73700103,7.667016575641251e-15
1568,9,13,0.5,2.5,-0.3333333333333333,1.7741282388402452e-08,5.099114825883081e-13,-1.4456027486176026e-09,0.9999999985543973,0.0,376213763.1702551,1.2199334785176583e-14
1569,9,13,0.5,2.5,0.0,1.536440124618534e-08,5.099114825883081e-13,-2.1683703721464553e-09,0.9999999978316296,0.0,2595962938.997409,5.143155254305742e-15
1570,9,13,0.5,2.5,0.3333333333333333,1.2544981088966388e-08,5.099114825883081e-13,-4.233410066944998e-09,0.9999999957665899,0.0,6835532423.932425,3.3484127020763397e-15
1571,9,13,0.5,2.5,0.5,1.0864272316031834e-08,5.099114825883081e-13,-7.1244699029193725e-09,0.9999999928755301,0.0,9356187066.194649,1.3047014947045996e-14
1572,9,13,0.5,2.5,0.5773502691896258,9.988630294814471e-09,5.099114825883081e-13,-9.764544728341207e-09,0.9999999902354553,0.0,10562895168.911331,3.0697007060379998e-15
1573,9,13,0.5,2.5,0.7071067811865475,8.315154046572272e-09,5.099114825883081e-13,-1.9773857218297053e-08,0.999999980226143,-3.552713678800501e-15,12602685798.544785,8.323953836633827e-15
1574,9,13,0.5,2.5,0.816496580927726,6.581694526675197e-09,5.099114825883081e-13,-4.9576684091334755e-08,0.9999999504233171,3.552713678800501e-15,14315186641.191936,1.7187898404678128e-14
1576,9,14,0.5,3.0,-1.0,2.17286720919849e-08,6.373893532342839e-13,-1.5246328644025198e-09,0.9999999984753671,-3.552713678800501e-15,25660100.22259365,4.936062955677055e-15
1577,9,14,0.5,3.0,-0.816496580927726,2.070787241661433e-08,6.373893532342839e-13,-1.7386412309861043e-09,0.9999999982613588,-3.552713678800501e-15,26911159.50515858,5.260309624132583e-15
1578,9,14,0.5,3.0,-0.7071067811865475,2.007467541591593e-08,6.373893532342839e-13,-1.900307466939921e-09,0.9999999980996925,0.0,27770642.66936724,5.0975064937083145e-15
1579,9,14,0.5,3.0,-0.5773502691896258,1.929666513418516e-08,6.373893532342839e-13,-2.137369392585242e-09,0.9999999978626306,0.0,29127302.30573546,4.4763898516098704e-15
1580,9,14,0.5,3.0,-0.5,1.8817582024859596e-08,6.373893532342839e-13,-2.308862434574621e-09,0.9999999976911376,0.0,31314668.34091053,4.282671918623597e-15
1581,9,14,0.5,3.0,-0.3333333333333333,1.774138647502192e-08,6.373893532342839e-13,-2.785004227234822e-09,0.9999999972149958,0.0,60567826.05766083,3.4443411674585048e-15
1582,9,14,0.5,3.0,0.0,1.5364491389031865e-08,6.373893532342839e-13,-4.549523424657309e-09,0.9999999954504766,3.552713678800501e-15,537494503.7504356,1.7742959411712445e-15
1583,9,14,0.5,3.0,0.3333333333333333,1.2545054692235423e-08,6.373893532342839e-13,-9.591015981413875e-09,0.999999990408984,-3.552713678800501e-15,2045628031.9430175,2.9137577235278595e-14
1584,9,14,0.5,3.0,0.5,1.0864336060015345e-08,6.373893532342839e-13,-1.664910342924486e-08,0.9999999833508967,-3.552713678800501e-15,3191412609.396226,5.827090209260069e-15
1585,9,14,0.5,3.0,0.5773502691896258,9.988688902272992e-09,6.373893532342839e-13,-2.3094450796179444e-08,0.9999999769055494,-3.552713678800501e-15,3794859099.55545,2.5130691058278514e-16
1586,9,14,0.5,3.0,0.7071067811865475,8.315202837747825e-09,6.373893532342839e-13,-4.753065852014515e-08,0.9999999524693426,0.0,4889649040.68963,1.7553547864543066e-15
1587,9,14,0.5,3.0,0.816496580927726,6.581733150507705e-09,6.373893532342839e-13,-1.2028977280920117e-07,0.9999998797102344,0.0,5877999666.788783,4.867341121816971e-15
1589,9,15,0.5,3.5,-1.0,2.1728799569855548e-08,7.648672238824622e-13,-2.6070914316278504e-09,0.9999999973929086,0.0,19647319.35652203,5.119417882576571e-15
1590,9,15,0.5,3.5,-0.816496580927726,2.0707993906048876e-08,7.648672238824622e-13,-3.0508466863921058e-09,0.9999999969491533,0.0,20366378.427625384,5.121584513791016e-15
1591,9,15,0.5,3.5,-0.7071067811865475,2.0074793190763476e-08,7.648672238824622e-13,-3.3860736436963634e-09,0.9999999966139264,-3.552713678800501e-15,20841712.7424288,5.1835192237087605e-15
1592,9,15,0.5,3.5,-0.5773502691896258,1.929677834492529e-08,7.648672238824622e-13,-3.877634213722558e-09,0.9999999961223658,0.0,21465458.810127027,5.0328958542655154e-15
1593,9,15,0.5,3.5,-0.5,1.8817692425121407e-08,7.648672238824622e-13,-4.233235983974737e-09,0.999999995766764,0.0,21908045.28642146,4.7611791464382015e-15
1594,9,15,0.5,3.5,-0.3333333333333333,1.7741490561946698e-08,7.648672238824622e-13,-5.220535115313396e-09,0.9999999947794649,0.0,24606690.59771691,1.6653272865097572e-15
1595,9,15,0.5,3.5,0.0,1.53645815324072e-08,7.648672238824622e-13,-8.87936124627231e-09,0.9999999911206388,0.0,102380590.47359955,1.1643739208704921e-14
1596,9,15,0.5,3.5,0.3333333333333333,1.254512829636799e-08,7.648672238824622e-13,-1.933315019186921e-08,0.99999998066685,0.0,520243433.6763493,8.592801117284957e-15
1597,9,15,0.5,3.5,0.5,1.0864399805120626e-08,7.648672238824622e-13,-3.3968454715704866e-08,0.9999999660315458,-3.552713678800501e-15,932964922.1497042,2.1721694720244782e-14
1598,9,15,0.5,3.5,0.5773502691896258,9.988747511014535e-09,7.648672238824622e-13,-4.7333212904732136e-08,0.9999999526667882,-3.552713678800501e-15,1174513114.2958248,2.334425751654389e-14
1599,9,15,0.5,3.5,0.7071067811865475,8.315251630591403e-09,7.648672238824622e-13,-9.80029497554824e-08,0.999999901997055,0.0,1648962055.6251235,3.2387501905557083e-14
1600,9,15,0.5,3.5,0.816496580927726,6.581771776582592e-09,7.648672238824622e-13,-2.4887270910767256e-07,0.9999997511273219,3.552713678800501e-15,2113197676.4351745,1.6020951854127426e-14
1602,9,16,0.5,4.0,-1.0,2.1728927047726196e-08,8.923450945284379e-13,-4.389626440115535e-09,0.9999999956103736,-3.552713678800501e-15,15524613.686272178,5.039165408468551e-15
1603,9,16,0.5,4.0,-0.816496580927726,2.0708115395555423e-08,8.923450945284379e-13,-5.211720832676292e-09,0.9999999947882792,0.0,15967749.329006152,5.015969362159086e-15
1604,9,16,0.5,4.0,-0.7071067811865475,2.0074910965729567e-08,8.923450945284379e-13,-5.832752947299014e-09,0.999999994167247,0.0,16253739.551566549,5.2715054644988426e-15
1605,9,16,0.5,4.0,-0.5773502691896258,1.9296891555843368e-08,8.923450945284379e-13,-6.7434129391585884e-09,0.9999999932565871,0.0,16618276.945028964,5.0437859468015364e-15
1606,9,16,0.5,4.0,-0.5,1.8817802825599093e-08,8.923450945284379e-13,-7.402192636618565e-09,0.9999999925978074,0.0,16851353.672370646,5.084557509768908e-15
1607,9,16,0.5,4.0,-0.3333333333333333,1.774159464917677e-08,8.923450945284379e-13,-9.231243325302785e-09,0.9999999907687567,3.552713678800501e-15,17471999.610516813,4.690727357664924e-15
1608,9,16,0.5,4.0,0.0,1.5364671676311323e-08,8.923450945284379e-13,-1.6009515491077764e-08,0.9999999839904846,0.0,27974335.612294607,6.658407102302483e-16
1609,9,16,0.5,4.0,0.3333333333333333,1.2545201901364078e-08,8.923450945284379e-13,-3.53759936899678e-08,0.999999964624007,-3.552713678800501e-15,120577798.2101453,1.8784357776357792e-14
1610,9,16,0.5,4.0,0.5,1.086446355134765e-08,8.923450945284379e-13,-6.248905748407196e-08,0.9999999375109445,0.0,240797532.1446686,8.663554599410626e-15
1611,9,16,0.5,4.0,0.5773502691896258,9.988806121039078e-09,8.923450945284379e-13,-8.724833833184675e-08,0.9999999127516654,3.552713678800501e-15,319749896.07259387,1.2116663548565454e-14
1612,9,16,0.5,4.0,0.7071067811865475,8.315300425102975e-09,8.923450945284379e-13,-1.8111808941512209e-07,0.999999818881927,0.0,489231992.0942133,4.5078242885325376e-14
1613,9,16,0.5,4.0,0.816496580927726,6.581810404899813e-09,8.923450945284379e-13,-4.6061638059313736e-07,0.9999995393837255,0.0,670524537.4803888,1.831186800392012e-14
1615,10,10,1.0,1.0,-1.0,2.1728289658372962e-08,0.0,-5.163336425084708e-10,0.9999999994836664,0.0,78552068.76100282,5.121842856335111e-15
1616,10,10,1.0,1.0,-0.816496580927726,2.0707507948598677e-08,0.0,-5.163336425084708e-10,0.9999999994836664,0.0,103175847.0429156,2.3107983693353467e-15
1617,10,10,1.0,1.0,-0.7071067811865475,2.0074322091847437e-08,0.0,-5.163336425084708e-10,0.9999999994836664,0.0,564483363.7646723,1.0559149941616212e-15
1618,10,10,1.0,1.0,-0.5773502691896258,1.9296325502676577e-08,0.0,-5.163336425084708e-10,0.9999999994836664,0.0,3215101197.4638004,1.3496365660500471e-14
1619,10,10,1.0,1.0,-0.5,1.8817250824937685e-08,0.0,-5.16330089794792e-10,0.9999999994836699,0.0,6039718710.667252,2.8422081420768736e-15
1620,10,10,1.0,1.0,-0.3333333333333333,1.774107421546879e-08,0.0,-5.163336425084708e-10,0.9999999994836664,0.0,14049823806.68254,1.4254385620840098e-14
1621,10,10,1.0,1.0,0.0,1.536422096102105e-08,0.0,-5.163336425084708e-10,0.9999999994836664,0.0,31025124437.600147,6.147754980479418e-16
1622,10,10,1.0,1.0,0.3333333333333333,1.2544833883291791e-08,0.0,-5.163336425084708e-10,0.9999999994836664,0.0,44246561027.13441,8.449025717546516e-15
1623,10,10,1.0,1.0,0.5,1.0864144829186481e-08,0.0,-5.163336425084708e-10,0.9999999994836664,0.0,49269232572.86335,1.749817354585896e-14
1624,10,10,1.0,1.0,0.5773502691896258,9.98851308118034e-09,0.0,-5.163336425084708e-10,0.9999999994836664,0.0,51288210099.91023,1.3387979546856946e-14
1625,10,10,1.0,1.0,0.7071067811865475,8.315056465889049e-09,0.0,-5.163336425084708e-10,0.9999999994836664,0.0,54282697722.44475,4.638126513508713e-15
1626,10,10,1.0,1.0,0.816496580927726,6.581617281252368e-09,0.0,-5.163336425084708e-10,0.9999999994836664,0.0,56465986571.30376,6.350398970111727e-15
1627,10,11,1.0,1.5,-1.0,2.1728417136243607e-08,1.274778706481784e-13,-5.179465745186462e-10,0.9999999994820534,0.0,50282226.786512434,4.8897826411386685e-15
1628,10,11,1.0,1.5,-0.816496580927726,2.070762943767322e-08,1.274778706481784e-13,-5.182876350318111e-10,0.9999999994817124,3.552713678800501e-15,55571827.2101059,4.826562575946415e-15
1629,10,11,1.0,1.5,-0.7071067811865475,2.007443986610225e-08,1.274778706481784e-13,-5.185469831303635e-10,0.999999999481453,0.0,69855923.39313775,2.1331277964770927e-16
1630,10,11,1.0,1.5,-0.5773502691896258,1.9296438712526895e-08,1.274778706481784e-13,-5.189271234939952e-10,0.9999999994810729,0.0,283257161.9776744,1.2415128419683954e-14
1631,10,11,1.0,1.5,-0.5,1.8817361224120036e-08,1.274778706481784e-13,-5.192006824472628e-10,0.9999999994807993,3.552713678800501e-15,695199296.9560785,7.373424387981573e-15
1632,10,11,1.0,1.5,-0.3333333333333333,1.774117830086698e-08,1.274778706481784e-13,-5.199645158882049e-10,0.9999999994800355,-3.552713678800501e-15,2655789255.9635053,1.113187115363494e-14
1633,10,11,1.0,1.5,0.0,1.536431110175226e-08,1.274778706481784e-13,-5.227889232628513e-10,0.9999999994772111,-3.552713678800501e-15,10122504768.32649,1.1682445989494523e-14
1634,10,11,1.0,1.5,0.3333333333333333,1.2544907483106525e-08,1.274778706481784e-13,-5.308535833137284e-10,0.9999999994691464,0.0,19073262259.1021,6.000070486847983e-16
