b,source_line,energy_eV,normalized_A2s_s_inv,companion_eV,C_s_inv,D_s_inv,C_reference_80dps,D_reference_80dps,dC_dlogTheta_s_inv,dD_dlogTheta_s_inv,C_JVP,D_JVP,coefficient_relative_error,literal_exp_relative_error,temperature_derivative_relative_error,JVP_component_scaled_error
40,41,9.4071039,0.011753408516462267,0.7916106539537431,0.013497233215565478,0.0006338103436925206,0.0134972332155654793078373661596,0.000633810343692520770003821941397,0.002034017218936516,0.002034017218936516,-0.008040955391300415,0.00032026947541700706,3.080895405075898e-16,1.2852437594219413e-16,4.0405577159853844e-16,1.596497529983873e-16
41,42,9.4187169,0.011589105078940549,0.7799976539537425,0.013338712803238749,0.0006551104994319787,0.0133387128032387495986954783166,0.000655110499431978891756549228763,0.0020762260169233386,0.0020762260169233386,-0.007922721956012787,0.0003216195414616155,2.649394268344741e-16,0.0,2.3528068780498607e-16,1.361218962894873e-16
42,43,9.4302754,0.011425342379571194,0.768439153953743,0.013181319738063415,0.0006769461958262702,0.0131813197380634153927847645242,0.000676946195826270220340077173585,0.0021186345971205933,0.0021186345971205933,-0.007805149374777807,0.0003226934276763377,6.216736063681831e-17,0.0,1.5446082788364862e-16,1.4921193259190107e-16
43,44,9.4417796,0.011262124416418167,0.756934953953742,0.0130250653517198,0.0006993243889069513,0.0130250653517197994575723386443,0.000699324388906951431031946436073,0.0021612229798247417,0.0021612229798247417,-0.007688252205880963,0.0003234794199473885,1.557445255669404e-16,0.0,3.521863792944863e-16,8.864954888032231e-18
44,45,9.4532565,0.011099444192869522,0.7454580539537421,0.012870027373570389,0.0007223304654218581,0.0128700273735703901473003739827,0.000722330465421858184345346873374,0.0022041448592781607,0.0022041448592781607,-0.007572025643480615,0.00032397734681593,8.432198873205279e-17,0.0,2.108235420395706e-17,1.436897406294695e-16
45,46,9.4646791,0.010937295711829295,0.7340354539537426,0.012716130369265966,0.0007458955544949318,0.0127161303692659642915573570314,0.000745895554494931636585726948227,0.0022472056826886248,0.0022472056826886248,-0.007456490694254973,0.0003241619353461993,2.854941952613442e-16,0.0,1.758402960747468e-16,4.71904721729502e-17
46,47,9.4760472,0.010775675974749509,0.7226673539537423,0.012563375890959804,0.0007700244900160294,0.0125633758909598041240367025933,0.000770024490016029539865719000185,0.002290380067498999,0.002290380067498999,-0.0073416575048242325,0.0003240209057892205,1.908389505170553e-16,0.0,1.1251074187399634e-16,1.599232772062741e-16
47,48,9.487361,0.010614576985502217,0.7113535539537423,0.012411760577467429,0.0007947226620982184,0.0124117605774674286027667535287,0.000794722662098218225025414460858,0.002333643720006393,0.002333643720006393,-0.007227532636151527,0.0003235420088384596,1.6810918037016643e-16,0.0,1.3449168431008272e-16,1.2042457801997844e-17
48,49,9.4986476,0.010453988748927485,0.7000669539537423,0.012261369765134212,0.0008200863462088076,0.0122613697651342135281457858468,0.00082008634620880770847777505376,0.0023771625049625873,0.0023771625049625873,-0.007114111845550708,0.00032272237675080645,9.806717549118114e-17,1.4147876698976778e-16,2.2892637650491695e-17,6.898426191486155e-17
49,50,9.5098798,0.010293918261637267,0.688834753953742,0.012112130377830646,0.0008460348088329324,0.0121121303778306466789866842957,0.000846034808832932767102443162593,0.0024207272289578268,0.0024207272289578268,-0.007001422943165103,0.0003215391766834112,3.8025956057407436e-16,0.0,3.739581349313653e-16,7.294835690312183e-17
50,51,9.5210576,0.010134350530891664,0.6776569539537416,0.011964029385266748,0.000872571428363509,0.0119640293852667469139090964465,0.000872571428363508837155906752134,0.0024643091419884345,0.0024643091419884345,-0.0068894678093075505,0.0003199798626795556,1.7405707477891805e-16,1.4499491936329192e-16,1.645945556213748e-16,1.2838194382293475e-16
