model,time_index,direction_index,frequency_residual_normalized,direction_residual_normalized
Bianchi_VI_h_tilted_large_shear,90,0,4.592992652874273e-12,6.515919764657832e-13
Bianchi_VI_h_tilted_large_shear,90,1,5.710987238671805e-13,3.180986468224496e-12
Bianchi_VI_h_tilted_large_shear,90,6,6.234124327875179e-12,3.3389038602666552e-12
Bianchi_VI_h_tilted_large_shear,90,8,6.744382829992901e-12,5.771948807637534e-12
Bianchi_VI_h_tilted_large_shear,90,9,9.703349235223868e-14,4.540411774686774e-12
Bianchi_VI_h_tilted_large_shear,90,16,1.810274152802549e-12,6.3602113865427864e-12
Bianchi_VI_h_tilted_large_shear,90,20,9.17821374457617e-13,4.2515516637387395e-12
Bianchi_VI_h_tilted_large_shear,90,24,5.503375533066901e-12,8.417425184370104e-12
Bianchi_VI_h_tilted_large_shear,120,0,4.616529380996326e-12,2.0646431518438383e-12
Bianchi_VI_h_tilted_large_shear,120,1,7.153833081474659e-12,3.4838046075646293e-12
Bianchi_VI_h_tilted_large_shear,120,6,7.772671395400721e-12,3.706617188249338e-12
Bianchi_VI_h_tilted_large_shear,120,8,6.520672890530932e-12,1.983372973483179e-12
Bianchi_VI_h_tilted_large_shear,120,9,6.044720279874127e-12,4.156656234321097e-12
Bianchi_VI_h_tilted_large_shear,120,16,6.5927263648291046e-12,8.27185060770456e-12
Bianchi_VI_h_tilted_large_shear,120,20,1.490085832500654e-11,4.383984184248204e-12
Bianchi_VI_h_tilted_large_shear,120,24,9.458878125201409e-12,8.481269970922358e-12
Bianchi_VI_h_tilted_large_shear,150,0,6.080025372057207e-12,1.1058361314921184e-12
Bianchi_VI_h_tilted_large_shear,150,1,4.456435220845378e-12,1.430030181029313e-12
Bianchi_VI_h_tilted_large_shear,150,6,5.194178420708795e-13,4.054218549221492e-12
Bianchi_VI_h_tilted_large_shear,150,8,3.2917002457111266e-12,9.057705569833173e-12
Bianchi_VI_h_tilted_large_shear,150,9,1.058209075921468e-12,2.363494974526145e-12
Bianchi_VI_h_tilted_large_shear,150,16,5.628830734849544e-13,3.2162818028946426e-12
Bianchi_VI_h_tilted_large_shear,150,20,6.476597036453313e-12,7.302355928278151e-12
Bianchi_VI_h_tilted_large_shear,150,24,1.2958523143424827e-12,6.69289418098366e-12
Bianchi_VI_h_tilted_large_shear,180,0,2.9398705692074145e-13,4.217965035356176e-12
Bianchi_VI_h_tilted_large_shear,180,1,1.1659562204613394e-12,3.680052580412693e-12
Bianchi_VI_h_tilted_large_shear,180,6,4.135081166367627e-12,2.814968939818568e-12
Bianchi_VI_h_tilted_large_shear,180,8,6.800338070434009e-12,1.4373025177173872e-12
Bianchi_VI_h_tilted_large_shear,180,9,3.2277513994927176e-12,3.4560955565870275e-12
Bianchi_VI_h_tilted_large_shear,180,16,1.7895684933932898e-12,4.4316083958487285e-12
Bianchi_VI_h_tilted_large_shear,180,20,1.1477485628574868e-12,5.414113823005049e-12
Bianchi_VI_h_tilted_large_shear,180,24,1.9892976155233555e-12,4.829720838015318e-12
Bianchi_VI_h_tilted_large_shear,210,0,2.255085007618618e-12,3.1614525035575078e-12
Bianchi_VI_h_tilted_large_shear,210,1,8.837597320621171e-12,1.1545782742702047e-12
Bianchi_VI_h_tilted_large_shear,210,6,5.615174991646654e-12,5.446470270881741e-12
Bianchi_VI_h_tilted_large_shear,210,8,7.118416966989116e-12,8.363746318356157e-12
Bianchi_VI_h_tilted_large_shear,210,9,5.88672166568216e-12,1.0853890065529649e-11
Bianchi_VI_h_tilted_large_shear,210,16,4.2590375670670255e-12,5.675966896569454e-12
Bianchi_VI_h_tilted_large_shear,210,20,5.440980999082967e-12,1.0031008339737295e-11
Bianchi_VI_h_tilted_large_shear,210,24,1.1514345032992424e-11,6.273469869145058e-12
Bianchi_VI_h_tilted_large_shear,240,0,8.881784197001252e-14,4.133552006405502e-12
Bianchi_VI_h_tilted_large_shear,240,1,2.1760371282653068e-14,1.2143076012171267e-12
Bianchi_VI_h_tilted_large_shear,240,6,3.122502256758253e-13,6.377462899088484e-12
Bianchi_VI_h_tilted_large_shear,240,8,7.566169912820442e-13,3.634806432406569e-12
Bianchi_VI_h_tilted_large_shear,240,9,4.087744032155172e-12,2.2260973465960125e-12
Bianchi_VI_h_tilted_large_shear,240,16,2.2302160118670145e-12,6.364676719553087e-12
Bianchi_VI_h_tilted_large_shear,240,20,3.962830064097034e-12,5.275637381117688e-12
Bianchi_VI_h_tilted_large_shear,240,24,1.262989712813578e-12,5.355059612886655e-12
Bianchi_VI_minus_1_over_9_exceptional,0,0,5.551115123125783e-17,0.0
Bianchi_VI_minus_1_over_9_exceptional,0,1,5.551115123125783e-17,0.0
Bianchi_VI_minus_1_over_9_exceptional,0,6,2.220446049250313e-16,2.184819402649762e-12
Bianchi_VI_minus_1_over_9_exceptional,0,8,0.0,6.555579738965014e-12
Bianchi_VI_minus_1_over_9_exceptional,0,9,2.220446049250313e-16,2.2055647327268436e-12
Bianchi_VI_minus_1_over_9_exceptional,0,16,1.1102230246251565e-16,5.109774001638641e-13
Bianchi_VI_minus_1_over_9_exceptional,0,20,2.220446049250313e-16,5.399018686426903e-12
Bianchi_VI_minus_1_over_9_exceptional,0,24,1.1102230246251565e-16,5.16065821192836e-12
Bianchi_VI_minus_1_over_9_exceptional,30,0,5.551115123125783e-17,0.0
Bianchi_VI_minus_1_over_9_exceptional,30,1,5.551115123125783e-17,0.0
Bianchi_VI_minus_1_over_9_exceptional,30,6,2.220446049250313e-16,5.509977522450182e-12
Bianchi_VI_minus_1_over_9_exceptional,30,8,0.0,1.5339008735243591e-12
Bianchi_VI_minus_1_over_9_exceptional,30,9,2.220446049250313e-16,6.084896292239391e-12
Bianchi_VI_minus_1_over_9_exceptional,30,16,0.0,1.462538636338959e-12
Bianchi_VI_minus_1_over_9_exceptional,30,20,0.0,5.266086438149893e-12
Bianchi_VI_minus_1_over_9_exceptional,30,24,2.220446049250313e-16,6.435909154390548e-12
Bianchi_VI_minus_1_over_9_exceptional,60,0,0.0,0.0
Bianchi_VI_minus_1_over_9_exceptional,60,1,0.0,0.0
Bianchi_VI_minus_1_over_9_exceptional,60,6,1.1102230246251565e-16,5.1968294309700136e-12
Bianchi_VI_minus_1_over_9_exceptional,60,8,2.220446049250313e-16,1.430832502437846e-12
Bianchi_VI_minus_1_over_9_exceptional,60,9,1.1102230246251565e-16,6.472559729459828e-12
Bianchi_VI_minus_1_over_9_exceptional,60,16,0.0,2.836954668039668e-12
Bianchi_VI_minus_1_over_9_exceptional,60,20,2.220446049250313e-16,1.6888541613204182e-12
Bianchi_VI_minus_1_over_9_exceptional,60,24,0.0,6.573842895666666e-12
Bianchi_VI_minus_1_over_9_exceptional,90,0,2.220446049250313e-16,0.0
