event_id,beta_norm,nu_in_Hframe_Hz,nu_in_initial_rest_Hz,nu_out_initial_rest_Hz,mu_initial_rest,four_momentum_relative,initial_mass_shell_relative,final_mass_shell_relative,incoming_null_absolute,outgoing_null_absolute,reverse_photon_relative,reverse_atom_relative,reverse_four_momentum_relative,same_event_transfer_absolute
56,0.5430175295932027,1518447281021699.2,1619448872790601.8,1619448855091277.0,-0.5319402810348921,7.893048125735279e-18,3.318187064267828e-16,3.318187064267828e-16,2.3182538441796384e-69,4.636507688359277e-69,1.5145971785605765e-16,0.0,2.042715169239619e-17,0.0
57,0.2811134017145799,2851566738218590.5,2956323496617074.0,2956323478394323.0,0.5267074681480969,2.353375326004804e-17,1.659093532133914e-16,1.659093532133914e-16,9.273015376718553e-69,4.636507688359277e-69,1.451137024528927e-16,0.0,8.924707329960126e-18,0.0
58,0.06798462256245798,2374055430786289.0,2467145960759332.5,2467145950414474.0,0.6142068875435885,3.0549718447321053e-17,3.318187064267828e-16,1.659093532133914e-16,4.636507688359277e-69,4.636507688359277e-69,4.834253631599144e-17,0.0,7.899193336103865e-18,0.0
59,0.14731503942568472,3236968157330484.0,3266102089718452.0,3266102028481549.0,-0.30308676407587104,3.401922746361279e-17,3.318187064267828e-16,3.318187064267828e-16,9.273015376718553e-69,0.0,1.418214270894917e-16,0.0,4.063119845043468e-18,0.0
60,0.18306299657274036,2056042528813819.0,1774127409898619.0,1774127385522311.2,-0.7579962223122085,3.382752548283312e-17,3.318187064267828e-16,1.659093532133914e-16,0.0,4.636507688359277e-69,5.992508522622856e-16,0.0,4.6735992539827877e-17,0.0
61,0.2478085786074135,2563907928292447.5,2431447372322764.5,2431447325037708.5,-0.8155732746424915,1.6935334112513568e-17,3.318187064267828e-16,3.318187064267828e-16,4.636507688359277e-69,0.0,3.483531635645555e-16,0.0,3.6499231805480786e-17,0.0
62,0.24792029350892061,2584519109045496.0,2624222763224272.5,2624222718191402.5,-0.4843894248246859,4.510964778313913e-17,1.659093532133914e-16,0.0,9.273015376718553e-69,4.636507688359277e-69,3.3525708712842944e-16,0.0,1.1795380124353385e-17,0.0
63,0.59222841910195,2243081413707422.5,4064476050868669.5,4064476050581424.5,0.996053029900998,2.9571756635511964e-17,3.318187064267828e-16,1.659093532133914e-16,0.0,4.636507688359277e-69,3.338172253716077e-16,0.0,3.549297952857026e-17,0.0
64,0.5310254371047638,3363615975707959.0,5450854421750671.0,5450854393417492.0,0.7835359580031628,1.0295143151199479e-17,3.318187064267828e-16,3.318187064267828e-16,0.0,0.0,1.4476051952876372e-16,0.0,3.690962150677871e-17,0.0
65,0.008178451243171578,3733109821976156.0,3715612515949896.5,3715612413540860.5,-0.6838254605836953,7.809020265749037e-18,1.659093532133914e-16,3.318187064267828e-16,0.0,3.7092061506874214e-68,4.499973290046322e-16,0.0,2.3486761688624913e-17,0.0
66,0.48815428136083544,1663179817960673.2,2479483637579534.5,2479483629358840.5,0.696467216127424,3.637617146692181e-17,1.659093532133914e-16,0.0,2.3182538441796384e-69,1.390952306507783e-68,5.41855381709223e-16,0.0,1.9574858308082984e-17,0.0
67,0.4928266349592546,1434096101223585.0,2089923000171706.5,2089922962723512.2,-0.9462110329416697,3.390201362717833e-17,3.318187064267828e-16,3.318187064267828e-16,0.0,9.273015376718553e-69,1.8006302838236857e-16,0.0,2.4409015833166918e-17,0.0
68,0.3910707044279246,4312820192324466.0,5765434283033293.0,5765434211610092.0,0.5122526893508654,3.550143459725445e-17,3.318187064267828e-16,6.636374128535656e-16,0.0,0.0,6.097314360125787e-16,0.0,3.665556916047076e-17,0.0
69,0.2926314569541432,2533382194051925.5,3130116576348494.0,3130116538839485.5,0.13097117496574223,1.9093010178552607e-17,0.0,1.659093532133914e-16,4.636507688359277e-69,9.273015376718553e-69,2.265111461437282e-16,0.0,1.0670538883138044e-17,0.0
70,0.05244635629913499,3053790211590691.0,3092358031383735.5,3092357992161506.0,0.06895137895380225,1.873872778050048e-17,1.659093532133914e-16,1.659093532133914e-16,0.0,0.0,2.1589274997542959e-16,0.0,1.1889233757410125e-17,0.0
71,0.1097575768561855,3614211632354869.5,3384027842691563.5,3384027841310336.0,0.9726210323394077,3.8386546593518663e-17,0.0,1.659093532133914e-16,9.273015376718553e-69,1.8546030753437107e-68,1.885325181949075e-16,0.0,3.211650461690366e-18,0.0
72,0.5554466807420272,2674214375625393.0,1535199021321872.5,1535199016559646.8,0.5413301041221864,1.825532091124592e-17,3.318187064267828e-16,4.977280596401743e-16,4.636507688359277e-69,9.273015376718553e-69,2.1458238712093384e-16,0.0,2.5041802728919128e-17,0.0
73,0.4089877257121571,1594243258774731.2,2416304274941281.0,2416304253830401.0,0.17922765195871881,4.250362864360303e-18,1.659093532133914e-16,3.318187064267828e-16,2.3182538441796384e-69,0.0,1.439778531253363e-16,0.0,2.6876269282124495e-17,0.0
74,0.3124505764505207,1390588705934185.0,1038142650363781.1,1038142642561674.2,-0.6433022455361145,2.042530707466625e-17,3.318187064267828e-16,4.977280596401743e-16,0.0,5.795634610449096e-70,2.9757282322844e-16,0.0,9.754925516144061e-18,0.0
75,0.33709238373001976,2683875481279460.5,2303966347798426.5,2303966321645722.0,-0.11836603520441842,3.6895844107654807e-17,1.659093532133914e-16,0.0,9.273015376718553e-69,9.273015376718553e-69,5.492877280742433e-16,0.0,1.8078887014907433e-17,0.0
