exterior_index,side,exterior_left,exterior_right,interior_index,interior_left,interior_right,S0_m^-3_s^-1,S1_m^-3_s^-1,S2_m^-3_s^-1,photon_delta_p0_weighted,photon_delta_ppar_weighted
2,red,-7.0,-6.0,2,-3.25,-2.75,9.205655664241286e-08,-6.301961431869815e-08,2.833112325662081e-08,-3.8720750300252555e-38,-8.45163533290974e-34
2,red,-7.0,-6.0,3,-2.75,-2.25,3.564957674969578e-08,-2.6015646266469206e-08,1.3487687178625007e-08,-1.7189459000993876e-38,-3.3607674624262034e-34
2,red,-7.0,-6.0,4,-2.25,-1.75,1.2473692986923055e-08,-9.553648758041184e-09,5.504272785048918e-09,-6.782918777835744e-39,-1.2005015520031172e-34
2,red,-7.0,-6.0,5,-1.75,-1.25,3.938523267501145e-09,-3.1325880911117583e-09,1.9573097554113945e-09,-2.3845336943776064e-39,-3.8538143875159376e-35
2,red,-7.0,-6.0,6,-1.25,-0.75,1.1216343409307166e-09,-9.194705384158445e-10,6.125291879739329e-10,-7.483234092933938e-40,-1.1124254631894581e-35
2,red,-7.0,-6.0,7,-0.75,-0.25,2.881201488906414e-10,-2.4207484318101473e-10,1.6982276651239258e-10,-2.100355759851733e-40,-2.8896397811338938e-36
2,red,-7.0,-6.0,8,-0.25,0.25,6.679474129105514e-11,-5.727403354857208e-11,4.1920323816239076e-11,-5.282682897177191e-41,-6.761967338607494e-37
2,red,-7.0,-6.0,9,0.25,0.75,1.399033800840387e-11,-1.2202237157634578e-11,9.251594234769588e-12,-1.1931861114578476e-41,-1.427549795368591e-37
2,red,-7.0,-6.0,10,0.75,1.25,2.6520275543048694e-12,-2.3465841128310175e-12,1.83263137673108e-12,-2.4264185980808767e-42,-2.724362925810095e-38
2,red,-7.0,-6.0,11,1.25,1.75,4.561441938942059e-13,-4.085793411279551e-13,3.2719968923097987e-13,-4.456880901437083e-43,-4.712977239791988e-39
2,red,-7.0,-6.0,12,1.75,2.25,7.145436369019724e-14,-6.467696259783786e-14,5.2914510348511043e-14,-7.426285448625744e-44,-7.419568423328148e-40
2,red,-7.0,-6.0,13,2.25,2.75,1.025161905554449e-14,-9.362529405387348e-15,7.800743516200788e-15,-1.1293276471112074e-44,-1.0690365148132405e-40
2,red,-7.0,-6.0,14,2.75,3.25,1.3594024607883776e-15,-1.2505872551766975e-15,1.0577500789513357e-15,-1.5823264528936502e-45,-1.4225397411565741e-41
2,red,-7.0,-6.0,15,3.25,3.75,1.6991389225510373e-16,-1.5687190959042867e-16,1.3380624061562519e-16,-2.0838860296030656e-46,-1.7811127101435446e-42
2,red,-7.0,-6.0,16,3.75,4.25,2.162638611041725e-17,-1.9685334431797937e-17,1.6388598786558023e-17,-2.78771092523369e-47,-2.25166934748555e-43
3,red,-6.0,-5.25,0,-4.25,-3.75,1.4265663800395019e-06,-5.140150988398762e-07,2.9106739711442712e-08,-2.7908691992748005e-37,-1.0576133903526324e-32
3,red,-6.0,-5.25,1,-3.75,-3.25,7.814162718859706e-07,-3.8197491985656834e-07,7.24974387321582e-08,-2.0181327263337892e-37,-6.340497029450492e-33
3,red,-6.0,-5.25,2,-3.25,-2.75,3.9551685408539533e-07,-2.3002604265307232e-07,6.996200159932676e-08,-1.2683384111590561e-37,-3.4092360371816113e-33
3,red,-6.0,-5.25,3,-2.75,-2.25,1.8302237414384834e-07,-1.1905459820722711e-07,4.747505749827918e-08,-7.009362550232355e-38,-1.6463419045800454e-33
3,red,-6.0,-5.25,4,-2.25,-1.75,7.69761108812527e-08,-5.413544657648916e-08,2.581642364807427e-08,-3.4271911671938494e-38,-7.145717328439699e-34
3,red,-6.0,-5.25,5,-1.75,-1.25,2.933778483601069e-08,-2.1851225597767543e-08,1.1838186141796602e-08,-1.488784507400041e-38,-2.7898704601745123e-34
3,red,-6.0,-5.25,6,-1.25,-0.75,1.0120142321606124e-08,-7.875794966025725e-09,4.694428848548632e-09,-5.7654978908643216e-39,-9.80808519116502e-35
3,red,-6.0,-5.25,7,-0.75,-0.25,3.159463365536934e-09,-2.5451855184140134e-09,1.6335931648125467e-09,-1.99667535480825e-39,-3.109146147460892e-35
3,red,-6.0,-5.25,8,-0.25,0.25,8.935041116908434e-10,-7.40048123113538e-10,5.037437154169023e-10,-6.203198229820163e-40,-8.90323238391471e-36
3,red,-6.0,-5.25,9,0.25,0.75,2.2931648699807196e-10,-1.9428771799096842e-10,1.3869065727456727e-10,-1.7349529236331292e-40,-2.3087527059018404e-36
3,red,-6.0,-5.25,10,0.75,1.25,5.357190014977415e-11,-4.624505016648531e-11,3.43230903599074e-11,-4.387170612268243e-41,-5.440313564713066e-37
3,red,-6.0,-5.25,11,1.25,1.75,1.1447177823540164e-11,-1.0034101665465797e-11,7.688920512902334e-12,-1.0088652970235163e-41,-1.1707988160777898e-37
3,red,-6.0,-5.25,12,1.75,2.25,2.256948885871507e-12,-2.0012751871169166e-12,1.5718851862189748e-12,-2.1299808764383825e-42,-2.3208825852574305e-38
