virtual_index,energy_eV,frequency_Hz,x,Aup_sInv,Adn_sInv,raw_Gamma_sInv,raw_M1_Hz_sInv,raw_M2_Hz2_sInv,raw_M3_Hz3_sInv,raw_M4_Hz4_sInv,detailed_balance_abs_residual,production_use
125,10.167647,2458526106331699.0,-130.30785883189054,1.0681490659195627,1.0578181254548695,2.125967191374432,-38938343153.04736,1.4779957729837953e+24,-9.31533526847541e+34,1.0304749936450025e+48,0.0,DIAGNOSTIC_ONLY_ESCAPE_MAP_OPEN
126,10.171002,2459337341722418.5,-116.29061987400017,1.7800411016015247,1.0821015287933822,2.862142630394907,486997469737.1665,1.7586148579399863e+24,2.2467484836501745e+35,1.0838803417408875e+48,0.0,DIAGNOSTIC_ONLY_ESCAPE_MAP_OPEN
127,10.174173,2460104086111083.5,-103.04213560113506,2.026095438746094,1.8020094739177157,3.8281049126638096,81673639783.88916,2.1163084805670952e+24,-4.892715196104076e+34,1.1741540251343331e+48,0.0,DIAGNOSTIC_ONLY_ESCAPE_MAP_OPEN
128,10.17716,2460826339497694.5,-90.56240601328658,3.2912446823596775,2.0496411530170726,5.34088583537675,749525760546.6792,2.579988899467207e+24,2.5136395807242157e+35,1.2512515208146292e+48,0.0,DIAGNOSTIC_ONLY_ESCAPE_MAP_OPEN
129,10.179962,2461503860083326.5,-78.85560912506092,4.156565017231443,3.3271112127495104,7.4836762299809525,377042284648.06055,3.1929032062540016e+24,1.9654418848247735e+34,1.3685316446681088e+48,0.0,DIAGNOSTIC_ONLY_ESCAPE_MAP_OPEN
130,10.18258,2462136889666904.5,-67.91756692185189,6.753476080767979,4.198871844995193,10.952347925763172,1316671137393.3765,4.0218522787580126e+24,3.116058329827764e+35,1.4845270129296168e+48,0.0,DIAGNOSTIC_ONLY_ESCAPE_MAP_OPEN
131,10.185014,2462725428248428.0,-57.748279403668114,9.511020851996362,6.817361151104326,16.32838200310069,1159868056595.2969,5.174025660643564e+24,1.397679032272572e+35,1.649698235230299e+48,0.0,DIAGNOSTIC_ONLY_ESCAPE_MAP_OPEN
132,10.187263,2463269234028973.0,-48.35192458509852,16.01306837414495,9.594123028623834,25.607191402768784,2778222125963.874,6.829521526249798e+24,4.505191278760271e+35,1.8343777277503795e+48,0.0,DIAGNOSTIC_ONLY_ESCAPE_MAP_OPEN
133,10.189328,2463768548807463.5,-39.7243244515542,25.544742359642402,16.141489258375504,41.686231618017906,3558672054557.4385,9.308624035308752e+24,3.940252423391327e+35,2.0964601111708774e+48,0.0,DIAGNOSTIC_ONLY_ESCAPE_MAP_OPEN
134,10.191209,2464223372583900.0,-31.865479003026504,46.97860137627297,25.731284353579152,72.70988572985212,7562300541745.049,1.3223501462981559e+25,8.189894294577531e+35,2.4298002462325074e+48,0.0,DIAGNOSTIC_ONLY_ESCAPE_MAP_OPEN
135,10.192905,2464633463559357.0,-24.779566254130266,89.09008259558023,47.28781359785553,136.37789619343576,13179026221841.84,1.986068757195312e+25,1.0922996219218794e+36,2.929100481861555e+48,0.0,DIAGNOSTIC_ONLY_ESCAPE_MAP_OPEN
136,10.194417,2464999063532760.0,-18.462408190250656,197.1243523034755,89.61266786049288,286.7370201639684,30536009009737.383,3.230361201063558e+25,2.1476289541869033e+36,3.696810910290259e+48,0.0,DIAGNOSTIC_ONLY_ESCAPE_MAP_OPEN
137,10.195745,2465320172504109.5,-12.91400481137903,511.17680643659,198.13957113998742,709.3163775765775,77776296274544.78,5.954433543438596e+25,4.2592543786752916e+36,5.099498016818671e+48,0.0,DIAGNOSTIC_ONLY_ESCAPE_MAP_OPEN
138,10.196889,2465596790473404.0,-8.134356117541312,1839.5670920486643,513.4438705453031,2353.0109625939676,284540523951329.3,1.3820230963251497e+26,1.2069278383745968e+37,8.32490164406764e+48,0.0,DIAGNOSTIC_ONLY_ESCAPE_MAP_OPEN
139,10.197848,2465828675641720.0,-4.127640123317774,11242.14967881279,1846.4037740108242,13088.553452823613,4282729046936079.5,2.0733191572150037e+27,8.041733291578045e+38,3.519644403612513e+50,0.0,DIAGNOSTIC_ONLY_ESCAPE_MAP_OPEN
140,10.199581,2466247713177373.0,3.112859165506483,1831.5913367332514,11258.414163929026,13090.005500662279,-4292536384394703.0,2.0755841027387175e+27,-8.054832421331044e+38,3.524452143014428e+50,0.0,DIAGNOSTIC_ONLY_ESCAPE_MAP_OPEN
141,10.200541,2466479840144613.0,7.123753174318934,512.4600210831163,1838.40548834867,2350.8655094317864,-285111752472810.5,1.382023096324993e+26,-1.2175820576560067e+37,8.32751067735673e+48,0.0,DIAGNOSTIC_ONLY_ESCAPE_MAP_OPEN
142,10.201684,2466756216314983.5,11.89922385356774,196.16970148706244,514.7307851669912,710.9004866540536,-79267472122000.66,5.954433543432136e+25,-4.371154960753176e+36,5.0888392585120915e+48,0.0,DIAGNOSTIC_ONLY_ESCAPE_MAP_OPEN
143,10.203012,2467077325286332.0,17.447627232422086,89.56973706876947,197.18000373422328,286.74974080299273,-30569574679489.223,3.230361201059611e+25,-2.151569477545514e+36,3.6966355924429345e+48,0.0,DIAGNOSTIC_ONLY_ESCAPE_MAP_OPEN
144,10.204524,2467442925259735.5,23.764785296310336,46.489008220211396,90.09513589443587,136.58414411464727,-13874056557712.246,1.9860687571988815e+25,-1.1965049987152842e+36,2.924464280241657e+48,0.0,DIAGNOSTIC_ONLY_ESCAPE_MAP_OPEN
145,10.20622,2467853016235193.0,30.85069804521521,25.880548288915627,46.79499794936108,72.67554623827671,-7419117646573.396,1.3223501462994444e+25,-7.9228308097988e+35,2.430994896009664e+48,2.710505431213761e-20,DIAGNOSTIC_ONLY_ESCAPE_MAP_OPEN
146,10.208101,2468307840011629.5,38.709543493742906,15.706046128710824,26.069542525538402,41.775588654249226,-4014786837718.4883,9.308624035319002e+24,-4.9760901595303985e+35,2.091851565288588e+48,0.0,DIAGNOSTIC_ONLY_ESCAPE_MAP_OPEN
147,10.210166,2468807154790120.0,47.33714362728723,9.74677146587864,15.832004769771244,25.578776235649883,-2604803289883.001,6.829521526245305e+24,-4.034306657312348e+35,1.8364727406151874e+48,0.0,DIAGNOSTIC_ONLY_ESCAPE_MAP_OPEN
148,10.212415,2469350960570665.0,56.733498445856824,6.543377528809124,9.831933504371666,16.37531103318079,-1495632144436.5762,5.174025660638605e+24,-2.4722942877149674e+35,1.6448911801924124e+48,1.3552527156068805e-20,DIAGNOSTIC_ONLY_ESCAPE_MAP_OPEN
149,10.214849,2469939499152188.0,66.90278596403195,4.326972922215181,6.605275154367517,10.932248076582699,-1148357402817.4155,4.0218522787575257e+24,-2.4889847532032737e+35,1.4873169261066302e+48,0.0,DIAGNOSTIC_ONLY_ESCAPE_MAP_OPEN
150,10.217467,2470572528735766.0,77.84082816724099,3.1399018999524904,4.371014215302064,7.510916115254554,-639633134441.7734,3.1929032062543393e+24,-1.322771591914178e+35,1.3635209460972631e+48,0.0,DIAGNOSTIC_ONLY_ESCAPE_MAP_OPEN
151,10.220269,2471250049321398.5,89.5476250554753,2.1527076093505064,3.1741191635668957,5.326826772917402,-595730713331.5879,2.579988899467287e+24,-1.7610565321529506e+35,1.2546180355880928e+48,0.0,DIAGNOSTIC_ONLY_ESCAPE_MAP_OPEN
152,10.223256,2471972302708009.0,102.02735464331514,1.6674665023049546,2.1777247123503867,3.8451912146553413,-294348464671.2656,2.1163084805669022e+24,-6.884870613414964e+34,1.1689140591889556e+48,0.0,DIAGNOSTIC_ONLY_ESCAPE_MAP_OPEN
