state_index,state_label,x_center,target_frequency_Hz,target_energy_eV_rescaled,source_index,source_energy_eV_rescaled,eta_target,eta_query,left_index,right_index,fraction,distortion_occupation,blackbody_occupation,total_occupation,thermal_zero,activity,q1_occupation
20,NR03,-5.625,2465741814221282.0,10.197488770029388,139,10.197848,-7.003972912850124,-7.004008139527152,5126,5127,0.5850803647963403,7.712791478870459e-15,7.746288519777421e-18,7.720537767390235e-15,False,997.0882318834052,7.743083832016361e-18
21,NR04,-5.0,2465778006618054.5,10.197638449755594,139,10.197848,-7.003972912850124,-7.0039934615381805,5126,5127,0.7579659828388685,7.711537196377179e-15,7.741810082006148e-18,7.719279006459185e-15,False,997.5023779156661,7.73860712251029e-18
22,NR05,-4.5,2465806960535472.5,10.197758193536558,139,10.197848,-7.003972912850124,-7.0039817193021205,5126,5127,0.8962726502113583,7.710533783637858e-15,7.73822919605851e-18,7.718272012833918e-15,False,997.8337934462412,7.735027680488838e-18
23,NB00,4.5,2466328131048995.5,10.199913581593925,141,10.200541,-7.003972912850124,-7.004034423087924,5126,5127,0.2754977879831131,7.626196398718633e-15,7.67405573496883e-18,7.633870454453601e-15,False,995.1753065896053,7.670880099119694e-18
24,NB01,5.0,2466357084966413.5,10.20003332537489,141,10.200541,-7.003972912850124,-7.0040226834710015,5126,5127,0.413773605676397,7.625203490001475e-15,7.670506188021585e-18,7.632873996189497e-15,False,995.5058698811295,7.667331983789165e-18
25,NB02,5.625,2466393277363186.0,10.200183005101096,141,10.200541,-7.003972912850124,-7.004008009143653,5126,5127,0.5866160950617996,7.623962370496495e-15,7.666071563033176e-18,7.631628442059528e-15,False,995.919197003977,7.662899224171691e-18
26,NB03,6.5,2466443946718667.5,10.200392556717786,141,10.200541,-7.003972912850124,-7.003987465447121,5126,5127,0.82859131922487,7.622224833786056e-15,7.659867394957171e-18,7.629884701181013e-15,False,996.498103260189,7.656697665774448e-18
27,NB04,7.625,2466509093032858.0,10.200661980224956,142,10.201684,-7.003972912850124,-7.0040730993460185,5125,5126,0.8199470448171269,7.568427957581793e-15,7.651897984726417e-18,7.57607985556652e-15,False,990.5014640528574,7.648731607692173e-18
28,NB05,9.25,2466603193264466.5,10.201051147513093,142,10.201684,-7.003972912850124,-7.004034948894069,5126,5127,0.2693045471669393,7.565221510990806e-15,7.640401250149623e-18,7.572861912240955e-15,False,991.57048966426,7.637240106656488e-18
29,FR00,-18.75,2464981773889060.5,10.194345495779059,136,10.194417,-7.003972912850124,-7.003979926931626,5126,5127,0.9173841990295841,7.808378712950749e-15,7.840936469893767e-18,7.816219649420642e-15,False,997.2593854034068,7.837699763796958e-18
30,FR01,-14.5,2465227882187113.0,10.195363317917261,137,10.195745,-7.003972912850124,-7.004010348979326,5126,5127,0.5590561931339835,7.774155083994625e-15,7.810162633135407e-18,7.78196524662776e-15,False,996.8015782430592,7.80693511776338e-18
31,FR02,-11.5,2465401605691621.0,10.19608178060305,138,10.196889,-7.003972912850124,-7.004052079285074,5126,5127,0.06753315723472042,7.744783175624304e-15,7.788512671661611e-18,7.752571688295967e-15,False,995.7971147246866,7.785292378999614e-18
32,FB00,11.5,2466733485892847.0,10.201589994527433,142,10.201684,-7.003972912850124,-7.003982127594051,5126,5127,0.8914635579840251,7.560783352445471e-15,7.624511205660923e-18,7.568407863651131e-15,False,993.0525291178875,7.621357019627118e-18
33,FB01,14.5,2466907209397355.0,10.202308457213222,143,10.203012,-7.003972912850124,-7.004041869648772,5126,5127,0.18778800178824895,7.4572951828692e-15,7.603375874476043e-18,7.464898558743676e-15,False,982.1935541870398,7.600231672180242e-18
34,FB02,18.75,2467153317695407.5,10.203326279351424,144,10.204524,-7.003972912850124,-7.004090291273971,5125,5126,0.617450838075456,7.271632378878725e-15,7.573534407341147e-18,7.279205913286067e-15,False,961.5345016614426,7.570405326806495e-18
