physics_orbit_id,frequency_i,frequency_j,mu,branch,log_low,log_high,relative_low_high
2324,6,26,-0.5,GL16_20,117.65639869020737,117.65639869019805,9.322320693215967e-12
2325,6,26,-0.3333333333333333,GL16_20,114.53193093130686,114.53193093129526,1.159605744767207e-11
2326,6,26,0.0,GL16_20,103.23290844479448,103.23290844477634,1.8133050616762162e-11
2327,6,26,0.3333333333333333,GL16_20,79.34355290892684,79.34355290890082,2.6020074983873392e-11
2328,6,26,0.5,GL16_20,55.30107316372484,55.30107316369874,2.609823468480904e-11
2329,6,26,0.5773502691896258,GL16_20,37.71152870886715,37.71152870884565,2.150102318433178e-11
2330,6,26,0.7071067811865475,GL16_20,-12.5703982481371,-12.570398248097822,-3.92770260752076e-11
2331,6,26,0.816496580927726,GL16_20,-109.94002623932158,-109.9400261148312,-1.2449037647453593e-07
2333,6,27,-1.0,back_uv64_96,116.18425294043287,116.18425294043293,-5.68434188608064e-14
2334,6,27,-0.816496580927726,GL16_20,113.20101178507966,113.20101178506388,1.5774048733998634e-11
2335,6,27,-0.7071067811865475,GL16_20,111.12153842770987,111.12153842769327,1.6598278307493692e-11
2336,6,27,-0.5773502691896258,GL16_20,108.35591979130211,108.35591979128505,1.7067236513103252e-11
2337,6,27,-0.5,GL16_20,106.6765281517744,106.67652815175835,1.6058265828307198e-11
2338,6,27,-0.3333333333333333,GL16_20,102.92110839095308,102.92110839093866,1.442401753603406e-11
2339,6,27,0.0,GL16_20,90.11893462925808,90.11893462923919,1.8886225916681808e-11
2340,6,27,0.3333333333333333,GL16_20,61.74171498656405,61.74171498654192,2.2126300791814307e-11
2341,6,27,0.5,GL16_20,32.79526713949728,32.79526713947973,1.7543300146070758e-11
2342,6,27,0.5773502691896258,GL16_20,11.542198921207618,11.54219892121727,-9.652723065254374e-12
2343,6,27,0.7071067811865475,GL16_20,-49.35088891701272,-49.350888900441305,-1.6571412549210994e-08
2344,6,27,0.816496580927726,GL16_20,-167.47958991199104,-167.47957765376157,-1.225815434324936e-05
2346,6,28,-1.0,back_uv64_96,108.23348413853485,108.23348413853569,-8.384404281965667e-13
2347,6,28,-0.816496580927726,GL16_20,104.49865289678714,104.4986528967872,-7.10542735760075e-14
2348,6,28,-0.7071067811865475,GL16_20,101.893297800702,101.8932978007022,-1.9895196601280826e-13
2349,6,28,-0.5773502691896258,GL16_20,98.33821286801393,98.33821286801428,-3.55271367879987e-13
2350,6,28,-0.5,GL16_20,95.92888968087395,95.9288896808744,-4.547473508863607e-13
2351,6,28,-0.3333333333333333,GL16_20,89.80193393124726,89.80193393124813,-8.668621376269465e-13
2352,6,28,0.0,GL16_20,71.89981827930912,71.8998182793168,-7.68807240089473e-12
2353,6,28,0.3333333333333333,GL16_20,36.7573138561107,36.75731385730456,-1.1938610093388259e-09
2354,6,28,0.5,GL16_20,1.0148482381551558,1.0148483270068853,-8.885172558212296e-08
2355,6,28,0.5773502691896258,GL16_20,-25.30503684544868,-25.305035967085402,-8.783628914626601e-07
2356,6,28,0.7071067811865475,GL16_20,-100.88670740000659,-100.88664428387484,-6.31141399603425e-05
2357,6,28,0.816496580927726,GL16_20,-247.7869035804202,-247.78351672684803,-0.0033811246530878114
2566,7,23,-1.0,back_uv64_96,133.9501919236285,133.95019192362804,4.547473508865675e-13
2567,7,23,-0.816496580927726,GL16_20,137.38797086745916,137.38797086745467,4.490630090013916e-12
2568,7,23,-0.7071067811865475,GL16_20,136.8967703813664,136.89677038136384,2.5579538487396322e-12
2569,7,23,-0.5773502691896258,GL16_20,135.72956324531793,135.72956324531646,1.4779288903821005e-12
2570,7,23,-0.5,GL16_20,134.83834089514212,134.83834089514102,1.1084466677863706e-12
2571,7,23,-0.3333333333333333,GL16_20,132.45275899526726,132.45275899526675,5.11590769747403e-13
2572,7,23,0.0,GL16_20,125.10562340947693,125.10562340947678,1.5631940186723426e-13
2573,7,23,0.3333333333333333,GL16_20,110.46358899336768,110.46358899336501,2.6716406864615455e-12
2574,7,23,0.5,GL16_20,95.96619063680181,95.96619063679248,9.336531547931302e-12
2575,7,23,0.5773502691896258,GL16_20,85.4160231701388,85.41602317012216,1.6640910871640005e-11
2576,7,23,0.7071067811865475,GL16_20,55.37874097163941,55.37874097159331,4.6100012697177904e-11
2577,7,23,0.816496580927726,GL16_20,-2.569600272114646,-2.569600272231291,1.1664536004444022e-10
2579,7,24,-1.0,back_uv64_96,131.04701848225534,131.04701848225545,-1.1368683772160957e-13
2580,7,24,-0.816496580927726,GL16_20,132.32700353876,132.32700353875225,7.759126674530396e-12
2581,7,24,-0.7071067811865475,GL16_20,132.62073632035583,132.62073632035035,5.4853899200830186e-12
2582,7,24,-0.5773502691896258,GL16_20,131.8018243920535,131.8018243920498,3.694822225959347e-12
2583,7,24,-0.5,GL16_20,130.97932942972528,130.97932942972227,3.012701199627363e-12
2584,7,24,-0.3333333333333333,GL16_20,128.5439028037738,128.54390280377166,2.1316282072825725e-12
2585,7,24,0.0,GL16_20,120.50536718232664,120.50536718232516,1.4779288903821005e-12
2586,7,24,0.3333333333333333,GL16_20,104.06534783031032,104.06534783030877,1.5489831639582182e-12
2587,7,24,0.5,GL16_20,87.67840133303366,87.67840133303177,1.8900436771236525e-12
2588,7,24,0.5773502691896258,GL16_20,75.7292435248079,75.7292435248053,2.600586412885348e-12
2589,7,24,0.7071067811865475,GL16_20,41.65960065247944,41.65960065247074,8.697043085741446e-12
2590,7,24,0.816496580927726,GL16_20,-24.152592644114815,-24.15259264415317,3.8355096877065765e-11
2592,7,25,-1.0,back_uv64_96,128.35510662799302,128.3551066279925,5.11590769747403e-13
2593,7,25,-0.816496580927726,GL16_20,126.97457005636275,126.97457005636123,1.5205614545277706e-12
2594,7,25,-0.7071067811865475,GL16_20,127.51655828908531,127.51655828908136,3.950617610833961e-12
2595,7,25,-0.5773502691896258,GL16_20,127.18251924001927,127.18251924001734,1.93267624126934e-12
2596,7,25,-0.5,GL16_20,126.4944427408115,126.49444274081044,1.0516032489255012e-12
2597,7,25,-0.3333333333333333,GL16_20,124.09752851090059,124.09752851090074,-1.5631940186720982e-13
2598,7,25,0.0,GL16_20,115.41845678115799,115.41845678115877,-7.815970093358048e-13
2599,7,25,0.3333333333333333,GL16_20,97.11350340715985,97.11350340715808,1.7763568394018283e-12
2600,7,25,0.5,GL16_20,78.73241164235415,78.73241164234744,6.707523425597841e-12
2601,7,25,0.5773502691896258,GL16_20,65.30094189043722,65.30094189042586,1.1354472917510863e-11
2602,7,25,0.7071067811865475,GL16_20,26.94912722399911,26.94912722397124,2.7871038810578327e-11
2603,7,25,0.816496580927726,GL16_20,-47.2264771813483,-47.22647718134745,-8.526512829117567e-13
2605,7,26,-1.0,back_uv64_96,124.2652665687981,124.26526656879788,2.1316282072805277e-13
2606,7,26,-0.816496580927726,GL16_20,122.0742082156836,122.07420821568319,4.1211478674094303e-13
2607,7,26,-0.7071067811865475,GL16_20,120.61259508046167,120.61259508046032,1.3500311979451017e-12
2608,7,26,-0.5773502691896258,GL16_20,119.36429247288187,119.3642924728762,5.6701310313816746e-12
2609,7,26,-0.5,GL16_20,118.72451207231455,118.7245120723081,6.4517280407225225e-12
2610,7,26,-0.3333333333333333,GL16_20,116.42253269179297,116.42253269178725,5.712763595527524e-12
2611,7,26,0.0,GL16_20,106.8638777043818,106.86387770437726,4.547473508874981e-12
2612,7,26,0.3333333333333333,GL16_20,85.64512900931855,85.64512900931346,5.087485988055259e-12
2613,7,26,0.5,GL16_20,64.07811048664323,64.07811048663757,5.655920176666393e-12
2614,7,26,0.5773502691896258,GL16_20,48.26703037171642,48.26703037171111,5.314859663499674e-12
2615,7,26,0.7071067811865475,GL16_20,3.023494514705364,3.023494514719154,-1.3789858144169064e-11
2616,7,26,0.816496580927726,GL16_20,-84.63393527087172,-84.63393521210678,-5.8764937854465026e-08
2618,7,27,-1.0,back_uv64_96,118.60312611503834,118.60312611503782,5.11590769747403e-13
2619,7,27,-0.816496580927726,GL16_20,115.87189764275675,115.8718976427503,6.4517280407225225e-12
2620,7,27,-0.7071067811865475,GL16_20,113.96663452505881,113.96663452505223,6.579625733160173e-12
2621,7,27,-0.5773502691896258,GL16_20,111.36937450725058,111.36937450724386,6.7217342803131385e-12
2622,7,27,-0.5,GL16_20,109.624728066769,109.6247280667622,6.792788553889629e-12
2623,7,27,-0.3333333333333333,GL16_20,105.44516067466563,105.4451606746585,7.133849067056852e-12
2624,7,27,0.0,GL16_20,93.8349891656824,93.83498916567713,5.2722270993538415e-12
2625,7,27,0.3333333333333333,GL16_20,68.42758879592779,68.42758879592657,1.2221335055081191e-12
2626,7,27,0.5,GL16_20,42.239394590105306,42.23939459010652,-1.2150280781490332e-12
2627,7,27,0.5773502691896258,GL16_20,22.961768539352803,22.96176853936462,-1.1816325695620653e-11
2628,7,27,0.7071067811865475,GL16_20,-32.3474643709746,-32.34746436249214,-8.48245914352802e-09
2629,7,27,0.816496580927726,GL16_20,-139.73029578646373,-139.73028852945188,-7.256985512738905e-06
2631,7,28,-1.0,back_uv64_96,111.03490257442773,111.03490257442783,-9.947598300640908e-14
2632,7,28,-0.816496580927726,GL16_20,107.5927566564651,107.59275665647543,-1.0331291377898489e-11
2633,7,28,-0.7071067811865475,GL16_20,105.19186877260354,105.19186877261481,-1.1269207789091692e-11
2634,7,28,-0.5773502691896258,GL16_20,101.91613016307512,101.91613016308764,-1.2519763004014593e-11
2635,7,28,-0.5,GL16_20,99.69626381818195,99.69626381819529,-1.334399257748565e-11
2636,7,28,-0.3333333333333333,GL16_20,94.04646310420395,94.0464631042193,-1.5347723092300388e-11
2637,7,28,0.0,GL16_20,77.22542296707486,77.22542296709612,-2.1259438653716216e-11
2638,7,28,0.3333333333333333,GL16_20,44.332156778166365,44.33215677873807,-5.717026850291547e-10
2639,7,28,0.5,GL16_20,11.477925776748858,11.477925825871116,-4.9122257054538116e-08
2640,7,28,0.5773502691896258,GL16_20,-12.674951876198897,-12.674951358385677,-5.178130857927566e-07
2641,7,28,0.7071067811865475,GL16_20,-82.04590578663294,-82.0458639768099,-4.1808949026998226e-05
2642,7,28,0.816496580927726,GL16_20,-216.93342780476127,-216.930872959296,-0.0025515846251513968
2838,8,23,-1.0,back_uv64_96,134.97149221320169,134.9714922132013,3.9790393202573527e-13
2839,8,23,-0.816496580927726,GL16_20,136.66740534235265,136.6674053423493,3.3537617127932967e-12
2840,8,23,-0.7071067811865475,GL16_20,137.2186101257978,137.21861012579342,4.376943252291796e-12
2841,8,23,-0.5773502691896258,GL16_20,136.7619781132195,136.76197811321438,5.1159076974858076e-12
2842,8,23,-0.5,GL16_20,136.18742155592122,136.1874215559157,5.5138116295135785e-12
2843,8,23,-0.3333333333333333,GL16_20,134.38540418323987,134.38540418323342,6.4517280407225225e-12
2844,8,23,0.0,GL16_20,128.24215458910012,128.24215458909083,9.293898983785298e-12
2845,8,23,0.3333333333333333,GL16_20,115.56925356654223,115.56925356652597,1.625721779432324e-11
2846,8,23,0.5,GL16_20,102.9370072637044,102.93700726367958,2.4826363187766074e-11
2847,8,23,0.5773502691896258,GL16_20,93.73428614908485,93.73428614905322,3.1633362596539995e-11
2848,8,23,0.7071067811865475,GL16_20,67.52731801082372,67.52731801077252,5.120170954018363e-11
2849,8,23,0.816496580927726,GL16_20,16.98006904013355,16.980069040049855,8.369482884868461e-11
2851,8,24,-1.0,back_uv64_96,132.47343094258278,132.47343094258298,-1.9895196601280826e-13
2852,8,24,-0.816496580927726,GL16_20,131.54615984619244,131.5461598461889,3.5242919693763072e-12
2853,8,24,-0.7071067811865475,GL16_20,132.4058883559778,132.4058883559727,5.087485988055259e-12
2854,8,24,-0.5773502691896258,GL16_20,132.4559477103881,132.45594771038185,6.25277607470843e-12
2855,8,24,-0.5,GL16_20,132.02953182650216,132.02953182649551,6.6506800067366535e-12
2856,8,24,-0.3333333333333333,GL16_20,130.30393506409234,130.30393506408473,7.617018127377283e-12
2857,8,24,0.0,GL16_20,123.64296031419887,123.64296031418826,1.0615508472312242e-11
2858,8,24,0.3333333333333333,GL16_20,109.353504181257,109.35350418124105,1.5944578990583763e-11
2859,8,24,0.5,GL16_20,94.97574328794406,94.97574328792503,1.9028334463836522e-11
2860,8,24,0.5773502691896258,GL16_20,84.4731467771703,84.47314677715065,1.9653612071317505e-11
2861,8,24,0.7071067811865475,GL16_20,54.50727338899664,54.507273388980735,1.5901946426437478e-11
2862,8,24,0.816496580927726,GL16_20,-3.3865681336622977,-3.386568133667012,4.7144510517793775e-12
2864,8,25,-1.0,back_uv64_96,130.05560671662647,130.05560671662616,3.1263880373449295e-13
2865,8,25,-0.816496580927726,GL16_20,128.44665638502025,128.44665638501692,3.325340003362798e-12
2866,8,25,-0.7071067811865475,GL16_20,127.67040164666308,127.67040164665984,3.240074875071306e-12
2867,8,25,-0.5773502691896258,GL16_20,127.5731182352346,127.57311823523098,3.6237679523830767e-12
2868,8,25,-0.5,GL16_20,127.28783349353797,127.28783349353401,3.964828465549219e-12
2869,8,25,-0.3333333333333333,GL16_20,125.69328140784357,125.69328140783864,4.931166586187253e-12
2870,8,25,0.0,GL16_20,118.5586655446621,118.55866554465373,8.370193427289011e-12
2871,8,25,0.3333333333333333,GL16_20,102.58521688793415,102.58521688791794,1.6214585230176943e-11
2872,8,25,0.5,GL16_20,86.35735334009988,86.35735334007668,2.3192114895478607e-11
2873,8,25,0.5773502691896258,GL16_20,74.47158804022821,74.47158804020125,2.695799139510157e-11
2874,8,25,0.7071067811865475,GL16_20,40.49703376606599,40.497033766034875,3.111466639941885e-11
2875,8,25,0.816496580927726,GL16_20,-25.242951386139175,-25.24295138614047,1.2931877790842186e-12
2877,8,26,-1.0,back_uv64_96,126.26843211827615,126.2684321182762,-4.26325641456051e-14
2878,8,26,-0.816496580927726,GL16_20,124.28137855473034,124.28137855472372,6.622258297306061e-12
