virtual_index,Eb_eV,Aup_s_inv,Adn_s_inv,target,reconstructed,relative_residual
125,10.167647,1.0681490659195627,1.0578181254548695,2.5279266210668492e-05,2.5279266210668492e-05,0.0
126,10.171002,1.7800411016015247,1.0821015287933822,3.0078904127139268e-05,3.0078904127139268e-05,0.0
127,10.174173,2.026095438746094,1.8020094739177157,3.619680545915967e-05,3.619680545915967e-05,0.0
128,10.17716,3.2912446823596775,2.0496411530170726,4.4127478171689066e-05,4.4127478171689066e-05,0.0
129,10.179962,4.156565017231443,3.3271112127495104,5.461060959112991e-05,5.461060959112991e-05,0.0
130,10.18258,6.753476080767979,4.198871844995193,6.878874505132205e-05,6.878874505132205e-05,0.0
131,10.185014,9.511020851996362,6.817361151104326,8.849522742012098e-05,8.849522742012098e-05,0.0
132,10.187263,16.01306837414495,9.594123028623834,0.00011681041036059887,0.00011681041036059887,0.0
133,10.189328,25.544742359642402,16.141489258375504,0.00015921235320481733,0.00015921235320481733,0.0
134,10.191209,46.97860137627297,25.731284353579152,0.0002261714274360113,0.0002261714274360113,0.0
135,10.192905,89.09008259558023,47.28781359785553,0.0003396921814231127,0.0003396921814231127,0.0
136,10.194417,197.1243523034755,89.61266786049288,0.0005525128166864826,0.0005525128166864826,0.0
137,10.195745,511.17680643659,198.13957113998742,0.0010184312663784455,0.0010184312663784455,0.0
138,10.196889,1839.5670920486643,513.4438705453031,0.0023637773801441857,0.0023637773801441857,0.0
139,10.197848,11242.14967881279,1846.4037740108242,0.010140009780313906,0.010140009780313906,0.0
140,10.199581,1831.5913367332514,11258.414163929026,0.010140009780313906,0.010140009780313906,0.0
141,10.200541,512.4600210831163,1838.40548834867,0.0023637773801441857,0.0023637773801441857,0.0
142,10.201684,196.16970148706244,514.7307851669912,0.0010184312663784455,0.0010184312663784455,0.0
143,10.203012,89.56973706876947,197.18000373422328,0.0005525128166864826,0.0005525128166864826,0.0
144,10.204524,46.489008220211396,90.09513589443587,0.0003396921814231127,0.0003396921814231127,0.0
145,10.20622,25.880548288915627,46.79499794936108,0.0002261714274360113,0.00022617142743601128,-1.1984296433644876e-16
146,10.208101,15.706046128710824,26.069542525538402,0.00015921235320481733,0.00015921235320481733,0.0
147,10.210166,9.74677146587864,15.832004769771244,0.00011681041036059887,0.00011681041036059887,0.0
148,10.212415,6.543377528809124,9.831933504371666,8.849522742012098e-05,8.849522742012097e-05,-1.531441587434962e-16
149,10.214849,4.326972922215181,6.605275154367517,6.878874505132205e-05,6.878874505132205e-05,0.0
150,10.217467,3.1399018999524904,4.371014215302064,5.461060959112991e-05,5.461060959112991e-05,0.0
151,10.220269,2.1527076093505064,3.1741191635668957,4.4127478171689066e-05,4.4127478171689066e-05,0.0
152,10.223256,1.6674665023049546,2.1777247123503867,3.619680545915967e-05,3.619680545915967e-05,0.0
