target_i,source_j,x_i,x_j,conductance_m^-3_s^-1,K_i_from_j_s^-1,K_j_from_i_s^-1,pair_balance_relative,relative_to_Hummer_i_from_j,relative_to_v033_i_from_j
5,11,-1.5,1.5,0.013793653029495498,0.01143668190394601,0.011406566403030598,6.288122052466383e-17,0.0013168234663278877,-2.398121220936744e-06
5,12,-1.5,2.0,0.002669775760462314,0.0022145545481370124,0.0022077526836289225,-8.122046716745662e-17,-6.773424269612693e-05,-0.0016045296106547147
5,13,-1.5,2.5,0.0002312089120404502,0.0001918699748436725,0.00019119661793162528,5.861593757985323e-17,0.00034601134359513175,-0.0014108605304984367
5,14,-1.5,3.0,1.3124896052520525e-05,1.0896553943195434e-05,1.085354242533279e-05,0.0,0.0008997603517504338,-0.0010775980304519317
5,15,-1.5,3.5,4.945459736170694e-07,4.107625329566802e-07,4.0896138791892194e-07,0.0,0.001634660131827781,-0.0005637771474160669
5,16,-1.5,4.0,1.4821124039683496e-08,1.2315616228162323e-08,1.2256226480737149e-08,0.0,0.002524097402922365,0.00010393405452790994
6,7,-1.0,-0.5,0.06971010239973743,0.057696976960140964,0.0576716275151013,0.0,0.00064170593590962,0.0004218634141366362
6,8,-1.0,0.0,0.06454632637042194,0.05344655524768179,0.05339960154637724,0.0,0.0011912465324481758,0.0007513681928634774
6,9,-1.0,0.5,0.06962426497148466,0.05767660177592115,0.057600613644534,0.0,0.0017871910473084007,0.0011270531138869444
6,10,-1.0,1.0,0.061556212478742225,0.05101545716529524,0.05092586060134411,0.0,0.0008771447873718863,-2.1432277269584077e-06
6,11,-1.0,1.5,0.016831912960137037,0.01395578342795493,0.013925152613278697,0.0,-0.00032831606635708166,-0.0014259820796305167
6,12,-1.0,2.0,0.002284164016499981,0.0018946931372824346,0.001889703956932945,0.0,-1.7581139304501114e-05,-0.0013350454838044756
6,13,-1.0,2.5,0.00020519181374280715,0.00017027954412964885,0.00016975654093097115,-6.604808890210358e-17,0.0003885509176024815,-0.0011489466773136892
6,14,-1.0,3.0,1.209302557985799e-05,1.0039874223770259e-05,1.000463982641903e-05,0.0,0.000935061001855475,-0.0008228464850531525
6,15,-1.0,3.5,4.97274844288694e-07,4.13029092364675e-07,4.1139875864757843e-07,0.0,0.0016585112645524092,-0.0003203473299804305
6,16,-1.0,4.0,2.1808681468697172e-08,1.8121928585953962e-08,1.8042466026601804e-08,0.0,0.002397727448422593,0.00019761399713780214
7,8,-0.5,0.0,0.2088562621570832,0.17294009406735333,0.1728641119555116,6.644659664251203e-17,0.0009235018925031202,0.0007035973072562207
7,9,-0.5,0.5,0.184334468621518,0.15270230493081233,0.15256815329331105,0.0,0.0004378798659425698,-1.6677534676601269e-06
7,10,-0.5,1.0,0.06943708733133268,0.057546827717150154,0.057471010513826006,0.0,-0.00046685974285587406,-0.001125512765445258
7,11,-0.5,1.5,0.014562363553060984,0.012074040094371352,0.012052834890245704,5.956187914331294e-17,-0.00023122305967060441,-0.0011095379128335248
7,12,-0.5,2.0,0.0020531376065994265,0.001703058845608274,0.0016993208890252935,0.0,5.6591121065485694e-05,-0.00104149822523103
7,13,-0.5,2.5,0.00019020182510143537,0.00015784002041862617,0.00015742438962040043,0.0,0.0004439921732799501,-0.0008740811283021177
7,14,-0.5,3.0,1.1685116887271454e-05,9.701220183777772e-06,9.671423461056264e-06,0.0,0.0009762730641740269,-0.0005621287646108142
7,15,-0.5,3.5,5.591697779178244e-07,4.644381040056701e-07,4.628081824974248e-07,0.0,0.001651060460052589,-0.00010810562778518218
7,16,-0.5,4.0,4.131583174028299e-08,3.4331399325601976e-08,3.419588423983074e-08,0.0,0.00216170521789949,0.0001818512911955228
8,9,0.0,0.5,0.20847110283316278,0.17269704441145559,0.17262116903718297,6.65693595861135e-17,-0.0004831939580277611,-0.0007027896125777477
8,10,0.0,1.0,0.06439283625888548,0.05336634350353333,0.05331946021086858,0.0,-0.00031132544320844335,-0.0007505441622845943
8,11,0.0,1.5,0.013810708594632477,0.011450823123298605,0.011435736802070044,0.0,-0.00012082263109458591,-0.0007797040850052728
